bucket,classification_key,year,city,language,elements_books_group,dominant_mode,mode_count,primary_classes,metadata_title_page_keys,claim_text,social_text,additional_content
many_modes_fuzzy_center,Venice_1505,1505,Venice,LATIN,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Venice_1505 | Venice_1510,sumpta | addita | subuersa | voluta | ordinata | digesta | castigata | addita | subuersa | prepostere | voluta | ordinata | digesta | castigata | adiuncta | quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat- icam substantiam aspirant | elementorum libros. xiij | cum expositione Theonis insignis mathematici | voluta in Campani interpretatione: ordinata digesta et castigata | voluta in Campani int…,quicumque ad mathematicam substantiam aspirant | quicumque ad mathemat- icam substantiam aspirant | Interprete | Theonis | Hypsi | Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Theonis | Hypsi. Alex | Phaeno | Specu | Perspe | Pappi Mechanici | Marini dialectici | Socratico philosopho,"Phaenomena, Optica, Catoptrica, Data"
many_modes_fuzzy_center,Paris_1565,1565,Paris,FRENCH,selected_later_books,practical-pedagogical,7,Theoretical Mathematics,Paris_1565 | Paris_1565a,"COMPRENANS | traduits | com- mentez | TRADVICT | COMMENté | intitulé | LES SEPTIEME, HVICTIEME ET NEVFIEME, LIVRES DES ELEMENS D’EVCLIDE | Liure d’Euclide | COMPRENANS TOVTE LA SCIEN- ce des nombres | du leger & du pesant | TRADVICT ET COMMENté | lecteur ordinaire du Roy és Mathema- tiques, en l’vni- uersité de Paris | lecteur ordinaire du Roy es Mathematiques en l’Vniuersité de Paris | LES SEPTIEME, HVICTIEME ET NE…","vni- uersité de Paris | l’Vniuersité de Paris | lecteur ordinaire du Roy és Mathema- tiques, en l’vni- uersité de Paris | lecteur ordinaire du Roy es Mathematiques en l’Vniuersité de Paris",De levi et ponderoso
many_modes_fuzzy_center,Rome_1591,1591,Rome,LATIN,unknown_books,practical-pedagogical,7,Astronomy,Rome_1591,conuersa | illustrata | ad-ditæ sunt | EVCLIDIS PHAENOMENA | Scholijs antiquis: & figuris optimis illustrata: & de Græca lingua in Latinam conuersa | Post Zamberti: & Maurolyci edi-tionem | EVCLIDIS PHAENOMENA | Scholijs antiquis | figuris optimis | de Græca lingua in Latinam conuersa | Maurolyci breues aliquot annotationes | de Græca lingua | in Latinam | EVCLIDIS,VATICANA. BIBLIOTHECA | BIBLIOTHE-CARIVM | ANTONIVM. COLVMNAM. S.R.E. CARD. EPISCOPVM. PRAENESTINVM,Phaenomena
many_modes_fuzzy_center,Paris_1609,1609,Paris,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Paris_1609,"Traduits | restitués | adioustez | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | Traduits & restitués à leur ancienne breueté, selon l’ordre de Theon | Docteur ès Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | Theon | Ipsicles Alexandrie | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | les quatorze & quinziesme d’Ipsicles Alexandrien | les quatorze & quinziesme d’Ipsicles Alexandrien |…","Academies du Roy | Docteur ès Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | Theon | Ipsicles Alexandrie",
many_modes_fuzzy_center,Rome_1609,1609,Rome,LATIN,unknown_books,practical-pedagogical,7,Astronomy | Theoretical Mathematics,Rome_1609,"deprompta | illustrata | conuersa | addita sunt | EVCLIDIS PHAENOMENA | Post Zamberti, & Maurolyci edi-tionem | His addita sunt Maurolyci breues aliquot annotationes | NEAPOLITANO | Zamberti | Maurolyci | EVCLIDIS PHAENOMENA | Scholijs antiquis, & figuris optimis illustrata | Maurolyci breues aliquot annotationes | de Græca lingua | in Latinam | EVCLIDIS",NEAPOLITANO | SERENISSIMVM FRANCISCVM MARIAM VRBINI DVCEM VI | Zamberti | Maurolyci,Phaenomena
many_modes_fuzzy_center,Ansbach_1610,1610,Ansbach,"GERMAN, LATIN",books_1_6,practical-pedagogical,7,Practical Geometry | Theoretical Mathematics,Ansbach_1610,"übergesetzet | erkläret | jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Die Ersten Sechs Bücher Elementorum EVCLIDIS | In welchen die Anfäng vnd Gründe der Geometria ordenlich gelehret, vnd gründtlich erwiesen werden | Franc. Fürstlichen Brandenb | Die Ersten Sechs Bücher Elementorum EVCLIDIS | mit verständtlichen Exempeln in …","jenigen, so sich der Geometria, im Rechnen, Kriegsswesen, Feldtmässen, Bauen, vnd andern Künsten vnnd Handtwerckern zugebrauchen haben | Franc. Fürstlichen Brandenb | Hanss Philip Fuchss von Bimbach, zu Möhrn, Alten Rechenberg vnd Schwaningen, Obristen",
many_modes_fuzzy_center,Paris_1610,1610,Paris,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Paris_1610 | Paris_1613,"Traduits | restitués | adioustez | TRADVITS | RESTITVEZ | Reueuë | augmentée | adioustez | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES | ancienne breueté, selon l’ordre de Theon | SECONDE EDITION | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien | LES ELEMENS DE LA GEOMETRIE D’EVCLIDES MEGARIEN | L…","Academies du Roy | Docteur és Droicts, & Professeur en la diuine Mathematique aux Academies du Roy | l’Autheur | Theon | Ipsicles Alexandrien",
many_modes_fuzzy_center,Amsterdam_1616,1616,Amsterdam,DUTCH,books_1_6,practical-pedagogical,7,Practical Geometry | Theoretical Mathematics,Amsterdam_1616,"ghevoecht | Overgeset | verclaert | uytgeleyt | oversien | verbetert | vermeerdert | van alle leergierighe, liefhebbers der selver vryer Conste | De ses eerste Boucken EVCLIDIS | Van de beginselen ende fondamenten der Geometrie | Van nieus oversien, ende verbetert | der stadt Leyden Landtmeter ende Wijnroeyer | De ses eerste Boucken EVCLIDIS | eenighe nut-ticheden, uyt de selve Boecken ghetrocken | Specien in Geomet…","van alle leergierighe, liefhebbers der selver vryer Conste | der stadt Leyden Landtmeter ende Wijnroeyer",
many_modes_fuzzy_center,Paris_1632,1632,Paris,FRENCH,near_complete_or_expanded,practical-pedagogical,7,Theoretical Mathematics,Paris_1632,Traduicts | imprimez | reueus | corrigez | traduict | imprimé | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | reueus & corrigez du viuant de l’Autheur | Professeur és Mathematiques | LES QVINZE LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE | Commentaires beaucoup plus amples & faciles | figures en plus grand nombre | le Liure des DONNEZ du mesme Euclide | DONNEZ | François | D’EVCLIDE | Euclide,Professeur és Mathematiques,Data
many_modes_fuzzy_center,Paris_1640,1640,Paris,FRENCH,unknown_books,practical-pedagogical,7,Theoretical Mathematics,Paris_1640,"illustré | reduit | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires, & reduit à 62. Propositions | STEVIN | LE DIZIEME LIVRE D’EVCLIDE | illustré de nouueles demonstrations plus faciles & plus succinctes que les ordinaires | AVEC VN DISCOURS DE LA MANIERE d’expliquer les sciences en François | TRAITE' DES QVANTITEZ INCOMENSVRABLES: OV SONT DECIDEes P…",Meßieurs de L’ACADEMIE FRANCOISE | STEVIN,
many_modes_fuzzy_center,Rotterdam_1647,1647,Rotterdam,DUTCH,books_1_6,practical-pedagogical,7,,Rotterdam_1647 | Utrecht_1647,bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | breeder verklaert | bygevoeght | Overgeset | verklaert | uytgeleyt | oversien | verbetert | vermeerdert | alle leergierige liefhebbers der selver vrye Konste | De ses eerste Boecken EUCLIDIS | Van de beginselen ende fonda-menten der Geometrie | Waer bygevoeght zijn eenige nuttigheden | Van nieus oversien ende verbetert | der stadt …,alle leergierige liefhebbers der selver vrye Konste | der stadt Leyden Lant-meter ende Wijnroyer,
