mode_a,mode_b,count_both,pct_all,jaccard,pct_of_mode_a,pct_of_mode_b
humanist/ancient,institutional/authority,195,68.2,0.73,80.2,89.0
humanist/ancient,pedagogical/method,187,65.4,0.728,77.0,93.0
institutional/authority,pedagogical/method,176,61.5,0.721,80.4,87.6
composite/apparatus,pedagogical/method,162,56.6,0.689,82.7,80.6
composite/apparatus,institutional/authority,169,59.1,0.687,86.2,77.2
composite/apparatus,humanist/ancient,176,61.5,0.669,89.8,72.4
composite/apparatus,corrected/updated,121,42.3,0.553,61.7,84.0
corrected/updated,pedagogical/method,121,42.3,0.54,84.0,60.2
corrected/updated,institutional/authority,126,44.1,0.532,87.5,57.5
corrected/updated,humanist/ancient,133,46.5,0.524,92.4,54.7
humanist/ancient,vernacular/transfer,99,34.6,0.396,40.7,93.4
composite/apparatus,vernacular/transfer,84,29.4,0.385,42.9,79.2
institutional/authority,vernacular/transfer,87,30.4,0.366,39.7,82.1
corrected/updated,vernacular/transfer,64,22.4,0.344,44.4,60.4
pedagogical/method,practical/public,72,25.2,0.343,35.8,88.9
pedagogical/method,vernacular/transfer,78,27.3,0.341,38.8,73.6
humanist/ancient,practical/public,75,26.2,0.301,30.9,92.6
institutional/authority,practical/public,69,24.1,0.299,31.5,85.2
composite/apparatus,practical/public,62,21.7,0.288,31.6,76.5
corrected/updated,practical/public,47,16.4,0.264,32.6,58.0
practical/public,vernacular/transfer,29,10.1,0.184,35.8,27.4
humanist/ancient,sparse/canonical,39,13.6,0.157,16.0,88.6
sparse/canonical,vernacular/transfer,17,5.9,0.128,38.6,16.0
institutional/authority,sparse/canonical,22,7.7,0.091,10.0,50.0
composite/apparatus,sparse/canonical,16,5.6,0.071,8.2,36.4
corrected/updated,sparse/canonical,10,3.5,0.056,6.9,22.7
pedagogical/method,sparse/canonical,6,2.1,0.025,3.0,13.6
practical/public,sparse/canonical,2,0.7,0.016,2.5,4.5
