mode_a,mode_b,count,pct_of_elements,pct_of_a,pct_of_b
institutional_authority,humanist_ancient,195,68.2,89.0,80.2
pedagogical_method,humanist_ancient,187,65.4,93.0,77.0
composite_apparatus,humanist_ancient,176,61.5,89.8,72.4
pedagogical_method,institutional_authority,176,61.5,87.6,80.4
institutional_authority,composite_apparatus,169,59.1,77.2,86.2
pedagogical_method,composite_apparatus,162,56.6,80.6,82.7
corrected_updated,humanist_ancient,133,46.5,92.4,54.7
institutional_authority,corrected_updated,126,44.1,57.5,87.5
composite_apparatus,corrected_updated,121,42.3,61.7,84.0
pedagogical_method,corrected_updated,121,42.3,60.2,84.0
vernacular_transfer,humanist_ancient,99,34.6,93.4,40.7
vernacular_transfer,institutional_authority,87,30.4,82.1,39.7
vernacular_transfer,composite_apparatus,84,29.4,79.2,42.9
pedagogical_method,vernacular_transfer,78,27.3,38.8,73.6
practical_public,humanist_ancient,75,26.2,92.6,30.9
pedagogical_method,practical_public,72,25.2,35.8,88.9
institutional_authority,practical_public,69,24.1,31.5,85.2
vernacular_transfer,corrected_updated,64,22.4,60.4,44.4
composite_apparatus,practical_public,62,21.7,31.6,76.5
practical_public,corrected_updated,47,16.4,58.0,32.6
sparse_canonical,humanist_ancient,39,13.6,88.6,16.0
vernacular_transfer,practical_public,29,10.1,27.4,35.8
sparse_canonical,institutional_authority,22,7.7,50.0,10.0
sparse_canonical,vernacular_transfer,17,5.9,38.6,16.0
sparse_canonical,composite_apparatus,16,5.6,36.4,8.2
sparse_canonical,corrected_updated,10,3.5,22.7,6.9
sparse_canonical,pedagogical_method,6,2.1,13.6,3.0
sparse_canonical,practical_public,2,0.7,4.5,2.5
