field,value,n,mode,mode_col,count,pct,overall_pct,delta_vs_overall
city,Bologna,6,sparse/canonical,mode_sparse_canonical,5,83.3,15.4,67.9
language_first,GERMAN,13,vernacular/transfer,mode_vernacular_transfer,11,84.6,37.1,47.6
city,Leipzig,5,sparse/canonical,mode_sparse_canonical,3,60.0,15.4,44.6
language_first,ITALIAN,12,sparse/canonical,mode_sparse_canonical,7,58.3,15.4,42.9
language_first,ENGLISH,20,practical/public,mode_practical_public,14,70.0,28.3,41.7
city,Basel,8,vernacular/transfer,mode_vernacular_transfer,6,75.0,37.1,37.9
metadata_additional_optics_catoptrics,True,14,vernacular/transfer,mode_vernacular_transfer,10,71.4,37.1,34.4
elements_books_group,books_1_13,5,practical/public,mode_practical_public,3,60.0,28.3,31.7
metadata_has_additional_content,True,55,composite/apparatus,mode_composite_apparatus,55,100.0,68.5,31.5
metadata_additional_data,True,20,composite/apparatus,mode_composite_apparatus,20,100.0,68.5,31.5
metadata_additional_optics_catoptrics,True,14,composite/apparatus,mode_composite_apparatus,14,100.0,68.5,31.5
metadata_additional_music_harmonics,True,9,composite/apparatus,mode_composite_apparatus,9,100.0,68.5,31.5
city,Basel,8,composite/apparatus,mode_composite_apparatus,8,100.0,68.5,31.5
elements_books_group,near_complete_or_expanded_enunciations,7,composite/apparatus,mode_composite_apparatus,7,100.0,68.5,31.5
has_diagrams_metadata,True,7,composite/apparatus,mode_composite_apparatus,7,100.0,68.5,31.5
elements_books_group,books_1_6_plus_solids,39,practical/public,mode_practical_public,23,59.0,28.3,30.7
elements_books_group,books_1_13,5,corrected/updated,mode_corrected_updated,4,80.0,50.3,29.7
elements_books_group,near_complete_or_expanded_enunciations,7,practical/public,mode_practical_public,4,57.1,28.3,28.8
city,London,20,practical/public,mode_practical_public,11,55.0,28.3,26.7
period,1550-1599,55,vernacular/transfer,mode_vernacular_transfer,35,63.6,37.1,26.6
metadata_additional_data,True,20,pedagogical/method,mode_pedagogical_method,19,95.0,70.3,24.7
