classification_key,year,city,language,primary_classes,secondary_classes,neighbor_score,euclid_or_elements,rich_claim_text_raw,rich_social_text_raw
Leiden_1615,1615,Leiden,LATIN,Arithmetic | Trigonometry,Theoretical Mathematics,9,True,"translatae | FUNDAMENTA ARITHMETICA ET GEOMETRICA | cum communi usu In variis problematis, Geometricis, partim solo linearum ductu, partim per numeros irrationales, & tabulas sinuum, & Algebram solutis | vernaculo | in Latinum",
bib-9,1544,Strasbourg,LATIN,Practical Geometry,Instrument Use | Mechanics,8,True,"emissus | LIBER DE GEOMETRIA PRACTICA | SIVE DE practicis longitudinum, planorum & so- lidorum: hoc est, linearum, superficio- rum, & corporum mensonibus; aliisqꝫ mechanicis, ex demonstratis EVCLIDIS elementis corollarius | NUNC PRIMVM APVD GERMA- nos in lucem emissus | LUTETIAE LIBERALIVM disciplinarum Professoris regij | EVCLIDIS elementis | ex demonstratis EVCLIDIS elementis corollarius | EVCLIDIS",LUTETIAE LIBERALIVM disciplinarum Professoris regij
Basel_1546b,1546,Basel,LATIN,Theoretical Mathematics,,8,True,donata | adiecta sunt | Euclidis Megarensis mathematici clarissimi Elementorum geometricorum libri XV | Cum expositione Theonis in priores XIII à Bartholomaeo Veneto | Latinitate donata | Veneto | Theonis | Hypsiclis Alexandrini | Marini | Levi | Elementorum geometricorum libri XV | Phaenomena | Catoptrica | Optica | Protheoria Marini | Data | Opusculum de Levi & Ponderoso | Phaenomena | Catoptrica | Optica | Protheoria Marini | Data | Opusculum de Levi & Ponderoso | Phaenomena | Catoptrica | Optica | Protheoria Marini | Data | Opusculum de Levi & Ponderoso | Megarensis mathematici clarissimi | Latinitate | Euclidis,Veneto | Theonis | Hypsiclis Alexandrini | Marini | Levi
bib-276,1560,Padua,LATIN,Practical Geometry | Theoretical Mathematics,,8,True,"expurgati | aucti | donati | editi | PRIMUM EUCLIDIS Elementorum librum | COMMENTARIORUM AD UNIVERSAM MATHEMATICAM DISCIPLINAM PRINCIPIUM ERUDITIONIS TRADENTIUM | summa opera, cura, ac diligentia cunctis mendis expurgati: Scholiis, & Figuris, quæ in græco codice omnes desiderabantur, aucti: Primùm iam in Romanâ linguae venustate donati, & nunc recens editi | PROCLI DIADOCHI LYCII | PRIMUM EUCLIDIS Elementorum librum | Scholiis, & Figuris | Catalogo Deorum, & Virorum Illustrium, atque Auctorum | Catalogo Deorum | græco codice | Romanâ linguae | EUCLIDIS",PROCLI DIADOCHI LYCII
ustc-8,1605,Paris,FRENCH,Practical Geometry,,8,True,"COMPOSEE | augmenté | tiré | contenus | COMPOSEE | augmenté | L’Art de mesurer toutes superficies Rectilignes | Elemens d'Euclide | des Elemens d’Euclide | COMPOSEE | augmenté par iceluy de quelques Annotations | augmenté par iceluy de quelques Annotations | NOBLE PHILOSOPHE | Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy ès Mathematiques | NOBLE PHILOSOPHE | iadis Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy és Mathematiques | M. Iean Pierre de Mesmes | M. Iean des Mersliers d’Amiens | Elemens d’Euclide | Elemens d'Euclide | quelques Annotations | Tables des chapitres | augmenté par iceluy de quelques Annotations | Avec Tables des chapitres contenus es faits liures | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles: & de toutes choses pleines ou profondes, selon leur longueur, largeur, & profondeur, par M. Iean Pierre de Mesmes, tres-excellent Mathematicien, augmenté par iceluy de quelques Annotations | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles. Co de toutes choses plienes ou profondes, selon leur longueur, largeur, & profondeur | PLUS L'Art de mesurer toutes superficies Rectilignes tiré des Elemens d'Euclide | Traicté des mesures Geometriques | Vn Traicté des mesures Geometriques, des hauteurs accessibles, ou inaccessibles | L'Art de mesurer toutes superficies Rectilignes | Elemens d’Euclide | Elemens d'Euclide",NOBLE PHILOSOPHE | Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy ès Mathematiques | NOBLE PHILOSOPHE | iadis Chanoine de Noyon | tres-excellent Mathematicien | Lecteur & Professeur du Roy és Mathematiques | M. Iean Pierre de Mesmes | M. Iean des Mersliers d’Amiens
ustc-54,1608,Paris,FRENCH,Practical Geometry,,8,True,"COMPOSEE | augmenté | tiré | Elemens d’Euclide | L’Art de mesurer toutes superficies Rectilignes | COMPOSEE | augmenté | NOBLE PHILOSOPHE | Chanoin de Noyon | tres-excellent Mathematicien | iadis Chanoin de Noyon | Lecteur & Profeſſeur du Roy ès Mathematiques | Elemens d’Euclide | de quelques Annotations | Tables des chapitres | Vn Traité des mesures Geometriques, des hanteurs accesſibles, ou inaccesſibles : & de toutes choſes pleines ou proſondes, ſelon leur longueur, largeur, & profondeur ; par M. Iean Pierre de Memes, tres-excellent Mathematicien, augmenté par ice- luy de quelques Annotations | Traité des mesures Geometriques | Elemens d’Euclide",NOBLE PHILOSOPHE | Chanoin de Noyon | tres-excellent Mathematicien | iadis Chanoin de Noyon | Lecteur & Profeſſeur du Roy ès Mathematiques
Strasbourg_1625,1625,Strasbourg,LATIN,Arithmetic | Astronomy | Geography,,8,True,"collecta | digesta | aucta | explicata | declarata | illustrata | Elementa | Nunc verò plurimis additionibus aucta | ARGENTINENSIS, Phil. & Med. Doct | JOSEPHI LANGII CAESAREMONTANI | ELEMENTALE MATHEMATICUM | plurimis additionibus aucta | notis explicata | exemplis declarata | figuris illustrata | ARITHMETICAE VULGARIS | LOGISTICAE ASTRONOMICAE | GEOMETRIAE | ASTRONOMIAE SPHARICAE | THEORICAE PLANETARUM | GEOGRAPHIAE | ARITHMETICAE VULGARIS | LOGISTICAE ASTRONOMICAE | GEOMETRIAE | ASTRONOMIAE SPHARICAE | THEORICAE PLANETARUM | GEOGRAPHIAE","ARGENTINENSIS, Phil. & Med. Doct | JOSEPHI LANGII CAESAREMONTANI"
bib-30,1627,Zurich,GERMAN,Practical Geometry | Theoretical Mathematics,Construction | Military Engineering | Surveying,8,True,"Allen Baw- und Kriegs verstendigen, Feldmessern | Geometriae, Theoricae Et Practicae. XII. Bücher | Inn welchen die Geometrischen Fundament Euclidis, unnd der selben gebrauch, auff das kürtzest, unnd leichtest, als in einem Handbuch beschriben werden | Geometriae, Theoricae Et Practicae. XII. Bücher | Euclidis","Allen Baw- und Kriegs verstendigen, Feldmessern"
35H84Y,1642,Bologna,LATIN,Mechanics,Practical Geometry,8,True,"traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLIDES APPLICATVS | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | EVCLIDES APPLICATVS | noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum numerosa | speciosa varietate ornatum | gemino copiosissimo Indice | EVCLIDES APPLICATVS | EVCLIDES APPLICATVS | EVCLIDES | Euclideorum","Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c"
bib-31,1646,Zurich,GERMAN,Instrument Use | Practical Geometry | Surveying | Theoretical Mathematics,Construction,8,True,"beschrieben | begriffen | Allen | GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher | In welchen die Fundament Euclidis und derselbigen Gebrauch, im Abmäsßen und Visieren aller Längen, Flächen und Cörpern: mit dem Feld-, Wein-, Treit- und Gwicht-Ruthen begriffen | Hauptmann | Zürcher | 14. Bücher | Fundament Euclidis | Euclidis",Allen | Hauptmann | Zürcher
