classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
Innsbruck_1634,1634,Innsbruck,LATIN,Andreas Arzet,,No primary family,True,True,True,0.8180141762173362,23,APERITUR | Accommodavit | SELEGIT | Accommodavit | ADITUS | APERITUR | PER VISITATORES | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | ET FACILIOREM AD CAPTUM | ET FACILIOREM AD CAPTVM | S. I | EUCLIDIS SEX PRIORIBUS ELEMENTORUM LIBRIS | DEMONSTRATIONES | EUCLIDIS,PER VISITATORES | S. I | S. I
Valencia_1673,1673,Valencia,LATIN,José Zaragoza,Theoretical Mathematics,Geometry/Theory,True,True,False,0.807193601556163,27,"ILLVSTRATVS | EVCLIDES | NOVO-ANTIQUVS SINGVLARI METHOD O, ILLVSTRATVS | SECVNDA EDITIO | R. P | E SOCIETATE IESV | EVCLIDES | ILLVSTRATVS | EVCLIDES",Suprema Hispaniarum Inquisitione | Collegijs Balearico | Barcinonensi | Valentino Scholasticæ Theologiæ | Matritensi Academiæ Imperialis | R. P | E SOCIETATE IESV | D. DIDACVM DE LA TORRE
Bologna_1629a,1629,Bologna,LATIN,Ovidio Montalbani,,No primary family,True,True,False,0.789066400464413,25,"repraesentans | enodans | Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | SPECVLVM EVCLIDIANVM | Totam Euclidis Planimetriam, Quæ absoluta dicitur; & Extranea nonnulla, Geometrica tamen, internotata unico in Schemaste lineariter repraesentans, Omniaque propriis, firmisque Demonstrationibus clarè, atq; particulatim enodans | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SPECVLVM EVCLIDIANVM | EVCLIDIANVM | Euclidis","Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | Collegiatò Bonon | Patriæ Archigymnasij | SENATVS BONONIENSIS | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SENATVS BONONIENSIS Quinquaginta Viros"
Bologna_1663,1663,Bologna,ITALIAN,Giovanni Alfonso Borelli,Theoretical Mathematics,Geometry/Theory,True,True,True,0.7860849953942367,25,"RINNOVATO | Volgarizzato | reuisito | corretto | ridotti | Gl’ antichi Elementi della Geometria | ridotti à maggior breuità, e facilità, In cui con nuovo, e più sicuro modo si dimostra il trattato delle Proporzioni | RINNOVATO | reuisito, e corretto | Fiorentino | Gl’ antichi Elementi della Geometria | EVCLIDE",Studio di Messina | Fiorentino | SIG. GIO. ALFONSO BORELLI
EJGRZN,1671,Paris,FRENCH,Ignace-Gaston Pardies,Theoretical Mathematics,Geometry/Theory,True,True,True,0.778926560692128,25,ELEMENS DE GEOMETRIE | OU PAR UNE METHODE COURTE & aisée l’on peut apprendre ce qu’il faut sçavoir | le P | d’Euclide | d’Archimede | Euclide | Archimede | Ap- pollonius | ELEMENS DE GEOMETRIE | d’Euclide,Compagnie de JESUS | le P | d’Euclide | d’Archimede | Euclide | Archimede | Ap- pollonius
bib-75,1646,Zurich,GERMAN,Johann Ardüser,Practical Geometry | Surveying | Theoretical Mathematics,Geometry/Theory | Instruments/Measurement,True,True,False,0.7676974376897298,26,beschrieben | vermehrt | Allen | GEOMETRIÆ  Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | In welchen die Fundament Euclidis und derselbigen gebrauch/im abmassen und visieren aller Längen/ Flächen und Cörper | jetz von newem umb zwen Bücher vermehrt | Hauptmann | GEOMETRIÆ Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | mit dem Feld-Wein-Trer und Gwichtrübten begriffen | Euclidis,Allen | Hauptmann
Paris_1534a,1534,Paris,LATIN,Johann Vögelin,,No primary family,True,True,True,0.7627354023528541,18,decerptum | omnium Mathematices studiosorum | ELEMENTALE GEOMETRI | EX EUCLIDIS GEOMETRIA | Hayl- pronensi | ELEMENTALE GEOMETRI | EUCLIDIS,omnium Mathematices studiosorum | Hayl- pronensi
Turin_1671,1671,Turin,LATIN,Guarino Guarini,Theoretical Mathematics,Geometry/Theory,True,True,False,0.7624087518000744,24,"ADAVCTVS | EVCLIDES ADAVCTVS ET METHODICVS MATHEMATICAE UNIVERSALIS | Quae ne dum propositionum dependentiam, sed & rerum ordinem observat. Et complectitur ea omnia, quae de quantitate tum discreta, tum continua abstracta speculari queunt. Rescissis superfluis demonstrationibus, & requisitis omnibus profusè coadunatis | ADAVCTVS ET METHODICVS | MVTINENSI C. R. THÉATINO | Philosofo, Theologo & eiusdem R. C. Mathematico | EVCLIDES | Singuli quoque Tractatus novis propositionibus aucti sunt | aliqui etiam ex integro adornati | Omnesque tum figuris, tum verbis clare, dulciloquèque propositi | EVCLIDES","MVTINENSI C. R. THÉATINO | Philosofo, Theologo & eiusdem R. C. Mathematico | CAROLO EMANVELI II. SABAVDIAE DVCI PEDEMONTIVM PRINCIPI REGI CYPRI, &c"
London_1695,1695,London,ENGLISH,William Alingham,Theoretical Mathematics,Geometry/Theory,True,True,False,0.7503127541879131,25,"Epitomiz’d | BEING | demonſtrated | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | A Compendious Collection of the moſt uſeful Propoſitions in the Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Together With their Uſes, in ſeveral practical Parts of the Mathematicks | With ſome of the moſt uſeful Problems re­quired in Practice | Euclid’s ſecond Book and Doctrine of Pro­ portion | Euclid’s ſecond Book | EUCLID | Euclid’s ſecond Book",
Strasbourg_1529,1529,Strasbourg,LATIN,Johann Vögelin,,No primary family,True,True,True,0.7501214672881851,19,"decerptum | omnium Mathematicæ studiosorum | Lectori | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | Geometria | decerptum | Haylpronensi | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | EVCLI",omnium Mathematicæ studiosorum | Lectori | Haylpronensi
