neighbor_bucket,classification_key,year,city,language_first,author_or_editor,primary_classes,primary_subject_family,euclid_or_elements,mentions_euclid,mentions_elements_language,similarity_to_plus_solids_centroid,plus_profile_overlap_count,rich_claim_text_raw,rich_social_text_raw
general_practical_geometry_neighbor,MorisS-18-1,1651,Toulouse,LATIN,Antoine de Lalouvère,Practical Geometry | Theoretical Mathematics,Geometry/Theory,False,False,False,0.7923820714588099,26,"Demonstrata | reducta | restaurat | amplificat | CIRCULI ET HYPERBOLAE SEGMENTORVM | Ex dato eorum centro gravitatis, una cum inventione proportionis & centri gravitatis in portionibus Sphaerae plurimorumque periphericorum, nec non tetragonismo absoluto certa cuiusdam cylindri partis, & aliorum | praesenti Opere restaurat atque amplificat | Societatis IESV | Archimedeæ | adiumento libræ Archimedeæ | à materia divulsæ | libræ Archimedeæ | Archimedeæ",Societatis IESV | Societatis IESV | Archimedeæ
euclid_language_practical_neighbor,Bologna_1629a,1629,Bologna,LATIN,Ovidio Montalbani,,No primary family,True,True,False,0.789066400464413,25,"repraesentans | enodans | Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | SPECVLVM EVCLIDIANVM | Totam Euclidis Planimetriam, Quæ absoluta dicitur; & Extranea nonnulla, Geometrica tamen, internotata unico in Schemaste lineariter repraesentans, Omniaque propriis, firmisque Demonstrationibus clarè, atq; particulatim enodans | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SPECVLVM EVCLIDIANVM | EVCLIDIANVM | Euclidis","Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | Collegiatò Bonon | Patriæ Archigymnasij | SENATVS BONONIENSIS | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SENATVS BONONIENSIS Quinquaginta Viros"
euclid_language_practical_neighbor,bib-75,1646,Zurich,GERMAN,Johann Ardüser,Practical Geometry | Surveying | Theoretical Mathematics,Geometry/Theory | Instruments/Measurement,True,True,False,0.7676974376897298,26,beschrieben | vermehrt | Allen | GEOMETRIÆ  Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | In welchen die Fundament Euclidis und derselbigen gebrauch/im abmassen und visieren aller Längen/ Flächen und Cörper | jetz von newem umb zwen Bücher vermehrt | Hauptmann | GEOMETRIÆ Theoricæ et Practicæ Oder Von dem Feldmassen 14. Bücher | mit dem Feld-Wein-Trer und Gwichtrübten begriffen | Euclidis,Allen | Hauptmann
euclid_language_practical_neighbor,London_1695,1695,London,ENGLISH,William Alingham,Theoretical Mathematics,Geometry/Theory,True,True,False,0.7503127541879131,25,"Epitomiz’d | BEING | demonſtrated | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | A Compendious Collection of the moſt uſeful Propoſitions in the Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Firſt, Third, Fourth, Fifth and Sixth Books of EUCLID | Together With their Uſes, in ſeveral practical Parts of the Mathematicks | With ſome of the moſt uſeful Problems re­quired in Practice | Euclid’s ſecond Book and Doctrine of Pro­ portion | Euclid’s ſecond Book | EUCLID | Euclid’s ſecond Book",
euclid_language_practical_neighbor,Strasbourg_1529,1529,Strasbourg,LATIN,Johann Vögelin,,No primary family,True,True,True,0.7501214672881851,19,"decerptum | omnium Mathematicæ studiosorum | Lectori | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | Geometria | decerptum | Haylpronensi | ELEMEN- TALE GEOMETRICVM, EX EVCLI- dis Geometria | EVCLI",omnium Mathematicæ studiosorum | Lectori | Haylpronensi
euclid_language_practical_neighbor,bib-110,1692,Paris,FRENCH,Bernard Lamy,Practical Geometry,Geometry/Theory,True,True,True,0.7477143208774266,19,ELEMENS DE GEOMETRIE | ce qu’Euclide en a enseigné | Prêtre de l’Oratoire | Ar- chimede | ELEMENS DE GEOMETRIE | les plus belles Propositions d’Ar- chimede | l’Analyse | Propositions d’Archimede | Analyse | Euclide,l’Oratoire | Prêtre de l’Oratoire | Ar- chimede
euclid_language_practical_neighbor,bib-124,1624,Rome,ITALIAN,Giovanni Pomodoro,Practical Geometry,Geometry/Theory,True,True,True,0.7449922275343964,21,"Cauata da | Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame, dalle quali con facilità possono apprendere tutte le cose, che al buon Geometra s’appartengono | Matematico | gli elementi d’Euclide | In cinquanta Tavole, scolpite in Rame | Euclide",Matematici | Architetti | Geografi | Cosmografi | Bombardieri | Ingegneri | Soldati | tutti gli studiosi d’essi | Matematico | SIG. PAOLO SAVELLO
euclid_language_practical_neighbor,bib-76,1598,Venice,LATIN,Franciscus Barocius,Cosmography,Cosmos/Earth,True,False,True,0.7348444487960337,27,"DISTRIBVTA | recognita | aucta | COSMOGRAPHIA | IN QUATVOR LIBROS DISTRIBVTA,  SVMMO ORDINE, MIRAQ. FACILITATE, ac brevitate ad Magnam Ptolemaei Mathematicam Constructionem, ad universamque Astrologiam instituens | nuper in hac secunda editione ab ipso Authore | IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco | aucta | Communia Mathematica | Arithmetica | Geometrica principia | Index eorum | Communia Mathematica | Arithmetica | Geometrica principia | Index","IACOBI FILIO, PATRITIO VENETO | Ioannis de Sacrobosco"
euclid_language_practical_neighbor,bib-9,1544,Strasbourg,LATIN,Oronce Finé,Practical Geometry,Geometry/Theory,True,True,True,0.7323839622370683,22,"emissus | LIBER DE GEOMETRIA PRACTICA | SIVE DE practicis longitudinum, planorum & so- lidorum: hoc est, linearum, superficio- rum, & corporum mensonibus; aliisqꝫ mechanicis, ex demonstratis EVCLIDIS elementis corollarius | NUNC PRIMVM APVD GERMA- nos in lucem emissus | LUTETIAE LIBERALIVM disciplinarum Professoris regij | EVCLIDIS elementis | ex demonstratis EVCLIDIS elementis corollarius | EVCLIDIS",LUTETIAE LIBERALIVM disciplinarum Professoris regij
euclid_language_practical_neighbor,bib-31,1646,Zurich,GERMAN,Johann Ardüser,Instrument Use | Practical Geometry | Surveying | Theoretical Mathematics,Geometry/Theory | Instruments/Measurement,True,True,False,0.7314858793494423,22,"beschrieben | begriffen | Allen | GEOMETRIA Theorica und Practica Oder Von dem Feldmäsßen 14. Bücher | In welchen die Fundament Euclidis und derselbigen Gebrauch, im Abmäsßen und Visieren aller Längen, Flächen und Cörpern: mit dem Feld-, Wein-, Treit- und Gwicht-Ruthen begriffen | Hauptmann | Zürcher | 14. Bücher | Fundament Euclidis | Euclidis",Allen | Hauptmann | Zürcher
