family,metric,label,group,n,count,pct
subject,Practical Geometry_present,Practical Geometry class present,plus_1_6_11_12,39,8,20.5
subject,Practical Geometry_present,Practical Geometry class present,plain_1_6,81,16,19.8
subject,Practical Geometry_present,Practical Geometry class present,other_metadata_elements,247,28,11.3
subject,Practical Geometry_present,Practical Geometry class present,nonmetadata_practical_geometry,260,260,100.0
subject,Practical Geometry_present,Practical Geometry class present,nonmetadata_military_applied,89,53,59.6
subject,Practical Geometry_present,Practical Geometry class present,nonmetadata_practical_or_military,296,260,87.8
subject,Practical Geometry_present,Practical Geometry class present,all_nonmetadata,557,260,46.7
subject,Theoretical Mathematics_present,Theoretical Mathematics class present,plus_1_6_11_12,39,22,56.4
subject,Theoretical Mathematics_present,Theoretical Mathematics class present,plain_1_6,81,43,53.1
subject,Theoretical Mathematics_present,Theoretical Mathematics class present,other_metadata_elements,247,166,67.2
subject,Theoretical Mathematics_present,Theoretical Mathematics class present,nonmetadata_practical_geometry,260,70,26.9
subject,Theoretical Mathematics_present,Theoretical Mathematics class present,nonmetadata_military_applied,89,20,22.5
subject,Theoretical Mathematics_present,Theoretical Mathematics class present,nonmetadata_practical_or_military,296,74,25.0
subject,Theoretical Mathematics_present,Theoretical Mathematics class present,all_nonmetadata,557,168,30.2
subject,Geometry/Theory_present,Geometry/Theory family present,plus_1_6_11_12,39,27,69.2
subject,Geometry/Theory_present,Geometry/Theory family present,plain_1_6,81,51,63.0
subject,Geometry/Theory_present,Geometry/Theory family present,other_metadata_elements,247,179,72.5
subject,Geometry/Theory_present,Geometry/Theory family present,nonmetadata_practical_geometry,260,260,100.0
subject,Geometry/Theory_present,Geometry/Theory family present,nonmetadata_military_applied,89,58,65.2
subject,Geometry/Theory_present,Geometry/Theory family present,nonmetadata_practical_or_military,296,265,89.5
subject,Geometry/Theory_present,Geometry/Theory family present,all_nonmetadata,557,361,64.8
subject,Applied Mechanics/Military_present,Applied Mechanics/Military family present,plus_1_6_11_12,39,4,10.3
subject,Applied Mechanics/Military_present,Applied Mechanics/Military family present,plain_1_6,81,4,4.9
subject,Applied Mechanics/Military_present,Applied Mechanics/Military family present,other_metadata_elements,247,10,4.0
subject,Applied Mechanics/Military_present,Applied Mechanics/Military family present,nonmetadata_practical_geometry,260,47,18.1
subject,Applied Mechanics/Military_present,Applied Mechanics/Military family present,nonmetadata_military_applied,89,81,91.0
subject,Applied Mechanics/Military_present,Applied Mechanics/Military family present,nonmetadata_practical_or_military,296,81,27.4
subject,Applied Mechanics/Military_present,Applied Mechanics/Military family present,all_nonmetadata,557,81,14.5
subject,Military Engineering_present,Military Engineering class present,plus_1_6_11_12,39,0,0.0
subject,Military Engineering_present,Military Engineering class present,plain_1_6,81,1,1.2
subject,Military Engineering_present,Military Engineering class present,other_metadata_elements,247,4,1.6
subject,Military Engineering_present,Military Engineering class present,nonmetadata_practical_geometry,260,32,12.3
subject,Military Engineering_present,Military Engineering class present,nonmetadata_military_applied,89,48,53.9
subject,Military Engineering_present,Military Engineering class present,nonmetadata_practical_or_military,296,48,16.2
subject,Military Engineering_present,Military Engineering class present,all_nonmetadata,557,48,8.6
