family,metric,elements_count,elements_pct,non_elements_pct,all_pct,delta_vs_non_elements
primary_subject_family,Geometry/Theory,179,62.6,44.0,50.3,18.6
primary_subject_family,Music,6,2.1,2.2,2.1,-0.1
primary_subject_family,Cosmos/Earth,17,5.9,11.3,9.5,-5.4
primary_subject_family,Applied Mechanics/Military,2,0.7,9.9,6.8,-9.2
primary_subject_family,Visual/Spatial Arts,9,3.1,18.1,13.0,-15.0
primary_subject_family,Instruments/Measurement,4,1.4,18.0,12.3,-16.6
primary_subject_family,Arithmetic/Commerce,15,5.2,23.2,17.1,-17.9
rich_claim_mode,claim_ancient_authority_restoration,238,83.2,12.0,36.2,71.2
rich_claim_mode,claim_canonical_textual_identity,248,86.7,26.6,47.0,60.1
rich_claim_mode,claim_method_demonstration_order,120,42.0,16.3,25.0,25.6
rich_claim_mode,claim_translation_vernacularization_transfer,75,26.2,8.4,14.5,17.8
rich_claim_mode,claim_augmentation_enrichment_composition,117,40.9,28.7,32.9,12.2
rich_claim_mode,claim_correction_revision_accuracy,66,23.1,11.5,15.4,11.6
rich_claim_mode,claim_selection_extraction_abridgment,51,17.8,7.0,10.7,10.8
rich_claim_mode,claim_accessibility_clarity_pedagogy,45,15.7,9.3,11.5,6.4
rich_claim_mode,claim_completeness_totality_system,48,16.8,11.8,13.5,4.9
rich_claim_mode,claim_visual_material_aids,45,15.7,14.4,14.8,1.4
rich_claim_mode,claim_novelty_modernity_invention,27,9.4,13.5,12.1,-4.0
rich_claim_mode,claim_utility_practice_application,22,7.7,17.8,14.4,-10.1
archetype,procedural_pedagogical_identity,163,57.0,10.6,26.3,46.4
archetype,humanist_transfer_book,71,24.8,1.6,9.5,23.2
archetype,composite_workshop_book,102,35.7,25.3,28.8,10.4
archetype,method_access_book,28,9.8,4.3,6.2,5.5
archetype,sparse_canonical_identity,19,6.6,6.3,6.4,0.4
archetype,utility_public_book,13,4.5,8.4,7.1,-3.9
social_arena,religious_institutional_arena,60,21.0,7.4,12.0,13.6
social_arena,learned_scholarly_arena,92,32.2,19.7,24.0,12.4
social_arena,pedagogical_school_arena,67,23.4,11.8,15.8,11.6
social_arena,military_fortification_arena,10,3.5,2.2,2.6,1.3
social_arena,patronage_prestige_arena,25,8.7,8.4,8.5,0.3
social_arena,general_public_lovers_arena,18,6.3,6.8,6.6,-0.5
social_arena,court_state_service_arena,32,11.2,12.9,12.3,-1.7
social_arena,professional_practical_arena,12,4.2,8.1,6.8,-3.9
social_arena,no_visible_social_arena,125,43.7,60.5,54.8,-16.8
conservative_intellectual_value,ival_ancient_restoration_humanist,58,20.3,2.5,8.5,17.8
conservative_intellectual_value,ival_translation_vernacularization,48,16.8,2.7,7.5,14.1
conservative_intellectual_value,ival_augmentation_enrichment_completeness,47,16.4,12.6,13.9,3.9
conservative_intellectual_value,ival_novelty_invention_modernity,26,9.1,5.4,6.6,3.7
conservative_intellectual_value,ival_demonstration_method_order,44,15.4,12.0,13.2,3.4
conservative_intellectual_value,ival_ease_clarity_accessibility,22,7.7,4.7,5.7,3.0
conservative_intellectual_value,ival_abridgment_contraction_selection,11,3.8,2.7,3.1,1.2
conservative_intellectual_value,ival_visual_materiality_diagrams,18,6.3,5.4,5.7,0.9
conservative_intellectual_value,ival_correction_revision_accuracy,20,7.0,6.3,6.5,0.7
conservative_intellectual_value,ival_utility_application_practice,12,4.2,8.3,6.9,-4.1
tps_feature_presence,references_to_euclid_has,238,83.2,9.9,34.8,73.3
tps_feature_presence,elements_designation_has,241,84.3,11.3,36.1,73.0
tps_feature_presence,base_content_has,258,90.2,51.9,64.9,38.3
tps_feature_presence,institutions_has,127,44.4,21.9,29.5,22.5
tps_feature_presence,edition_details_has,131,45.8,27.3,33.6,18.5
tps_feature_presence,destination_language_has,72,25.2,7.4,13.4,17.8
tps_feature_presence,action_verbs_has,223,78.0,60.5,66.4,17.5
tps_feature_presence,bound_with_has,87,30.4,14.4,19.8,16.1
tps_feature_presence,bound_with_minimal_has,86,30.1,14.2,19.6,15.9
tps_feature_presence,editor_description_has,193,67.5,52.4,57.5,15.1
tps_feature_presence,origin_language_has,56,19.6,4.8,9.8,14.7
tps_feature_presence,description_of_euclid_has,39,13.6,1.3,5.5,12.4
tps_feature_presence,educational_authorities_references_has,63,22.0,11.0,14.7,11.1
tps_feature_presence,enriched_with_has,135,47.2,38.6,41.5,8.6
tps_feature_presence,publisher_in_imprint_has,249,87.1,80.4,82.7,6.6
tps_feature_presence,content_description_has,133,46.5,40.2,42.3,6.3
tps_feature_presence,location_in_imprint_has,250,87.4,82.2,84.0,5.2
tps_feature_presence,dedicatee_name_has,63,22.0,18.1,19.5,3.9
tps_feature_presence,date_in_imprint_has,248,86.7,83.5,84.6,3.2
tps_feature_presence,editor_name_has,221,77.3,76.1,76.5,1.2
tps_feature_presence,audience_has,62,21.7,25.7,24.3,-4.0
tps_feature_presence,printing_privilege_has,5,1.7,5.9,4.5,-4.2
