wardhaugh_classification,books_1_13,books_1_6,books_1_6_plus_solids,mixed_or_other_books,near_complete_or_expanded,near_complete_or_expanded_enunciations,partial_from_book_1,selected_later_books,selected_later_books_enunciations,unknown_books,TOTAL
MISSING,2,13,7,0,7,0,5,4,0,50,88
CLAVIUS,2,24,21,0,12,0,0,2,0,0,61
MAGNIENUS/GRACILIS and DASYPODIUS,0,9,0,0,14,4,0,7,1,3,38
ZAMBERTI/GRYNAEUS (THEON),0,9,0,0,4,0,0,4,0,3,20
COMMANDINO,0,6,1,1,7,2,0,0,0,0,17
DOU,0,13,0,0,0,0,0,0,0,0,13
HÉRIGONE/BARROW,0,2,1,0,9,0,0,1,0,0,13
TACQUET,0,2,9,0,0,0,0,0,0,0,11
FOIX,0,1,0,0,5,1,2,0,0,0,9
D’ÉTAPLES,0,2,0,0,5,0,0,0,0,0,7
CAMPANUS,0,0,0,0,3,0,1,0,0,0,4
MONTDORÉ,0,0,0,0,0,0,0,2,0,0,2
GREGORY,0,0,0,0,1,0,0,0,0,0,1
MAUROLICUS,0,0,0,0,0,0,0,1,0,0,1
ps-TUSI,1,0,0,0,0,0,0,0,0,0,1
