wardhaugh_classification,ARABIC,CHINESE,DUTCH,ENGLISH,FRENCH,GERMAN,GREEK,ITALIAN,LATIN,PORTUGUESE,SPANISH,SWEDISH,TOTAL
MISSING,0,0,2,8,15,4,5,5,45,1,1,2,88
CLAVIUS,0,2,3,6,13,2,0,1,34,0,0,0,61
MAGNIENUS/GRACILIS and DASYPODIUS,0,0,0,0,13,0,5,5,15,0,0,0,38
ZAMBERTI/GRYNAEUS (THEON),0,0,1,0,0,3,6,0,9,0,1,0,20
COMMANDINO,0,0,5,0,4,0,0,1,6,0,1,0,17
DOU,0,0,10,1,0,2,0,0,0,0,0,0,13
HÉRIGONE/BARROW,0,0,0,4,4,0,0,0,5,0,0,0,13
TACQUET,0,0,0,0,0,2,0,0,6,0,3,0,11
FOIX,0,0,0,1,3,0,0,0,5,0,0,0,9
D’ÉTAPLES,0,0,0,0,1,0,0,0,6,0,0,0,7
CAMPANUS,0,0,0,0,0,0,0,0,4,0,0,0,4
MONTDORÉ,0,0,0,0,0,0,0,0,2,0,0,0,2
GREGORY,0,0,0,0,0,0,0,0,1,0,0,0,1
MAUROLICUS,0,0,0,0,0,0,0,0,1,0,0,0,1
ps-TUSI,1,0,0,0,0,0,0,0,0,0,0,0,1
