wardhaugh_classification,n,metric,count,pct,elements_overall_pct,delta
TACQUET,11,learned_scholarly_arena,11,100.0,32.2,67.8
DOU,13,general_public_lovers_arena,9,69.2,6.3,62.9
TACQUET,11,pedagogical_school_arena,9,81.8,23.4,58.4
DOU,13,claim_method_demonstration_order,13,100.0,42.0,58.0
HÉRIGONE/BARROW,13,claim_method_demonstration_order,13,100.0,42.0,58.0
DOU,13,claim_novelty_modernity_invention,8,61.5,9.4,52.1
DOU,13,claim_selection_extraction_abridgment,9,69.2,17.8,51.4
FOIX,9,claim_selection_extraction_abridgment,6,66.7,17.8,48.8
COMMANDINO,17,humanist_transfer_book,12,70.6,24.8,45.8
DOU,13,claim_visual_material_aids,8,61.5,15.7,45.8
COMMANDINO,17,claim_translation_vernacularization_transfer,12,70.6,26.2,44.4
DOU,13,procedural_pedagogical_identity,13,100.0,57.0,43.0
DOU,13,composite_workshop_book,10,76.9,35.7,41.3
HÉRIGONE/BARROW,13,metadata_additional_data,6,46.2,7.0,39.2
DOU,13,claim_correction_revision_accuracy,8,61.5,23.1,38.5
HÉRIGONE/BARROW,13,claim_completeness_totality_system,7,53.8,16.8,37.1
FOIX,9,claim_augmentation_enrichment_composition,7,77.8,40.9,36.9
DOU,13,claim_augmentation_enrichment_composition,10,76.9,40.9,36.0
DOU,13,professional_practical_arena,5,38.5,4.2,34.3
TACQUET,11,religious_institutional_arena,6,54.5,21.0,33.6
MAGNIENUS/GRACILIS and DASYPODIUS,38,humanist_transfer_book,22,57.9,24.8,33.1
D’ÉTAPLES,7,humanist_transfer_book,4,57.1,24.8,32.3
MAGNIENUS/GRACILIS and DASYPODIUS,38,claim_translation_vernacularization_transfer,22,57.9,26.2,31.7
FOIX,9,composite_workshop_book,6,66.7,35.7,31.0
D’ÉTAPLES,7,claim_translation_vernacularization_transfer,4,57.1,26.2,30.9
TACQUET,11,claim_method_demonstration_order,8,72.7,42.0,30.8
D’ÉTAPLES,7,claim_augmentation_enrichment_composition,5,71.4,40.9,30.5
CLAVIUS,61,religious_institutional_arena,31,50.8,21.0,29.8
FOIX,9,professional_practical_arena,3,33.3,4.2,29.1
D’ÉTAPLES,7,procedural_pedagogical_identity,6,85.7,57.0,28.7
DOU,13,method_access_book,5,38.5,9.8,28.7
HÉRIGONE/BARROW,13,procedural_pedagogical_identity,11,84.6,57.0,27.6
HÉRIGONE/BARROW,13,metadata_has_additional_content,6,46.2,19.2,26.9
COMMANDINO,17,patronage_prestige_arena,6,35.3,8.7,26.6
HÉRIGONE/BARROW,13,no_visible_social_arena,9,69.2,43.7,25.5
D’ÉTAPLES,7,metadata_has_additional_content,3,42.9,19.2,23.6
DOU,13,claim_utility_practice_application,4,30.8,7.7,23.1
FOIX,9,no_visible_social_arena,6,66.7,43.7,23.0
DOU,13,claim_accessibility_clarity_pedagogy,5,38.5,15.7,22.7
FOIX,9,court_state_service_arena,3,33.3,11.2,22.1
D’ÉTAPLES,7,composite_workshop_book,4,57.1,35.7,21.5
FOIX,9,procedural_pedagogical_identity,7,77.8,57.0,20.8
ZAMBERTI/GRYNAEUS (THEON),20,humanist_transfer_book,9,45.0,24.8,20.2
D’ÉTAPLES,7,patronage_prestige_arena,2,28.6,8.7,19.8
COMMANDINO,17,claim_visual_material_aids,6,35.3,15.7,19.6
TACQUET,11,Geometry/Theory,9,81.8,62.6,19.2
ZAMBERTI/GRYNAEUS (THEON),20,claim_translation_vernacularization_transfer,9,45.0,26.2,18.8
CLAVIUS,61,claim_method_demonstration_order,37,60.7,42.0,18.7
MISSING,88,metadata_has_additional_content,33,37.5,19.2,18.3
TACQUET,11,claim_novelty_modernity_invention,3,27.3,9.4,17.8
DOU,13,claim_ancient_authority_restoration,13,100.0,83.2,16.8
TACQUET,11,claim_ancient_authority_restoration,11,100.0,83.2,16.8
D’ÉTAPLES,7,claim_ancient_authority_restoration,7,100.0,83.2,16.8
ZAMBERTI/GRYNAEUS (THEON),20,no_visible_social_arena,12,60.0,43.7,16.3
DOU,13,pedagogical_school_arena,5,38.5,23.4,15.0
TACQUET,11,military_fortification_arena,2,18.2,3.5,14.7
CLAVIUS,61,claim_correction_revision_accuracy,23,37.7,23.1,14.6
HÉRIGONE/BARROW,13,Geometry/Theory,10,76.9,62.6,14.3
MAGNIENUS/GRACILIS and DASYPODIUS,38,claim_canonical_textual_identity,38,100.0,86.7,13.3
DOU,13,claim_canonical_textual_identity,13,100.0,86.7,13.3
TACQUET,11,claim_canonical_textual_identity,11,100.0,86.7,13.3
D’ÉTAPLES,7,claim_canonical_textual_identity,7,100.0,86.7,13.3
HÉRIGONE/BARROW,13,claim_selection_extraction_abridgment,4,30.8,17.8,12.9
D’ÉTAPLES,7,claim_completeness_totality_system,2,28.6,16.8,11.8
MAGNIENUS/GRACILIS and DASYPODIUS,38,no_visible_social_arena,21,55.3,43.7,11.6
MAGNIENUS/GRACILIS and DASYPODIUS,38,claim_ancient_authority_restoration,36,94.7,83.2,11.5
CLAVIUS,61,method_access_book,13,21.3,9.8,11.5
D’ÉTAPLES,7,metadata_additional_optics_catoptrics,1,14.3,4.9,9.4
MISSING,88,Cosmos/Earth,13,14.8,5.9,8.8
MAGNIENUS/GRACILIS and DASYPODIUS,38,metadata_additional_data,6,15.8,7.0,8.8
COMMANDINO,17,religious_institutional_arena,5,29.4,21.0,8.4
COMMANDINO,17,Geometry/Theory,12,70.6,62.6,8.0
MAGNIENUS/GRACILIS and DASYPODIUS,38,claim_accessibility_clarity_pedagogy,9,23.7,15.7,7.9
ZAMBERTI/GRYNAEUS (THEON),20,learned_scholarly_arena,8,40.0,32.2,7.8
MISSING,88,learned_scholarly_arena,35,39.8,32.2,7.6
COMMANDINO,17,claim_canonical_textual_identity,16,94.1,86.7,7.4
MAGNIENUS/GRACILIS and DASYPODIUS,38,learned_scholarly_arena,15,39.5,32.2,7.3
D’ÉTAPLES,7,metadata_additional_data,1,14.3,7.0,7.3
CLAVIUS,61,claim_accessibility_clarity_pedagogy,14,23.0,15.7,7.2
CLAVIUS,61,utility_public_book,7,11.5,4.5,6.9
DOU,13,Geometry/Theory,9,69.2,62.6,6.6
MAGNIENUS/GRACILIS and DASYPODIUS,38,claim_augmentation_enrichment_composition,18,47.4,40.9,6.5
FOIX,9,metadata_additional_optics_catoptrics,1,11.1,4.9,6.2
FOIX,9,claim_ancient_authority_restoration,8,88.9,83.2,5.7
COMMANDINO,17,composite_workshop_book,7,41.2,35.7,5.5
CLAVIUS,61,claim_utility_practice_application,8,13.1,7.7,5.4
FOIX,9,Cosmos/Earth,1,11.1,5.9,5.2
COMMANDINO,17,sparse_canonical_identity,2,11.8,6.6,5.1
D’ÉTAPLES,7,pedagogical_school_arena,2,28.6,23.4,5.1
MISSING,88,pedagogical_school_arena,25,28.4,23.4,5.0
COMMANDINO,17,claim_ancient_authority_restoration,15,88.2,83.2,5.0
ZAMBERTI/GRYNAEUS (THEON),20,Arithmetic/Commerce,2,10.0,5.2,4.8
