classification_key,year,city,language,primary_classes,base_content,elements_designation,references_to_euclid
6AMYTJ,1557,Paris,FRENCH,Arithmetic,TROYSIESME LI- VRE DE L'ARITHMETIQVE,,
8DP4C1,1613,Bologna,ITALIAN,Practical Geometry,I primi sei libri de gl’Elementi d’Euclide,I primi sei libri de gl’Elementi d’Euclide,Euclide
Alcala_1637,1637,Alcala,"DUTCH, LATIN",,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS DE EVCLIDES,EVCLIDES
Amsterdam_1660a,1660,Amsterdam,LATIN,Theoretical Mathematics,DE UNIVERSAE MATHESIOS NATURA & CONSTITUTIONE LIBER,,
Amsterdam_1672,1672,Amsterdam,DUTCH,Instrument Use | Practical Geometry,de ses eerste Boecken Euclidis,de ses eerste Boecken Euclidis,EUCLIDES DANICUS | Euclidis
Amsterdam_1695,1695,Amsterdam,DUTCH,Theoretical Mathematics,EUCLIDIS BEGINSELEN der MEETKONST,EUCLIDIS BEGINSELEN der MEETKONST,EUCLIDIS
Amsterdam_1702,1702,Amsterdam,DUTCH,Theoretical Mathematics,DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS,DE SES EERSTE BOEKEN DER BEGINSELEN EUCLIDIS,EUCLIDIS
Antwerp_1645,1645,Antwerp,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM ISIDORVM,EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBROS TREDECIM ISIDORVM,EVCLIDIS
Arnhem_1603,1603,Arnhem,LATIN,Theoretical Mathematics,IN GEOMETRIAM EVCLIDIS prioribus sex Elementorum libris,IN GEOMETRIAM EVCLIDIS prioribus sex Elementorum libris,EVCLIDIS
Arnhem_1605a,1605,Arnhem,LATIN,Theoretical Mathematics,EV- CLIDIS Decimo Elementorum libro,EV- CLIDIS Decimo Elementorum libro,EV- CLIDIS
Barcelona_1698,1698,Barcelona,SPANISH,Theoretical Mathematics,Libro primero (- sexto) de los Elementos Geometricos de Euclides,Libro primero (- sexto) de los Elementos Geometricos de Euclides,Euclides
Basel_1533,1533,Basel,"GREEK, LATIN",,ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛ. ΙΕ,,ΕΥΚΛΕΙΔΟΥ
Basel_1570,1570,Basel,"DUTCH, LATIN",Arithmetic | Music Theory | Theoretical Mathematics,"ANITII MANLII SEVERINI BOETHI, PHILOSOPHORVM ET THEOLOGORVM PRINCIPIS OPERA omnia",,
Beijing_1607,1607,Beijing,CHINESE,,幾何原本,幾何原本,
Bologna_1651,1651,Bologna,ITALIAN,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE
Bologna_1651a,1651,Bologna,ITALIAN,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE
Bologna_1686,1686,Bologna,ITALIAN,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE
Bologna_1693,1693,Bologna,LATIN,,"PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA","PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA",EVCLIDIS
Brussels_1701,1701,Brussels,SPANISH,Theoretical Mathematics,"LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS","LOS SEIS PRIMEROS LIBROS, ONZE, Y DOZE, DE LOS ELEMENTOS GEOMETRICOS",EUCLIDES MEGARENSE
Cambridge_1655,1655,Cambridge,LATIN,Theoretical Mathematics,EUCLIDIS ELEMENTORUM Libri xv,EUCLIDIS ELEMENTORUM Libri xv,EUCLIDIS
Cambridge_1657,1657,Cambridge,LATIN,Theoretical Mathematics,EUCLIDIS DATA,Elementa EUCLIDIS,EUCLIDIS
Cologne_1580,1580,Cologne,LATIN,,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS
Cologne_1600,1600,Cologne,LATIN,,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,EVCLIDIS
Cologne_1612,1612,Cologne,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS | EVCLIDIS ELEMENTORVM
Cologne_1627,1627,Cologne,LATIN,Theoretical Mathematics,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS
D40ZCO,1628,Jena,GERMAN,,Teutscher Euclides,Euclides,Euclides
Douai_1620,1620,Douai,LATIN,,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,EVCLIDIS
Douai_1625,1625,Douai,LATIN,,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis
E7J0Y4,1556,Paris,FRENCH,Arithmetic,LE SECOND LIVRE DE L'ARITHMETIQVE,,
E8K2CK,1659,Bologna,LATIN,Theoretical Mathematics,GEOMETRIAE SPECIOSAE ELEMENTA,GEOMETRIAE SPECIOSAE ELEMENTA,
EFXRG3,1631,Paris,FRENCH,Perspective,ABREGE' OV RACOVRCY DE LA PERSPECTIVE,,
Ferrara_1628,1628,Ferrara,LATIN,,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS
Florence_1573,1573,Florence,ITALIAN,Perspective,LA PROSPETTIVA DI EVCLIDE,LA PROSPETTIVA DI EVCLIDE,EVCLIDE
Florence_1690,1690,Florence,ITALIAN,Theoretical Mathematics,"ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE","ELEMENTI PIANI, E SOLIDI D’EVCLIDE | QVINTO LIBRO DEGLI ELEMENTI D’EVCLIDE",D’EVCLIDE | DEGLI ELEMENTI D’EVCLIDE
GDIHEX,1638,Ravenna,ITALIAN,Construction | Mechanics | Perspective,PRATICA DI FABRICAR SCENE E MACHINE NE' TEATRI,,
Geneva_1611,1611,Geneva,FRENCH,,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE | LES SIX PREMIERS LIVRES DES ELEMENTS GEOMETRIQVES D’EVCLIDE,EVCLIDE
Glasgow_1756,1756,Glasgow,LATIN,Theoretical Mathematics,"LIBRI PRIORES SEX, ITEM UNDECIMUS ET DUODECIMUS",EUCLIDIS ELEMENTORUM,EUCLIDIS | EUCLIDIS ELEMENTORUM | EUCLIDIS Demonstrationibus
