title_page_key,classification_key,title_year,title_city,title_language,primary_classes,secondary_classes,unknown_classes,base_content,elements_designation,references_to_euclid,content_description
Alcala_1637,Alcala_1637,1637,Alcala,"DUTCH, LATIN",,,,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS DE EVCLIDES,EVCLIDES,PHILO-SOPHO MEGARENSE SVS SEYS PRIMEROS LIBROS
Amsterdam_1618,Amsterdam_1618,1618,Amsterdam,GERMAN,,Practical Geometry,,Die sechs ersten Bücher EVCLIDIS,Die sechs ersten Bücher EVCLIDIS,EVCLIDIS,Von den anfängen vnd fundamenten der Geometriæ
Amsterdam_1626,Amsterdam_1626,1626,Amsterdam,DUTCH,,Practical Geometry,,De ses eerste Boecken EVCLIDIS,De ses eerste Boecken EVCLIDIS,EVCLIDIS,Van de beginselen ende fondamenten der Geometrie
Bologna_1629,Ingolstadt_1617,1629,Bologna,LATIN,,,,"EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES","EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES",EVCLIDIS,
Bologna_1651,Bologna_1651,1651,Bologna,ITALIAN,,,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE,
Bologna_1651a,Bologna_1651a,1651,Bologna,ITALIAN,,,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE,
Bologna_1686,Bologna_1686,1686,Bologna,ITALIAN,,,,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri,EVCLIDE,
Cologne_1556,Cologne_1556,1556,Cologne,LATIN,,,,Elementorum Geometricorum liber primus,Elementorum Geometricorum liber primus,EVCLIDIS,"cui ex sequentibus libris accesserunt Propositiones selectæ atque ita ordinatae, ut demonstrari queant obseruata Geometrarum Methodo"
Cologne_1580,Cologne_1580,1580,Cologne,LATIN,,,,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS,"Quibus, cùm ad omnem Mathematicæ scientiæ partem, tùm ad quamlibet Geometriæ tractationem, facilis comparatur aditus"
Cologne_1587,Cologne_1580,1587,Cologne,LATIN,,,,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS ELEMENTORVM LIBRI XV,EVCLIDIS,"Quibus, cùm ad omnem Mathematicæ scientiæ partem, tùm ad quamlibet Geometriæ tractationem, facilis comparatur aditus"
Cologne_1600,Cologne_1600,1600,Cologne,LATIN,,,,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,EVCLIDIS ELEMENTORVM LIBRI XV. QVIBVS,EVCLIDIS,"CVM AD OMNEM MATHEMATICAE SCIENTIAE PARTEM, TVM AD QVAMLIbet Geometriæ tractationem facilis comparatur aditus"
Douai_1620,Douai_1620,1620,Douai,LATIN,,,,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,EVCLIDIS ELEMENTORVM LIBRI SEX PRIORES,EVCLIDIS,"Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum"
Douai_1625,Douai_1625,1625,Douai,LATIN,,,,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis,"Quorum demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum"
Douai_1633,Douai_1625,1633,Douai,LATIN,,,,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis ELEMENTORVM LIBRI SEX PRIORES,Euclidis,"demonstrationes tum alibi sparsim, tum maximè libro quinto ad facil-iorem captum"
Ferrara_1628,Ferrara_1628,1628,Ferrara,LATIN,,,,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS ELEMENTORVM Libri VI,EVCLIDIS,
Geneva_1610,Lyon_1557,1610,Geneva,LATIN,,,,IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex,IN EVCLIDIS ELEMENTA GEOMETRICA Demonstrationum Libri sex,Euclidis | Euclidem,
Geneva_1611,Geneva_1611,1611,Geneva,FRENCH,,,,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE,LES SIX PREMIERS LIVRES DES ELEMENTS GEOME- TRIQVES D’EVCLIDE,EVCLIDE,
