subject_a,subject_b,count
Instrument Use,Practical Geometry,72
Practical Geometry,Surveying,52
Arithmetic,Practical Geometry,48
Arithmetic,Theoretical Mathematics,48
Practical Geometry,Theoretical Mathematics,46
Arithmetic,Commercial Mathematics,37
Architecture,Practical Geometry,32
Astronomy,Theoretical Mathematics,31
Construction,Practical Geometry,28
Perspective,Practical Geometry,28
Arithmetic,Trigonometry,28
Theoretical Mathematics,Trigonometry,27
Arithmetic,Astronomy,26
Practical Geometry,Trigonometry,24
Military Engineering,Practical Geometry,23
Astronomy,Instrument Use,22
Construction,Military Engineering,22
Architecture,Perspective,21
Instrument Use,Surveying,21
Astronomy,Geography,21
Astronomy,Practical Geometry,20
Instrument Construction,Instrument Use,19
Architecture,Military Engineering,18
Arithmetic,Instrument Use,17
Arithmetic,Surveying,17
Astronomy,Navigation,17
Instrument Construction,Practical Geometry,17
Arithmetic,Military Engineering,16
Gnomonics & Horology,Instrument Use,16
Gnomonics & Horology,Practical Geometry,15
Architecture,Construction,15
Instrument Use,Perspective,15
Arithmetic,Geography,15
Astronomy,Gnomonics & Horology,15
Instrument Use,Military Engineering,14
Construction,Surveying,14
Astronomy,Cosmography,13
Cosmography,Geography,13
Astronomy,Instrument Construction,13
Arithmetic,Cosmography,12
Mechanics,Practical Geometry,12
Arithmetic,Mechanics,12
Instrument Use,Theoretical Mathematics,12
Military Engineering,Trigonometry,11
Geography,Navigation,11
Construction,Instrument Use,11
Astronomy,Trigonometry,11
Surveying,Theoretical Mathematics,11
Architecture,Arithmetic,11
Architecture,Instrument Use,11
Arithmetic,Music Theory,11
Arithmetic,Gnomonics & Horology,10
Commercial Mathematics,Practical Geometry,10
Military Engineering,Surveying,10
Music Theory,Theoretical Mathematics,10
Military Engineering,Theoretical Mathematics,10
Construction,Theoretical Mathematics,9
Arithmetic,Navigation,9
Instrument Use,Navigation,9
Instrument Use,Trigonometry,9
Geography,Practical Geometry,9
Gnomonics & Horology,Instrument Construction,9
Cartography,Practical Geometry,9
Architecture,Cosmography,9
Cartography,Instrument Use,9
Military Engineering,Perspective,8
Navigation,Trigonometry,8
Surveying,Trigonometry,8
Gnomonics & Horology,Navigation,8
Architecture,Astronomy,8
Architecture,Geography,8
Navigation,Practical Geometry,8
Instrument Construction,Theoretical Mathematics,8
Arithmetic,Construction,8
Astronomy,Music Theory,7
Construction,Trigonometry,7
Perspective,Theoretical Mathematics,7
Architecture,Surveying,7
Mechanics,Theoretical Mathematics,7
Geography,Instrument Use,6
Geography,Gnomonics & Horology,6
Cosmography,Practical Geometry,6
Architecture,Theoretical Mathematics,6
Gnomonics & Horology,Mechanics,6
Arithmetic,Instrument Construction,6
Gnomonics & Horology,Trigonometry,6
Instrument Use,Mechanics,6
Cosmography,Instrument Use,6
Mechanics,Military Engineering,6
Cosmography,Navigation,6
Geography,Trigonometry,6
Commercial Mathematics,Surveying,6
Cartography,Surveying,6
Construction,Perspective,5
Cartography,Geography,5
Architecture,Mechanics,5
Commercial Mathematics,Theoretical Mathematics,5
Gnomonics & Horology,Theoretical Mathematics,5
Astronomy,Mechanics,5
Construction,Mechanics,5
Astronomy,Surveying,5
Geography,Surveying,5
Astronomy,Perspective,5
Cosmography,Gnomonics & Horology,5
Instrument Construction,Surveying,4
Instrument Construction,Military Engineering,4
Astronomy,Cartography,4
Architecture,Trigonometry,4
Navigation,Theoretical Mathematics,4
Arithmetic,Perspective,4
Military Engineering,Navigation,3
Cosmography,Surveying,3
Instrument Construction,Trigonometry,3
Commercial Mathematics,Mechanics,3
Commercial Mathematics,Instrument Use,3
Mechanics,Perspective,3
Mechanics,Trigonometry,3
Geography,Military Engineering,3
Commercial Mathematics,Trigonometry,3
Music Theory,Practical Geometry,3
Cartography,Navigation,3
Navigation,Surveying,3
Perspective,Surveying,3
Architecture,Gnomonics & Horology,3
Cartography,Cosmography,3
Astronomy,Military Engineering,3
Cartography,Theoretical Mathematics,3
Commercial Mathematics,Military Engineering,3
Cosmography,Mechanics,3
Construction,Geography,3
Gnomonics & Horology,Military Engineering,3
Instrument Construction,Navigation,3
Cosmography,Theoretical Mathematics,3
Perspective,Trigonometry,2
Geography,Theoretical Mathematics,2
Architecture,Instrument Construction,2
Cosmography,Instrument Construction,2
Cosmography,Trigonometry,2
Gnomonics & Horology,Perspective,2
Mechanics,Surveying,2
Instrument Construction,Perspective,2
Commercial Mathematics,Construction,2
Architecture,Navigation,2
Commercial Mathematics,Music Theory,2
Instrument Construction,Mechanics,2
Cosmography,Military Engineering,2
Construction,Navigation,1
Astronomy,Commercial Mathematics,1
Architecture,Cartography,1
Geography,Perspective,1
Cosmography,Music Theory,1
Geography,Mechanics,1
Instrument Construction,Music Theory,1
Cartography,Gnomonics & Horology,1
Arithmetic,Cartography,1
Cartography,Instrument Construction,1
Geography,Instrument Construction,1
Mechanics,Music Theory,1
Astronomy,Construction,1
Mechanics,Navigation,1
Instrument Use,Music Theory,1
Music Theory,Perspective,1
Commercial Mathematics,Perspective,1
Cartography,Trigonometry,1
Geography,Music Theory,1
Construction,Instrument Construction,1
Gnomonics & Horology,Surveying,1
Commercial Mathematics,Instrument Construction,1
Architecture,Music Theory,1
Construction,Cosmography,1
Cartography,Perspective,1
