classification_key,year,city,language_first,period,format_group,elements_books_group,primary_subject_family,mode_sparse_canonical,sparse_canonical_identity,no_visible_social_arena,rich_claim_count,social_arena_count,tps_feature_has_count,density_score,fashion_propensity_sparse_pct,period_language_format_n,period_language_format_sparse_pct,city_format_n,city_format_sparse_pct,any_school_or_institution,pedagogical_school_arena,religious_institutional_arena,rich_claim_text_raw,rich_social_text_raw
4ZSED7,1589,Leipzig,LATIN,1550-1599,octavo,unknown_books,No primary family,0,0,1,0,0,0,0.0,23.3,14,7.1,4,50.0,0,0,0,,
BQ96WF,1758,Göttingen,GERMAN,1700+,missing/unknown,unknown_books,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts,0,0,1,0,0,3,0.6,21.6,2,,1,,0,0,0,,Königl. Gesellschaft der Wissenschaften
Strasbourg_1538,1538,Strasbourg,GREEK,pre-1550,quarto,selected_later_books,No primary family,0,0,1,0,0,7,1.4,21.3,1,,3,66.7,0,0,0,ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | Θέωνος | ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | ΕΥΚΛΕΙΔΟΥ,Θέωνος
Strasbourg_1559,1559,Strasbourg,GREEK,1550-1599,octavo,selected_later_books,No primary family,0,0,1,0,0,9,1.8,20.8,6,16.7,10,20.0,0,0,0,συνουσιῶν | ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | τὸ πρῶτον | Θέωνος | ΕΥΚΛΕΙΔΟΥ ΤΩΝ ΠΕΝΤΕ ΚΑΙ ΔΕΚΑ ΣΤΟΙΧΕΙΩΝ | ΕΥΚΛΕΙΔΟΥ,Θέωνος
Beijing_1629,1629,Beijing,CHINESE,1600-1649,missing/unknown,books_1_6,Geometry/Theory,0,0,1,0,0,0,0.0,19.8,2,,2,,0,0,0,,
Beijing_1607,1607,Beijing,CHINESE,1600-1649,missing/unknown,books_1_6,No primary family,0,0,1,0,0,2,0.4,19.6,2,,2,,0,0,0,幾何原本 | 幾何原本,
Venice_1491,1491,Venice,LATIN,pre-1550,folio,unknown_books,No primary family,0,0,1,0,0,0,0.0,17.3,20,10.0,9,22.2,0,0,0,,
Basel_1533,1533,Basel,GREEK,pre-1550,folio,near_complete_or_expanded,No primary family,0,0,1,1,0,9,2.8,17.0,1,,7,14.3,0,0,0,Adiecta | ΕΥΚΛΕΙΔΟΥ ΣΤΟΙΧΕΙΩΝ ΒΙΒΛ. ΙΕ | Πρόκλου | ΕΚ ΤΩΝ ΘΕΩΝΟΣ ΣΥΝΟΥΣΙΩΝ | ἐξηγημάτων Πρόκλου βιβ. δ΄ | ΘΕΩΝΟΣ ΣΥΝΟΥΣΙΩΝ | Πρόκλου βιβ. δ΄ | ΕΥΚΛΕΙΔΟΥ,Πρόκλου
s.l_1650,1650,missing/unknown,LATIN,1650-1699,octavo,books_1_6,Geometry/Theory,0,0,1,0,0,0,0.0,16.6,16,6.2,1,,0,0,0,,
Venice_1647,1647,Venice,LATIN,1600-1649,octavo,books_1_6,Geometry/Theory,0,0,1,0,0,3,0.6,16.4,13,7.7,2,,0,0,0,,
Venice_1575,1575,Venice,LATIN,1550-1599,quarto,selected_later_books,Geometry/Theory,0,0,1,1,0,9,2.8,16.2,8,0.0,1,,0,0,0,ædita | Opuscula Mathematica | cum rerum omnium notatu dignarum | Nunc primùm in lucem ædita | INDICE LOCVPLETISSIMO,"D. FRANCISCI MAVROLYCI, ABBATIS MESSANENSIS"
The_Hague_1690,1690,The Hague,FRENCH,1650-1699,duodecimo,books_1_6,No primary family,0,0,1,0,0,6,1.2,15.0,8,12.5,1,,0,0,0,Suivant | Suivant la Copie de Paris,
70Q8M8,1495,Paris,LATIN,pre-1550,quarto,unknown_books,No primary family,0,0,1,0,0,0,0.0,14.8,4,25.0,19,0.0,0,0,0,,
Vicenza_1491,1491,Vicenza,LATIN,pre-1550,folio,near_complete_or_expanded,No primary family,0,0,1,0,0,0,0.0,14.3,20,10.0,1,,0,0,0,,
