language_first,n_language,mode,count,pct,overall_pct,delta
DUTCH,51,canonical_textual_identity,23,45.1,47.0,-1.9
DUTCH,51,method_demonstration_order,16,31.4,25.0,6.3
DUTCH,51,accessibility_clarity_pedagogy,7,13.7,11.5,2.2
DUTCH,51,utility_practice_application,9,17.6,14.4,3.3
DUTCH,51,correction_revision_accuracy,16,31.4,15.4,16.0
DUTCH,51,augmentation_enrichment_composition,19,37.3,32.9,4.4
DUTCH,51,translation_vernacularization_transfer,12,23.5,14.5,9.1
DUTCH,51,ancient_authority_restoration,19,37.3,36.2,1.1
DUTCH,51,novelty_modernity_invention,21,41.2,12.1,29.1
DUTCH,51,visual_material_aids,9,17.6,14.8,2.8
DUTCH,51,completeness_totality_system,2,3.9,13.5,-9.6
DUTCH,51,selection_extraction_abridgment,13,25.5,10.7,14.8
DUTCH,51,sparse_canonical_identity,2,3.9,6.4,-2.5
DUTCH,51,procedural_pedagogical_identity,17,33.3,26.3,7.0
DUTCH,51,composite_workshop_book,19,37.3,28.8,8.4
DUTCH,51,utility_public_book,0,0.0,7.1,-7.1
DUTCH,51,humanist_transfer_book,7,13.7,9.5,4.2
DUTCH,51,method_access_book,5,9.8,6.2,3.6
ENGLISH,67,canonical_textual_identity,33,49.3,47.0,2.3
ENGLISH,67,method_demonstration_order,22,32.8,25.0,7.8
ENGLISH,67,accessibility_clarity_pedagogy,25,37.3,11.5,25.8
ENGLISH,67,utility_practice_application,31,46.3,14.4,31.9
ENGLISH,67,correction_revision_accuracy,18,26.9,15.4,11.4
ENGLISH,67,augmentation_enrichment_composition,34,50.7,32.9,17.9
ENGLISH,67,translation_vernacularization_transfer,9,13.4,14.5,-1.0
ENGLISH,67,ancient_authority_restoration,21,31.3,36.2,-4.8
ENGLISH,67,novelty_modernity_invention,19,28.4,12.1,16.3
ENGLISH,67,visual_material_aids,19,28.4,14.8,13.5
ENGLISH,67,completeness_totality_system,11,16.4,13.5,2.9
ENGLISH,67,selection_extraction_abridgment,19,28.4,10.7,17.7
ENGLISH,67,sparse_canonical_identity,2,3.0,6.4,-3.4
ENGLISH,67,procedural_pedagogical_identity,25,37.3,26.3,11.0
ENGLISH,67,composite_workshop_book,33,49.3,28.8,20.4
ENGLISH,67,utility_public_book,10,14.9,7.1,7.8
ENGLISH,67,humanist_transfer_book,6,9.0,9.5,-0.5
ENGLISH,67,method_access_book,12,17.9,6.2,11.7
FRENCH,262,canonical_textual_identity,83,31.7,47.0,-15.3
FRENCH,262,method_demonstration_order,60,22.9,25.0,-2.1
FRENCH,262,accessibility_clarity_pedagogy,27,10.3,11.5,-1.2
FRENCH,262,utility_practice_application,43,16.4,14.4,2.1
FRENCH,262,correction_revision_accuracy,45,17.2,15.4,1.8
FRENCH,262,augmentation_enrichment_composition,100,38.2,32.9,5.3
FRENCH,262,translation_vernacularization_transfer,44,16.8,14.5,2.3
FRENCH,262,ancient_authority_restoration,56,21.4,36.2,-14.8
FRENCH,262,novelty_modernity_invention,22,8.4,12.1,-3.7
FRENCH,262,visual_material_aids,32,12.2,14.8,-2.6
FRENCH,262,completeness_totality_system,35,13.4,13.5,-0.2
FRENCH,262,selection_extraction_abridgment,27,10.3,10.7,-0.4
FRENCH,262,sparse_canonical_identity,10,3.8,6.4,-2.6
FRENCH,262,procedural_pedagogical_identity,46,17.6,26.3,-8.8
FRENCH,262,composite_workshop_book,81,30.9,28.8,2.1
FRENCH,262,utility_public_book,30,11.5,7.1,4.3
FRENCH,262,humanist_transfer_book,23,8.8,9.5,-0.7
FRENCH,262,method_access_book,16,6.1,6.2,-0.1
GERMAN,58,canonical_textual_identity,26,44.8,47.0,-2.1
GERMAN,58,method_demonstration_order,9,15.5,25.0,-9.5
GERMAN,58,accessibility_clarity_pedagogy,1,1.7,11.5,-9.8
GERMAN,58,utility_practice_application,12,20.7,14.4,6.3
GERMAN,58,correction_revision_accuracy,0,0.0,15.4,-15.4
GERMAN,58,augmentation_enrichment_composition,5,8.6,32.9,-24.2
GERMAN,58,translation_vernacularization_transfer,0,0.0,14.5,-14.5
GERMAN,58,ancient_authority_restoration,18,31.0,36.2,-5.1
GERMAN,58,novelty_modernity_invention,7,12.1,12.1,-0.0
GERMAN,58,visual_material_aids,12,20.7,14.8,5.9
GERMAN,58,completeness_totality_system,5,8.6,13.5,-4.9
GERMAN,58,selection_extraction_abridgment,2,3.4,10.7,-7.2
GERMAN,58,sparse_canonical_identity,5,8.6,6.4,2.2
GERMAN,58,procedural_pedagogical_identity,11,19.0,26.3,-7.4
GERMAN,58,composite_workshop_book,4,6.9,28.8,-21.9
GERMAN,58,utility_public_book,8,13.8,7.1,6.7
GERMAN,58,humanist_transfer_book,0,0.0,9.5,-9.5
GERMAN,58,method_access_book,0,0.0,6.2,-6.2
GREEK,16,canonical_textual_identity,13,81.2,47.0,34.3
GREEK,16,method_demonstration_order,3,18.8,25.0,-6.3
GREEK,16,accessibility_clarity_pedagogy,0,0.0,11.5,-11.5
GREEK,16,utility_practice_application,0,0.0,14.4,-14.4
GREEK,16,correction_revision_accuracy,0,0.0,15.4,-15.4
GREEK,16,augmentation_enrichment_composition,6,37.5,32.9,4.6
GREEK,16,translation_vernacularization_transfer,8,50.0,14.5,35.5
GREEK,16,ancient_authority_restoration,13,81.2,36.2,45.1
GREEK,16,novelty_modernity_invention,0,0.0,12.1,-12.1
GREEK,16,visual_material_aids,2,12.5,14.8,-2.3
GREEK,16,completeness_totality_system,3,18.8,13.5,5.2
GREEK,16,selection_extraction_abridgment,0,0.0,10.7,-10.7
GREEK,16,sparse_canonical_identity,0,0.0,6.4,-6.4
GREEK,16,procedural_pedagogical_identity,5,31.2,26.3,4.9
GREEK,16,composite_workshop_book,6,37.5,28.8,8.7
GREEK,16,utility_public_book,0,0.0,7.1,-7.1
GREEK,16,humanist_transfer_book,8,50.0,9.5,40.5
GREEK,16,method_access_book,0,0.0,6.2,-6.2
ITALIAN,64,canonical_textual_identity,32,50.0,47.0,3.0
ITALIAN,64,method_demonstration_order,11,17.2,25.0,-7.8
ITALIAN,64,accessibility_clarity_pedagogy,9,14.1,11.5,2.6
ITALIAN,64,utility_practice_application,7,10.9,14.4,-3.4
ITALIAN,64,correction_revision_accuracy,1,1.6,15.4,-13.9
ITALIAN,64,augmentation_enrichment_composition,1,1.6,32.9,-31.3
ITALIAN,64,translation_vernacularization_transfer,8,12.5,14.5,-2.0
ITALIAN,64,ancient_authority_restoration,23,35.9,36.2,-0.2
ITALIAN,64,novelty_modernity_invention,4,6.2,12.1,-5.8
ITALIAN,64,visual_material_aids,11,17.2,14.8,2.4
ITALIAN,64,completeness_totality_system,9,14.1,13.5,0.5
