period,n_period,mode,count,pct,overall_pct,delta
1550-1599,180,canonical_textual_identity,79,43.9,47.0,-3.1
1550-1599,180,method_demonstration_order,36,20.0,25.0,-5.0
1550-1599,180,accessibility_clarity_pedagogy,13,7.2,11.5,-4.3
1550-1599,180,utility_practice_application,15,8.3,14.4,-6.0
1550-1599,180,correction_revision_accuracy,18,10.0,15.4,-5.4
1550-1599,180,augmentation_enrichment_composition,54,30.0,32.9,-2.9
1550-1599,180,translation_vernacularization_transfer,39,21.7,14.5,7.2
1550-1599,180,ancient_authority_restoration,62,34.4,36.2,-1.7
1550-1599,180,novelty_modernity_invention,12,6.7,12.1,-5.4
1550-1599,180,visual_material_aids,26,14.4,14.8,-0.4
1550-1599,180,completeness_totality_system,27,15.0,13.5,1.5
1550-1599,180,selection_extraction_abridgment,13,7.2,10.7,-3.5
1550-1599,180,sparse_canonical_identity,11,6.1,6.4,-0.3
1550-1599,180,procedural_pedagogical_identity,35,19.4,26.3,-6.9
1550-1599,180,composite_workshop_book,44,24.4,28.8,-4.4
1550-1599,180,utility_public_book,8,4.4,7.1,-2.7
1550-1599,180,humanist_transfer_book,28,15.6,9.5,6.1
1550-1599,180,method_access_book,5,2.8,6.2,-3.4
1600-1649,322,canonical_textual_identity,118,36.6,47.0,-10.3
1600-1649,322,method_demonstration_order,75,23.3,25.0,-1.7
1600-1649,322,accessibility_clarity_pedagogy,36,11.2,11.5,-0.3
1600-1649,322,utility_practice_application,49,15.2,14.4,0.9
1600-1649,322,correction_revision_accuracy,54,16.8,15.4,1.3
1600-1649,322,augmentation_enrichment_composition,110,34.2,32.9,1.3
1600-1649,322,translation_vernacularization_transfer,49,15.2,14.5,0.7
1600-1649,322,ancient_authority_restoration,85,26.4,36.2,-9.8
1600-1649,322,novelty_modernity_invention,36,11.2,12.1,-0.9
1600-1649,322,visual_material_aids,47,14.6,14.8,-0.2
1600-1649,322,completeness_totality_system,43,13.4,13.5,-0.2
1600-1649,322,selection_extraction_abridgment,32,9.9,10.7,-0.7
1600-1649,322,sparse_canonical_identity,11,3.4,6.4,-3.0
1600-1649,322,procedural_pedagogical_identity,79,24.5,26.3,-1.8
1600-1649,322,composite_workshop_book,94,29.2,28.8,0.4
1600-1649,322,utility_public_book,26,8.1,7.1,1.0
