primary_subject_family,n_family,mode,count,pct,overall_pct,delta
Applied Mechanics/Military,21,canonical_textual_identity,5,23.8,47.0,-23.2
Applied Mechanics/Military,21,method_demonstration_order,3,14.3,25.0,-10.7
Applied Mechanics/Military,21,accessibility_clarity_pedagogy,2,9.5,11.5,-2.0
Applied Mechanics/Military,21,utility_practice_application,4,19.0,14.4,4.7
Applied Mechanics/Military,21,correction_revision_accuracy,0,0.0,15.4,-15.4
Applied Mechanics/Military,21,augmentation_enrichment_composition,4,19.0,32.9,-13.8
Applied Mechanics/Military,21,translation_vernacularization_transfer,3,14.3,14.5,-0.2
Applied Mechanics/Military,21,ancient_authority_restoration,3,14.3,36.2,-21.9
Applied Mechanics/Military,21,novelty_modernity_invention,1,4.8,12.1,-7.3
Applied Mechanics/Military,21,visual_material_aids,3,14.3,14.8,-0.5
Applied Mechanics/Military,21,completeness_totality_system,1,4.8,13.5,-8.8
Applied Mechanics/Military,21,selection_extraction_abridgment,0,0.0,10.7,-10.7
Applied Mechanics/Military,21,sparse_canonical_identity,1,4.8,6.4,-1.6
Applied Mechanics/Military,21,procedural_pedagogical_identity,1,4.8,26.3,-21.6
Applied Mechanics/Military,21,composite_workshop_book,3,14.3,28.8,-14.5
Applied Mechanics/Military,21,utility_public_book,1,4.8,7.1,-2.4
Applied Mechanics/Military,21,humanist_transfer_book,2,9.5,9.5,0.0
Applied Mechanics/Military,21,method_access_book,1,4.8,6.2,-1.4
Arithmetic/Commerce,74,canonical_textual_identity,10,13.5,47.0,-33.5
Arithmetic/Commerce,74,method_demonstration_order,8,10.8,25.0,-14.2
Arithmetic/Commerce,74,accessibility_clarity_pedagogy,10,13.5,11.5,2.0
Arithmetic/Commerce,74,utility_practice_application,13,17.6,14.4,3.2
Arithmetic/Commerce,74,correction_revision_accuracy,16,21.6,15.4,6.2
Arithmetic/Commerce,74,augmentation_enrichment_composition,26,35.1,32.9,2.3
Arithmetic/Commerce,74,translation_vernacularization_transfer,11,14.9,14.5,0.4
Arithmetic/Commerce,74,ancient_authority_restoration,5,6.8,36.2,-29.4
Arithmetic/Commerce,74,novelty_modernity_invention,13,17.6,12.1,5.5
Arithmetic/Commerce,74,visual_material_aids,12,16.2,14.8,1.4
Arithmetic/Commerce,74,completeness_totality_system,13,17.6,13.5,4.0
Arithmetic/Commerce,74,selection_extraction_abridgment,10,13.5,10.7,2.8
Arithmetic/Commerce,74,sparse_canonical_identity,3,4.1,6.4,-2.4
