social_category,n_social,mode,count,pct,overall_pct,delta
aud_students_learners,16,canonical_textual_identity,7,43.8,47.0,-3.2
aud_students_learners,16,method_demonstration_order,10,62.5,25.0,37.5
aud_students_learners,16,accessibility_clarity_pedagogy,1,6.2,11.5,-5.3
aud_students_learners,16,utility_practice_application,0,0.0,14.4,-14.4
aud_students_learners,16,correction_revision_accuracy,5,31.2,15.4,15.8
aud_students_learners,16,augmentation_enrichment_composition,10,62.5,32.9,29.6
aud_students_learners,16,translation_vernacularization_transfer,0,0.0,14.5,-14.5
aud_students_learners,16,ancient_authority_restoration,7,43.8,36.2,7.6
aud_students_learners,16,novelty_modernity_invention,4,25.0,12.1,12.9
aud_students_learners,16,visual_material_aids,4,25.0,14.8,10.2
aud_students_learners,16,completeness_totality_system,0,0.0,13.5,-13.5
aud_students_learners,16,selection_extraction_abridgment,5,31.2,10.7,20.6
aud_students_learners,16,sparse_canonical_identity,0,0.0,6.4,-6.4
aud_students_learners,16,procedural_pedagogical_identity,6,37.5,26.3,11.2
aud_students_learners,16,composite_workshop_book,10,62.5,28.8,33.7
aud_students_learners,16,utility_public_book,0,0.0,7.1,-7.1
aud_students_learners,16,humanist_transfer_book,0,0.0,9.5,-9.5
aud_students_learners,16,method_access_book,1,6.2,6.2,0.1
aud_general_readers_lovers,40,canonical_textual_identity,20,50.0,47.0,3.0
aud_general_readers_lovers,40,method_demonstration_order,13,32.5,25.0,7.5
aud_general_readers_lovers,40,accessibility_clarity_pedagogy,3,7.5,11.5,-4.0
aud_general_readers_lovers,40,utility_practice_application,12,30.0,14.4,15.6
aud_general_readers_lovers,40,correction_revision_accuracy,8,20.0,15.4,4.6
aud_general_readers_lovers,40,augmentation_enrichment_composition,9,22.5,32.9,-10.4
aud_general_readers_lovers,40,translation_vernacularization_transfer,3,7.5,14.5,-7.0
aud_general_readers_lovers,40,ancient_authority_restoration,16,40.0,36.2,3.8
aud_general_readers_lovers,40,novelty_modernity_invention,7,17.5,12.1,5.4
aud_general_readers_lovers,40,visual_material_aids,6,15.0,14.8,0.2
aud_general_readers_lovers,40,completeness_totality_system,2,5.0,13.5,-8.5
aud_general_readers_lovers,40,selection_extraction_abridgment,3,7.5,10.7,-3.2
aud_general_readers_lovers,40,sparse_canonical_identity,0,0.0,6.4,-6.4
aud_general_readers_lovers,40,procedural_pedagogical_identity,13,32.5,26.3,6.2
aud_general_readers_lovers,40,composite_workshop_book,8,20.0,28.8,-8.8
aud_general_readers_lovers,40,utility_public_book,12,30.0,7.1,22.9
