social_arena,n_arena,mode,count,pct,overall_pct,delta
pedagogical_school_arena,133,canonical_textual_identity,94,70.7,47.0,23.7
pedagogical_school_arena,133,method_demonstration_order,47,35.3,25.0,10.3
pedagogical_school_arena,133,accessibility_clarity_pedagogy,22,16.5,11.5,5.0
pedagogical_school_arena,133,utility_practice_application,25,18.8,14.4,4.4
pedagogical_school_arena,133,correction_revision_accuracy,21,15.8,15.4,0.4
pedagogical_school_arena,133,augmentation_enrichment_composition,54,40.6,32.9,7.7
pedagogical_school_arena,133,translation_vernacularization_transfer,25,18.8,14.5,4.3
pedagogical_school_arena,133,ancient_authority_restoration,74,55.6,36.2,19.5
pedagogical_school_arena,133,novelty_modernity_invention,20,15.0,12.1,2.9
pedagogical_school_arena,133,visual_material_aids,25,18.8,14.8,4.0
pedagogical_school_arena,133,completeness_totality_system,23,17.3,13.5,3.8
pedagogical_school_arena,133,selection_extraction_abridgment,18,13.5,10.7,2.9
pedagogical_school_arena,133,sparse_canonical_identity,7,5.3,6.4,-1.1
pedagogical_school_arena,133,procedural_pedagogical_identity,58,43.6,26.3,17.3
pedagogical_school_arena,133,composite_workshop_book,47,35.3,28.8,6.5
pedagogical_school_arena,133,utility_public_book,15,11.3,7.1,4.2
pedagogical_school_arena,133,humanist_transfer_book,21,15.8,9.5,6.3
pedagogical_school_arena,133,method_access_book,14,10.5,6.2,4.4
court_state_service_arena,104,canonical_textual_identity,49,47.1,47.0,0.1
court_state_service_arena,104,method_demonstration_order,29,27.9,25.0,2.9
court_state_service_arena,104,accessibility_clarity_pedagogy,11,10.6,11.5,-0.9
court_state_service_arena,104,utility_practice_application,17,16.3,14.4,2.0
court_state_service_arena,104,correction_revision_accuracy,15,14.4,15.4,-1.0
court_state_service_arena,104,augmentation_enrichment_composition,49,47.1,32.9,14.3
court_state_service_arena,104,translation_vernacularization_transfer,18,17.3,14.5,2.8
court_state_service_arena,104,ancient_authority_restoration,33,31.7,36.2,-4.4
court_state_service_arena,104,novelty_modernity_invention,7,6.7,12.1,-5.4
court_state_service_arena,104,visual_material_aids,13,12.5,14.8,-2.3
court_state_service_arena,104,completeness_totality_system,12,11.5,13.5,-2.0
court_state_service_arena,104,selection_extraction_abridgment,16,15.4,10.7,4.7
court_state_service_arena,104,sparse_canonical_identity,0,0.0,6.4,-6.4
court_state_service_arena,104,procedural_pedagogical_identity,22,21.2,26.3,-5.2
court_state_service_arena,104,composite_workshop_book,38,36.5,28.8,7.7
court_state_service_arena,104,utility_public_book,16,15.4,7.1,8.3
court_state_service_arena,104,humanist_transfer_book,14,13.5,9.5,4.0
court_state_service_arena,104,method_access_book,6,5.8,6.2,-0.4
military_fortification_arena,22,canonical_textual_identity,13,59.1,47.0,12.1
military_fortification_arena,22,method_demonstration_order,7,31.8,25.0,6.8
military_fortification_arena,22,accessibility_clarity_pedagogy,4,18.2,11.5,6.7
military_fortification_arena,22,utility_practice_application,11,50.0,14.4,35.6
military_fortification_arena,22,correction_revision_accuracy,3,13.6,15.4,-1.8
military_fortification_arena,22,augmentation_enrichment_composition,10,45.5,32.9,12.6
military_fortification_arena,22,translation_vernacularization_transfer,1,4.5,14.5,-9.9
military_fortification_arena,22,ancient_authority_restoration,10,45.5,36.2,9.3
military_fortification_arena,22,novelty_modernity_invention,0,0.0,12.1,-12.1
military_fortification_arena,22,visual_material_aids,3,13.6,14.8,-1.2
military_fortification_arena,22,completeness_totality_system,2,9.1,13.5,-4.4
military_fortification_arena,22,selection_extraction_abridgment,3,13.6,10.7,3.0
military_fortification_arena,22,sparse_canonical_identity,1,4.5,6.4,-1.9
military_fortification_arena,22,procedural_pedagogical_identity,8,36.4,26.3,10.0
military_fortification_arena,22,composite_workshop_book,9,40.9,28.8,12.1
military_fortification_arena,22,utility_public_book,10,45.5,7.1,38.3
military_fortification_arena,22,humanist_transfer_book,1,4.5,9.5,-4.9
military_fortification_arena,22,method_access_book,2,9.1,6.2,2.9
professional_practical_arena,57,canonical_textual_identity,29,50.9,47.0,3.9
professional_practical_arena,57,method_demonstration_order,16,28.1,25.0,3.0
professional_practical_arena,57,accessibility_clarity_pedagogy,11,19.3,11.5,7.8
professional_practical_arena,57,utility_practice_application,31,54.4,14.4,40.0
professional_practical_arena,57,correction_revision_accuracy,14,24.6,15.4,9.1
professional_practical_arena,57,augmentation_enrichment_composition,28,49.1,32.9,16.3
professional_practical_arena,57,translation_vernacularization_transfer,6,10.5,14.5,-3.9
professional_practical_arena,57,ancient_authority_restoration,19,33.3,36.2,-2.8
professional_practical_arena,57,novelty_modernity_invention,9,15.8,12.1,3.7
professional_practical_arena,57,visual_material_aids,13,22.8,14.8,8.0
professional_practical_arena,57,completeness_totality_system,8,14.0,13.5,0.5
professional_practical_arena,57,selection_extraction_abridgment,11,19.3,10.7,8.6
professional_practical_arena,57,sparse_canonical_identity,1,1.8,6.4,-4.7
professional_practical_arena,57,procedural_pedagogical_identity,19,33.3,26.3,7.0
professional_practical_arena,57,composite_workshop_book,22,38.6,28.8,9.8
professional_practical_arena,57,utility_public_book,20,35.1,7.1,28.0
professional_practical_arena,57,humanist_transfer_book,4,7.0,9.5,-2.5
professional_practical_arena,57,method_access_book,7,12.3,6.2,6.1
religious_institutional_arena,101,canonical_textual_identity,67,66.3,47.0,19.4
religious_institutional_arena,101,method_demonstration_order,52,51.5,25.0,26.5
religious_institutional_arena,101,accessibility_clarity_pedagogy,17,16.8,11.5,5.3
religious_institutional_arena,101,utility_practice_application,13,12.9,14.4,-1.5
religious_institutional_arena,101,correction_revision_accuracy,35,34.7,15.4,19.2
religious_institutional_arena,101,augmentation_enrichment_composition,48,47.5,32.9,14.7
religious_institutional_arena,101,translation_vernacularization_transfer,7,6.9,14.5,-7.5
religious_institutional_arena,101,ancient_authority_restoration,61,60.4,36.2,24.2
religious_institutional_arena,101,novelty_modernity_invention,14,13.9,12.1,1.8
religious_institutional_arena,101,visual_material_aids,24,23.8,14.8,8.9
religious_institutional_arena,101,completeness_totality_system,17,16.8,13.5,3.3
religious_institutional_arena,101,selection_extraction_abridgment,13,12.9,10.7,2.2
religious_institutional_arena,101,sparse_canonical_identity,3,3.0,6.4,-3.4
religious_institutional_arena,101,procedural_pedagogical_identity,46,45.5,26.3,19.2
religious_institutional_arena,101,composite_workshop_book,39,38.6,28.8,9.8
religious_institutional_arena,101,utility_public_book,12,11.9,7.1,4.8
religious_institutional_arena,101,humanist_transfer_book,7,6.9,9.5,-2.6
religious_institutional_arena,101,method_access_book,15,14.9,6.2,8.7
learned_scholarly_arena,202,canonical_textual_identity,130,64.4,47.0,17.4
learned_scholarly_arena,202,method_demonstration_order,58,28.7,25.0,3.7
learned_scholarly_arena,202,accessibility_clarity_pedagogy,23,11.4,11.5,-0.1
learned_scholarly_arena,202,utility_practice_application,38,18.8,14.4,4.5
learned_scholarly_arena,202,correction_revision_accuracy,39,19.3,15.4,3.9
learned_scholarly_arena,202,augmentation_enrichment_composition,91,45.0,32.9,12.2
learned_scholarly_arena,202,translation_vernacularization_transfer,47,23.3,14.5,8.8
learned_scholarly_arena,202,ancient_authority_restoration,101,50.0,36.2,13.8
learned_scholarly_arena,202,novelty_modernity_invention,23,11.4,12.1,-0.7
learned_scholarly_arena,202,visual_material_aids,36,17.8,14.8,3.0
learned_scholarly_arena,202,completeness_totality_system,27,13.4,13.5,-0.2
learned_scholarly_arena,202,selection_extraction_abridgment,21,10.4,10.7,-0.3
learned_scholarly_arena,202,sparse_canonical_identity,8,4.0,6.4,-2.4
learned_scholarly_arena,202,procedural_pedagogical_identity,76,37.6,26.3,11.3
learned_scholarly_arena,202,composite_workshop_book,79,39.1,28.8,10.3
learned_scholarly_arena,202,utility_public_book,25,12.4,7.1,5.3
learned_scholarly_arena,202,humanist_transfer_book,33,16.3,9.5,6.8
learned_scholarly_arena,202,method_access_book,12,5.9,6.2,-0.2
general_public_lovers_arena,56,canonical_textual_identity,30,53.6,47.0,6.6
general_public_lovers_arena,56,method_demonstration_order,22,39.3,25.0,14.3
general_public_lovers_arena,56,accessibility_clarity_pedagogy,11,19.6,11.5,8.1
general_public_lovers_arena,56,utility_practice_application,15,26.8,14.4,12.4
general_public_lovers_arena,56,correction_revision_accuracy,18,32.1,15.4,16.7
general_public_lovers_arena,56,augmentation_enrichment_composition,29,51.8,32.9,18.9
general_public_lovers_arena,56,translation_vernacularization_transfer,8,14.3,14.5,-0.2
general_public_lovers_arena,56,ancient_authority_restoration,23,41.1,36.2,4.9
general_public_lovers_arena,56,novelty_modernity_invention,13,23.2,12.1,11.1
