period,n_period,social_arena,count,pct,overall_pct,delta
1550-1599,180,pedagogical_school_arena,27,15.0,15.8,-0.8
1550-1599,180,court_state_service_arena,36,20.0,12.3,7.7
1550-1599,180,military_fortification_arena,3,1.7,2.6,-0.9
1550-1599,180,professional_practical_arena,5,2.8,6.8,-4.0
1550-1599,180,religious_institutional_arena,13,7.2,12.0,-4.8
1550-1599,180,learned_scholarly_arena,41,22.8,24.0,-1.2
1550-1599,180,general_public_lovers_arena,16,8.9,6.6,2.2
1550-1599,180,patronage_prestige_arena,21,11.7,8.5,3.1
1550-1599,180,no_visible_social_arena,103,57.2,54.8,2.4
1600-1649,322,pedagogical_school_arena,42,13.0,15.8,-2.7
1600-1649,322,court_state_service_arena,42,13.0,12.3,0.7
1600-1649,322,military_fortification_arena,4,1.2,2.6,-1.4
1600-1649,322,professional_practical_arena,32,9.9,6.8,3.2
1600-1649,322,religious_institutional_arena,33,10.2,12.0,-1.7
1600-1649,322,learned_scholarly_arena,79,24.5,24.0,0.6
1600-1649,322,general_public_lovers_arena,21,6.5,6.6,-0.1
1600-1649,322,patronage_prestige_arena,32,9.9,8.5,1.4
1600-1649,322,no_visible_social_arena,174,54.0,54.8,-0.8
1650-1699,202,pedagogical_school_arena,31,15.3,15.8,-0.4
1650-1699,202,court_state_service_arena,18,8.9,12.3,-3.4
1650-1699,202,military_fortification_arena,13,6.4,2.6,3.8
1650-1699,202,professional_practical_arena,15,7.4,6.8,0.7
1650-1699,202,religious_institutional_arena,44,21.8,12.0,9.8
1650-1699,202,learned_scholarly_arena,45,22.3,24.0,-1.7
1650-1699,202,general_public_lovers_arena,16,7.9,6.6,1.3
1650-1699,202,patronage_prestige_arena,11,5.4,8.5,-3.1
1650-1699,202,no_visible_social_arena,101,50.0,54.8,-4.8
1700+,55,pedagogical_school_arena,19,34.5,15.8,18.8
1700+,55,court_state_service_arena,6,10.9,12.3,-1.4
1700+,55,military_fortification_arena,2,3.6,2.6,1.0
1700+,55,professional_practical_arena,3,5.5,6.8,-1.3
1700+,55,religious_institutional_arena,7,12.7,12.0,0.7
1700+,55,learned_scholarly_arena,18,32.7,24.0,8.8
1700+,55,general_public_lovers_arena,2,3.6,6.6,-3.0
1700+,55,patronage_prestige_arena,6,10.9,8.5,2.4
1700+,55,no_visible_social_arena,25,45.5,54.8,-9.3
pre-1550,80,pedagogical_school_arena,13,16.2,15.8,0.5
pre-1550,80,court_state_service_arena,1,1.2,12.3,-11.1
pre-1550,80,military_fortification_arena,0,0.0,2.6,-2.6
pre-1550,80,professional_practical_arena,1,1.2,6.8,-5.5
pre-1550,80,religious_institutional_arena,3,3.8,12.0,-8.2
pre-1550,80,learned_scholarly_arena,17,21.2,24.0,-2.7
pre-1550,80,general_public_lovers_arena,1,1.2,6.6,-5.4
pre-1550,80,patronage_prestige_arena,2,2.5,8.5,-6.0
pre-1550,80,no_visible_social_arena,58,72.5,54.8,17.7
unknown,4,pedagogical_school_arena,1,25.0,15.8,9.2
unknown,4,court_state_service_arena,1,25.0,12.3,12.7
unknown,4,military_fortification_arena,0,0.0,2.6,-2.6
unknown,4,professional_practical_arena,1,25.0,6.8,18.2
unknown,4,religious_institutional_arena,1,25.0,12.0,13.0
unknown,4,learned_scholarly_arena,2,50.0,24.0,26.0
unknown,4,general_public_lovers_arena,0,0.0,6.6,-6.6
unknown,4,patronage_prestige_arena,0,0.0,8.5,-8.5
unknown,4,no_visible_social_arena,1,25.0,54.8,-29.8
