social_group,classification_key,year,city,language,primary_classes,values,evidence
students_schools,Amsterdam_1700b,1700,Amsterdam,DUTCH,Theoretical Mathematics,correction_revision | demonstration_method | enrichment_addition | community_professional,"audience: van alle leer-gierige Liefhebbers der selver vrye Konste ; editor_description: Lant-meter ende Wijn-roeyer der Stadt LEYDEN ; content_description: Van de beginselen ende fon-damenten der Geometrie ; edition_details: Desen laetsten Druk, van nieuws oversien en verbetert ; action_verbs: by-gevoeght | Over-geset | verklaert | uyt-geleyt | oversien | verbetert | vermeerdert | by-gevoegde ; enriched_with: by-gevoeght zijn eenige nuttigheden, uyt deselve Boecken getroken | Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, aft ; elements_designation: De zes eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS"
students_schools,Amsterdam_1701,1701,Amsterdam,DUTCH,Practical Geometry | Theoretical Mathematics,correction_revision | demonstration_method | enrichment_addition | community_professional,"audience: alle leer-gierige Liefhebbers der selver vrye Konste ; editor_description: Lant-meter ende Wijn-roeyer der Stadt LEYDEN ; content_description: Van de beginselen ende fondamenten der Geometrie ; edition_details: Desen laetsten Druk, van nieuws oversien en verbetert ; action_verbs: by-gevoeght | by-gevoegde | Over-geset | verklaert | uyt-geleyt | oversien | verbeter t | vermeerdert ; enriched_with: by-gevoeght zijn eenige nut-tigheden, uyt deselve Boecken getrocken: Mitsgaders de Specien in Geometrische figuren, als ’t maken, veranderen, t’samen voegen, af ; elements_designation: De zes eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS"
students_schools,Rotterdam_1661,1661,Rotterdam,DUTCH,Theoretical Mathematics,correction_revision | demonstration_method | community_professional,audience: alle leer-gierige Liefhebbers der selver vrye Konste ; editor_description: Landt-meter ende Wijn-roeyer der Stadt LEYDEN ; content_description: Van de beginselen ende fonda-menten der Geometrie ; edition_details: Van nieuws oversien ende verbetert ; action_verbs: by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert | by-gevoeghde ; enriched_with: eenige nuttigheden | Specien in Geometrische figuren | by-gevoeghde nuttigheden ; elements_designation: De ses eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS
students_schools,Rotterdam_1681,1681,Rotterdam,DUTCH,,correction_revision | demonstration_method | community_professional,"audience: alle leer-gierige Liefhebbers der selver vrye Konste ; editor_description: Landt-meter ende Wijn-roeyer der Stadt LEYDEN ; content_description: Van de beginselen ende fondamenten der Geometrie ; edition_details: Desen laetsten druck, van nieuws oversien ende verbetert ; action_verbs: by-gevoeght | Over-geset | verklaert | uyt-geleydt | oversien | verbetert | vermeerdert ; enriched_with: eenige nut-tigheden | Specien in Geometrische figuren | by-gevoegde nuttigheden ; elements_designation: De ses eerste Boecken EUCLIDIS ; references_to_euclid: EUCLIDIS"
students_schools,Bologna_1684,1684,Bologna,LATIN,Theoretical Mathematics,demonstration_method | enrichment_addition | community_professional,"audience: studiosæ iuuentutis ; dedicatee_name: Illustrissimo Domino D. IOANNI FRANCISCO POLO Patritio Veneto ; content_description: Denuò clarioribus Auctorum demonstrationibus, vnà cum breuissimo proportionum tractatu ; edition_details: in gratiam studiosæ iuuentutis edita ; action_verbs: edita | consecrata ; enriched_with: cum breuissimo proportionum tractatu ; elements_designation: SEX PRIORA EVCLIDIS GEOMETRICA ELEMENTA ; references_to_euclid: EVCLIDIS"
students_schools,bib-257,1694,London,ENGLISH,Arithmetic | Astronomy | Gnomonics & Horology | Mechanics,novelty_invention | demonstration_method | community_professional,"audience: Youth (in this Age ; institutions: Mathematick School in Adam’s Court ; editor_description: Philomathes | Master of the Mathematick School in Adam’s Court, in Broadstreet, near the Royal Exchange, LONDON ; action_verbs: Published | Annex ; enriched_with: a New Series for the speedy Extraction of Roots, and a Converging Series for all manner of affected Equations"
students_schools,Z0K13S,1543,Nuremberg,LATIN,Astronomy,novelty_invention | enrichment_addition,"audience: studiose lector | ἀμαθὴς μή τις εἴσιτο ; content_description: Motus stellarum, tam fixarum, quam erraticarum, cum excentricis, tum etiam excentricis observationibus restitutos ; edition_details: iam recens nato, & edito ; action_verbs: recens nato | edito | eme | lege | fruere ; enriched_with: novis insuper ac admirabilibus hypothesibus ornatos | Tabulas expeditissimas"
students_schools,bib-259,1591,Tours,LATIN,Arithmetic | Music Theory | Theoretical Mathematics,enrichment_addition | community_professional,audience: In usum studiosæ Iuventutis Academiæ Turonensis Societ. Iesv ; institutions: Academiæ Turonensis Societ ; editor_description: interprete ; edition_details: Accessit in hac ultima editione singulorum librorum ; action_verbs: Accessit
students_schools,XHZ2XV,1592,Tournon,LATIN,Arithmetic | Music Theory | Practical Geometry,enrichment_addition | community_professional,audience: studiosæ Iuventutis Academiæ Turnoniæ ; institutions: Academiæ Turnoniæ Societ. IESV ; edition_details: in hac vltima editione ; action_verbs: Accessit | interprete ; enriched_with: Accessit | percommoda distributio
students_schools,Ingolstadt_1617,1617,Ingolstadt,LATIN,,novelty_invention | community_professional,"audience: studiosæ iuuentutis ; institutions: ACADEMIAE | SOCIETATIS IESV ; editor_description: SOCIETATIS IESV ; dedicatee_name: NOBILISSIMIS ACADEMIAE A PORTV ARDENTIBVS | IOANNE LANZ ; edition_details: Et nunc recens impressi | Noua interpretatione ; action_verbs: dati | impressi | dicati | in lucem dati ; elements_designation: EVCLIDIS ELEMENTORVM GEOMETRICORVM, LIBRI SEX PRIORES | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX PRIORES ; references_to_euclid: EVCLIDIS"
