social_group,n,value,count,pct,overall_pct,delta
artisans_visual_trades,7,utility_use,3,42.9,8.5,34.3
artisans_visual_trades,7,community_professional,3,42.9,11.7,31.1
artisans_visual_trades,7,demonstration_method,2,28.6,11.9,16.7
artisans_visual_trades,7,clarity_ease,0,0.0,5.0,-5.0
artisans_visual_trades,7,translation_language,0,0.0,5.7,-5.7
artisans_visual_trades,7,restoration_ancient_authority,0,0.0,5.8,-5.8
artisans_visual_trades,7,novelty_invention,0,0.0,6.6,-6.6
artisans_visual_trades,7,correction_revision,0,0.0,10.0,-10.0
artisans_visual_trades,7,enrichment_addition,0,0.0,14.2,-14.2
civic_state,8,enrichment_addition,2,25.0,14.2,10.8
civic_state,8,community_professional,1,12.5,11.7,0.8
civic_state,8,clarity_ease,0,0.0,5.0,-5.0
civic_state,8,translation_language,0,0.0,5.7,-5.7
civic_state,8,restoration_ancient_authority,0,0.0,5.8,-5.8
civic_state,8,novelty_invention,0,0.0,6.6,-6.6
civic_state,8,utility_use,0,0.0,8.5,-8.5
civic_state,8,correction_revision,0,0.0,10.0,-10.0
civic_state,8,demonstration_method,0,0.0,11.9,-11.9
general_lovers_readers,42,community_professional,11,26.2,11.7,14.4
general_lovers_readers,42,translation_language,5,11.9,5.7,6.2
general_lovers_readers,42,utility_use,6,14.3,8.5,5.7
general_lovers_readers,42,clarity_ease,4,9.5,5.0,4.5
general_lovers_readers,42,restoration_ancient_authority,3,7.1,5.8,1.3
general_lovers_readers,42,novelty_invention,3,7.1,6.6,0.5
general_lovers_readers,42,enrichment_addition,6,14.3,14.2,0.1
general_lovers_readers,42,demonstration_method,4,9.5,11.9,-2.3
general_lovers_readers,42,correction_revision,2,4.8,10.0,-5.2
jesuit_religious,43,community_professional,22,51.2,11.7,39.4
jesuit_religious,43,novelty_invention,10,23.3,6.6,16.6
jesuit_religious,43,enrichment_addition,12,27.9,14.2,13.7
jesuit_religious,43,clarity_ease,8,18.6,5.0,13.6
jesuit_religious,43,restoration_ancient_authority,8,18.6,5.8,12.8
jesuit_religious,43,utility_use,9,20.9,8.5,12.4
jesuit_religious,43,demonstration_method,10,23.3,11.9,11.4
jesuit_religious,43,correction_revision,7,16.3,10.0,6.3
jesuit_religious,43,translation_language,0,0.0,5.7,-5.7
merchants_commercial,5,community_professional,4,80.0,11.7,68.3
merchants_commercial,5,utility_use,3,60.0,8.5,51.5
merchants_commercial,5,novelty_invention,2,40.0,6.6,33.4
merchants_commercial,5,enrichment_addition,2,40.0,14.2,25.8
merchants_commercial,5,restoration_ancient_authority,1,20.0,5.8,14.2
merchants_commercial,5,demonstration_method,1,20.0,11.9,8.1
merchants_commercial,5,clarity_ease,0,0.0,5.0,-5.0
merchants_commercial,5,translation_language,0,0.0,5.7,-5.7
merchants_commercial,5,correction_revision,0,0.0,10.0,-10.0
military,28,utility_use,17,60.7,8.5,52.2
military,28,community_professional,16,57.1,11.7,45.4
military,28,correction_revision,7,25.0,10.0,15.0
military,28,novelty_invention,3,10.7,6.6,4.1
military,28,demonstration_method,4,14.3,11.9,2.4
military,28,clarity_ease,2,7.1,5.0,2.2
military,28,translation_language,1,3.6,5.7,-2.1
military,28,enrichment_addition,3,10.7,14.2,-3.5
military,28,restoration_ancient_authority,0,0.0,5.8,-5.8
royal_court_patronage,91,utility_use,19,20.9,8.5,12.3
royal_court_patronage,91,demonstration_method,17,18.7,11.9,6.8
royal_court_patronage,91,community_professional,16,17.6,11.7,5.8
royal_court_patronage,91,correction_revision,13,14.3,10.0,4.3
royal_court_patronage,91,novelty_invention,6,6.6,6.6,-0.0
royal_court_patronage,91,restoration_ancient_authority,5,5.5,5.8,-0.3
royal_court_patronage,91,clarity_ease,4,4.4,5.0,-0.6
royal_court_patronage,91,translation_language,4,4.4,5.7,-1.3
royal_court_patronage,91,enrichment_addition,10,11.0,14.2,-3.2
students_schools,42,community_professional,20,47.6,11.7,35.9
students_schools,42,demonstration_method,9,21.4,11.9,9.6
students_schools,42,enrichment_addition,9,21.4,14.2,7.2
students_schools,42,correction_revision,5,11.9,10.0,1.9
students_schools,42,restoration_ancient_authority,3,7.1,5.8,1.3
students_schools,42,novelty_invention,3,7.1,6.6,0.5
students_schools,42,translation_language,1,2.4,5.7,-3.3
students_schools,42,utility_use,2,4.8,8.5,-3.8
students_schools,42,clarity_ease,0,0.0,5.0,-5.0
surveying_engineering,19,utility_use,17,89.5,8.5,80.9
surveying_engineering,19,community_professional,16,84.2,11.7,72.5
surveying_engineering,19,correction_revision,5,26.3,10.0,16.4
surveying_engineering,19,clarity_ease,2,10.5,5.0,5.5
surveying_engineering,19,demonstration_method,3,15.8,11.9,3.9
surveying_engineering,19,translation_language,1,5.3,5.7,-0.4
surveying_engineering,19,restoration_ancient_authority,0,0.0,5.8,-5.8
surveying_engineering,19,novelty_invention,0,0.0,6.6,-6.6
surveying_engineering,19,enrichment_addition,1,5.3,14.2,-9.0
universities_academies,21,community_professional,7,33.3,11.7,21.6
universities_academies,21,restoration_ancient_authority,5,23.8,5.8,18.0
universities_academies,21,utility_use,5,23.8,8.5,15.3
universities_academies,21,enrichment_addition,4,19.0,14.2,4.8
universities_academies,21,translation_language,2,9.5,5.7,3.8
universities_academies,21,novelty_invention,2,9.5,6.6,2.9
universities_academies,21,clarity_ease,1,4.8,5.0,-0.2
universities_academies,21,correction_revision,1,4.8,10.0,-5.2
universities_academies,21,demonstration_method,1,4.8,11.9,-7.1
