social_group,n,subject_family,primary_count,primary_pct,overall_primary_pct,delta
artisans_visual_trades,7,Instruments/Measurement,5,71.4,12.3,59.1
artisans_visual_trades,7,Visual/Spatial Arts,3,42.9,13.0,29.8
artisans_visual_trades,7,Music,0,0.0,2.1,-2.1
artisans_visual_trades,7,Arithmetic/Commerce,1,14.3,17.1,-2.8
artisans_visual_trades,7,Applied Mechanics/Military,0,0.0,6.8,-6.8
artisans_visual_trades,7,Cosmos/Earth,0,0.0,9.5,-9.5
artisans_visual_trades,7,Geometry/Theory,2,28.6,50.3,-21.7
civic_state,8,Visual/Spatial Arts,2,25.0,13.0,12.0
civic_state,8,Applied Mechanics/Military,1,12.5,6.8,5.7
civic_state,8,Geometry/Theory,4,50.0,50.3,-0.3
civic_state,8,Music,0,0.0,2.1,-2.1
civic_state,8,Cosmos/Earth,0,0.0,9.5,-9.5
civic_state,8,Instruments/Measurement,0,0.0,12.3,-12.3
civic_state,8,Arithmetic/Commerce,0,0.0,17.1,-17.1
general_lovers_readers,42,Geometry/Theory,31,73.8,50.3,23.5
general_lovers_readers,42,Visual/Spatial Arts,10,23.8,13.0,10.8
general_lovers_readers,42,Instruments/Measurement,8,19.0,12.3,6.7
general_lovers_readers,42,Applied Mechanics/Military,4,9.5,6.8,2.8
general_lovers_readers,42,Arithmetic/Commerce,8,19.0,17.1,2.0
general_lovers_readers,42,Music,0,0.0,2.1,-2.1
general_lovers_readers,42,Cosmos/Earth,1,2.4,9.5,-7.1
jesuit_religious,43,Music,3,7.0,2.1,4.8
jesuit_religious,43,Applied Mechanics/Military,3,7.0,6.8,0.2
jesuit_religious,43,Instruments/Measurement,4,9.3,12.3,-3.0
jesuit_religious,43,Visual/Spatial Arts,4,9.3,13.0,-3.7
jesuit_religious,43,Cosmos/Earth,2,4.7,9.5,-4.8
jesuit_religious,43,Arithmetic/Commerce,5,11.6,17.1,-5.5
jesuit_religious,43,Geometry/Theory,19,44.2,50.3,-6.1
merchants_commercial,5,Instruments/Measurement,2,40.0,12.3,27.7
merchants_commercial,5,Arithmetic/Commerce,2,40.0,17.1,22.9
merchants_commercial,5,Applied Mechanics/Military,1,20.0,6.8,13.2
merchants_commercial,5,Music,0,0.0,2.1,-2.1
merchants_commercial,5,Cosmos/Earth,0,0.0,9.5,-9.5
merchants_commercial,5,Visual/Spatial Arts,0,0.0,13.0,-13.0
merchants_commercial,5,Geometry/Theory,1,20.0,50.3,-30.3
military,28,Applied Mechanics/Military,7,25.0,6.8,18.2
military,28,Geometry/Theory,18,64.3,50.3,14.0
military,28,Instruments/Measurement,5,17.9,12.3,5.5
military,28,Visual/Spatial Arts,5,17.9,13.0,4.8
military,28,Music,0,0.0,2.1,-2.1
military,28,Arithmetic/Commerce,4,14.3,17.1,-2.8
military,28,Cosmos/Earth,0,0.0,9.5,-9.5
royal_court_patronage,91,Applied Mechanics/Military,14,15.4,6.8,8.6
royal_court_patronage,91,Instruments/Measurement,18,19.8,12.3,7.4
royal_court_patronage,91,Geometry/Theory,49,53.8,50.3,3.5
royal_court_patronage,91,Cosmos/Earth,9,9.9,9.5,0.4
royal_court_patronage,91,Visual/Spatial Arts,11,12.1,13.0,-1.0
royal_court_patronage,91,Music,0,0.0,2.1,-2.1
royal_court_patronage,91,Arithmetic/Commerce,6,6.6,17.1,-10.5
students_schools,42,Instruments/Measurement,8,19.0,12.3,6.7
students_schools,42,Applied Mechanics/Military,5,11.9,6.8,5.1
students_schools,42,Cosmos/Earth,6,14.3,9.5,4.8
students_schools,42,Geometry/Theory,23,54.8,50.3,4.5
students_schools,42,Music,2,4.8,2.1,2.6
students_schools,42,Arithmetic/Commerce,8,19.0,17.1,2.0
students_schools,42,Visual/Spatial Arts,1,2.4,13.0,-10.7
surveying_engineering,19,Instruments/Measurement,7,36.8,12.3,24.5
surveying_engineering,19,Applied Mechanics/Military,4,21.1,6.8,14.3
surveying_engineering,19,Arithmetic/Commerce,5,26.3,17.1,9.2
surveying_engineering,19,Geometry/Theory,11,57.9,50.3,7.6
surveying_engineering,19,Visual/Spatial Arts,3,15.8,13.0,2.7
surveying_engineering,19,Music,0,0.0,2.1,-2.1
surveying_engineering,19,Cosmos/Earth,0,0.0,9.5,-9.5
universities_academies,21,Applied Mechanics/Military,3,14.3,6.8,7.5
universities_academies,21,Geometry/Theory,12,57.1,50.3,6.8
universities_academies,21,Cosmos/Earth,3,14.3,9.5,4.8
universities_academies,21,Music,0,0.0,2.1,-2.1
universities_academies,21,Visual/Spatial Arts,1,4.8,13.0,-8.3
universities_academies,21,Arithmetic/Commerce,1,4.8,17.1,-12.3
universities_academies,21,Instruments/Measurement,0,0.0,12.3,-12.3
