dimension,category,representatives,pct
aud,general_readers_lovers,40,4.7
aud,students_learners,16,1.9
aud,military_users,9,1.1
aud,mathematicians_scholars,8,0.9
aud,surveyors_geometers_engineers,8,0.9
aud,nobility_court_as_audience,4,0.5
aud,artisans_visual_trades,3,0.4
aud,merchants_commercial_users,3,0.4
aud,navigators_pilots,3,0.4
aud,architects_builders,0,0.0
inst,jesuit,38,4.5
inst,universities_academies_colleges,15,1.8
inst,royal_court_institution,14,1.7
inst,other_religious_orders,5,0.6
inst,libraries_collections,5,0.6
inst,civic_state_institution,4,0.5
inst,engineering_military_schools,2,0.2
pat,named_private_patron,164,19.5
pat,royal_princely_patron,30,3.6
pat,noble_patron,20,2.4
pat,ecclesiastical_patron,8,0.9
pat,civic_collective_patron,4,0.5
role,mathematics_professor_lecturer,64,7.6
role,royal_official,50,5.9
role,religious_identity,32,3.8
role,engineer_practitioner,16,1.9
