social_category,classification_key,year,city,language,evidence
aud_students_learners,Würzburg_1661,1661,Würzburg,LATIN,"audience: quivis, vel mediocri præditus ingenio ; institutions: SOCIETATE JESU | SOCIETATIS JESU | Gymnasio Matheseos ; editor_description: REGISCURIANI E SOCIETATE JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CUR-SUS MATHEMATICUS, Sive Absoluta omnium Mathematicarum Disciplinarum EN"
aud_students_learners,Frankfurt_1674,1674,Frankfurt,LATIN,"audience: quivis, vel mediocri præditus ingenio ; institutions: SOCIETATIS JESU Gymnasio Matheseos ; editor_description: REGISCURIANI E SOCIET. JESU Olim in Panormitano Siciliæ, nunc in Herbipolitano Franconiæ ejusdem SOCIETATIS JESU Gymnasio Matheseos Professoris CURSUS MATHEMATICUS"
aud_students_learners,Ingolstadt_1617,1617,Ingolstadt,LATIN,audience: studiosæ iuuentutis ; institutions: ACADEMIAE | SOCIETATIS IESV ; editor_description: SOCIETATIS IESV ; dedicatee_name: NOBILISSIMIS ACADEMIAE A PORTV ARDENTIBVS | IOANNE LANZ
aud_students_learners,bib-96,1675,Caen,LATIN,"audience: Ad usum Studiosæ Juventutis ; institutions: SOCIET. JESU INSTITUTIO MATHEMATICÆ ; editor_description: AURELIANENSIS, SOCIET. JESU INSTITUTIO MATHEMATICÆ"
aud_students_learners,Bamberg_1677,1677,Bamberg,LATIN,"audience: quivis, vel mediocri præditus ingenio ; institutions: ejusdem SOCIETATIS IESU Gymnasio Matheseos ; editor_description: REGIS -CURIANI, E SOCIETATE JESU ; primary_classes: Theoretical Mathematics"
aud_students_learners,Amsterdam_1700b,1700,Amsterdam,DUTCH,audience: van alle leer-gierige Liefhebbers der selver vrye Konste ; editor_description: Lant-meter ende Wijn-roeyer der Stadt LEYDEN ; primary_classes: Theoretical Mathematics
aud_students_learners,Rotterdam_1661,1661,Rotterdam,DUTCH,audience: alle leer-gierige Liefhebbers der selver vrye Konste ; editor_description: Landt-meter ende Wijn-roeyer der Stadt LEYDEN ; primary_classes: Theoretical Mathematics
aud_students_learners,Rotterdam_1681,1681,Rotterdam,DUTCH,audience: alle leer-gierige Liefhebbers der selver vrye Konste ; editor_description: Landt-meter ende Wijn-roeyer der Stadt LEYDEN
aud_general_readers_lovers,bib-149,1606,Milan,"ITALIAN, LATIN","audience: ad ogni Officiale, e Soldato, che seguiti la Guerra | à chi si diletta di saper quanto conuenga alla professione Soldatesca ; institutions: Real’ Essercito di S. Maestà Cattolica ; editor_description: Ingegnere del Real’ Essercito di S. Maestà Cattolica in Italia ; primary_classes: Military Engineering"
aud_general_readers_lovers,bib-119,1646,Amsterdam,LATIN,audience: den Landmeters en Ingenieurs | den Land-meters ende Ingenieurs | den Leser ; editor_description: Med. D. & Ma- thes. Profess. ordin. binnen Franeker | Med. D. & Mathes. Prof. ordinar. binnen Franeker ; primary_classes: Arithmetic | Military Engineering | Practical Geometry | Surveying
