social_category,n,value,count,pct,overall_pct,delta
aud_architects_builders,0,clarity_ease,0,0.0,5.0,0.0
aud_architects_builders,0,utility_use,0,0.0,8.5,0.0
aud_architects_builders,0,correction_revision,0,0.0,10.0,0.0
aud_architects_builders,0,novelty_invention,0,0.0,6.6,0.0
aud_architects_builders,0,translation_language,0,0.0,5.7,0.0
aud_architects_builders,0,demonstration_method,0,0.0,11.9,0.0
aud_architects_builders,0,enrichment_addition,0,0.0,14.2,0.0
aud_architects_builders,0,restoration_ancient_authority,0,0.0,5.8,0.0
aud_artisans_visual_trades,3,utility_use,2,66.7,8.5,58.1
aud_artisans_visual_trades,3,clarity_ease,0,0.0,5.0,-5.0
aud_artisans_visual_trades,3,translation_language,0,0.0,5.7,-5.7
aud_artisans_visual_trades,3,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_artisans_visual_trades,3,novelty_invention,0,0.0,6.6,-6.6
aud_artisans_visual_trades,3,correction_revision,0,0.0,10.0,-10.0
aud_artisans_visual_trades,3,demonstration_method,0,0.0,11.9,-11.9
aud_artisans_visual_trades,3,enrichment_addition,0,0.0,14.2,-14.2
aud_general_readers_lovers,40,translation_language,5,12.5,5.7,6.8
aud_general_readers_lovers,40,utility_use,6,15.0,8.5,6.5
aud_general_readers_lovers,40,clarity_ease,4,10.0,5.0,5.0
aud_general_readers_lovers,40,novelty_invention,4,10.0,6.6,3.4
aud_general_readers_lovers,40,restoration_ancient_authority,3,7.5,5.8,1.7
aud_general_readers_lovers,40,demonstration_method,4,10.0,11.9,-1.9
aud_general_readers_lovers,40,correction_revision,2,5.0,10.0,-5.0
aud_general_readers_lovers,40,enrichment_addition,2,5.0,14.2,-9.2
aud_mathematicians_scholars,8,utility_use,4,50.0,8.5,41.5
aud_mathematicians_scholars,8,novelty_invention,1,12.5,6.6,5.9
aud_mathematicians_scholars,8,demonstration_method,1,12.5,11.9,0.6
aud_mathematicians_scholars,8,enrichment_addition,1,12.5,14.2,-1.7
aud_mathematicians_scholars,8,clarity_ease,0,0.0,5.0,-5.0
aud_mathematicians_scholars,8,translation_language,0,0.0,5.7,-5.7
aud_mathematicians_scholars,8,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_mathematicians_scholars,8,correction_revision,0,0.0,10.0,-10.0
aud_merchants_commercial_users,3,utility_use,3,100.0,8.5,91.5
aud_merchants_commercial_users,3,novelty_invention,1,33.3,6.6,26.7
aud_merchants_commercial_users,3,enrichment_addition,1,33.3,14.2,19.1
aud_merchants_commercial_users,3,clarity_ease,0,0.0,5.0,-5.0
aud_merchants_commercial_users,3,translation_language,0,0.0,5.7,-5.7
aud_merchants_commercial_users,3,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_merchants_commercial_users,3,correction_revision,0,0.0,10.0,-10.0
aud_merchants_commercial_users,3,demonstration_method,0,0.0,11.9,-11.9
aud_military_users,9,novelty_invention,3,33.3,6.6,26.7
aud_military_users,9,correction_revision,3,33.3,10.0,23.4
aud_military_users,9,utility_use,2,22.2,8.5,13.7
aud_military_users,9,demonstration_method,1,11.1,11.9,-0.8
aud_military_users,9,enrichment_addition,1,11.1,14.2,-3.1
aud_military_users,9,clarity_ease,0,0.0,5.0,-5.0
aud_military_users,9,translation_language,0,0.0,5.7,-5.7
aud_military_users,9,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_navigators_pilots,3,utility_use,2,66.7,8.5,58.1
aud_navigators_pilots,3,demonstration_method,1,33.3,11.9,21.5
aud_navigators_pilots,3,enrichment_addition,1,33.3,14.2,19.1
aud_navigators_pilots,3,clarity_ease,0,0.0,5.0,-5.0
aud_navigators_pilots,3,translation_language,0,0.0,5.7,-5.7
aud_navigators_pilots,3,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_navigators_pilots,3,novelty_invention,0,0.0,6.6,-6.6
aud_navigators_pilots,3,correction_revision,0,0.0,10.0,-10.0
aud_nobility_court_as_audience,4,utility_use,3,75.0,8.5,66.5
aud_nobility_court_as_audience,4,enrichment_addition,3,75.0,14.2,60.8
aud_nobility_court_as_audience,4,correction_revision,2,50.0,10.0,40.0
aud_nobility_court_as_audience,4,clarity_ease,0,0.0,5.0,-5.0
aud_nobility_court_as_audience,4,translation_language,0,0.0,5.7,-5.7
aud_nobility_court_as_audience,4,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_nobility_court_as_audience,4,novelty_invention,0,0.0,6.6,-6.6
aud_nobility_court_as_audience,4,demonstration_method,0,0.0,11.9,-11.9
aud_students_learners,16,enrichment_addition,8,50.0,14.2,35.8
aud_students_learners,16,demonstration_method,5,31.2,11.9,19.4
aud_students_learners,16,correction_revision,4,25.0,10.0,15.0
aud_students_learners,16,novelty_invention,1,6.2,6.6,-0.4
aud_students_learners,16,clarity_ease,0,0.0,5.0,-5.0
aud_students_learners,16,translation_language,0,0.0,5.7,-5.7
aud_students_learners,16,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_students_learners,16,utility_use,0,0.0,8.5,-8.5
aud_surveyors_geometers_engineers,8,novelty_invention,2,25.0,6.6,18.4
aud_surveyors_geometers_engineers,8,utility_use,2,25.0,8.5,16.5
aud_surveyors_geometers_engineers,8,correction_revision,2,25.0,10.0,15.0
aud_surveyors_geometers_engineers,8,demonstration_method,2,25.0,11.9,13.1
aud_surveyors_geometers_engineers,8,clarity_ease,1,12.5,5.0,7.5
aud_surveyors_geometers_engineers,8,translation_language,0,0.0,5.7,-5.7
aud_surveyors_geometers_engineers,8,restoration_ancient_authority,0,0.0,5.8,-5.8
aud_surveyors_geometers_engineers,8,enrichment_addition,0,0.0,14.2,-14.2
inst_civic_state_institution,4,enrichment_addition,2,50.0,14.2,35.8
inst_civic_state_institution,4,clarity_ease,0,0.0,5.0,-5.0
inst_civic_state_institution,4,translation_language,0,0.0,5.7,-5.7
inst_civic_state_institution,4,restoration_ancient_authority,0,0.0,5.8,-5.8
inst_civic_state_institution,4,novelty_invention,0,0.0,6.6,-6.6
inst_civic_state_institution,4,utility_use,0,0.0,8.5,-8.5
inst_civic_state_institution,4,correction_revision,0,0.0,10.0,-10.0
inst_civic_state_institution,4,demonstration_method,0,0.0,11.9,-11.9
inst_engineering_military_schools,2,restoration_ancient_authority,1,50.0,5.8,44.2
inst_engineering_military_schools,2,enrichment_addition,1,50.0,14.2,35.8
inst_engineering_military_schools,2,clarity_ease,0,0.0,5.0,-5.0
inst_engineering_military_schools,2,translation_language,0,0.0,5.7,-5.7
inst_engineering_military_schools,2,novelty_invention,0,0.0,6.6,-6.6
