social_category,n,subject_family,primary_count,primary_pct,overall_primary_pct,delta
aud_architects_builders,0,Arithmetic/Commerce,0,0.0,17.1,0.0
aud_architects_builders,0,Geometry/Theory,0,0.0,50.3,0.0
aud_architects_builders,0,Visual/Spatial Arts,0,0.0,13.0,0.0
aud_architects_builders,0,Instruments/Measurement,0,0.0,12.3,0.0
aud_architects_builders,0,Cosmos/Earth,0,0.0,9.5,0.0
aud_architects_builders,0,Applied Mechanics/Military,0,0.0,6.8,0.0
aud_architects_builders,0,Music,0,0.0,2.1,0.0
aud_artisans_visual_trades,3,Instruments/Measurement,3,100.0,12.3,87.7
aud_artisans_visual_trades,3,Applied Mechanics/Military,1,33.3,6.8,26.6
aud_artisans_visual_trades,3,Arithmetic/Commerce,1,33.3,17.1,16.3
aud_artisans_visual_trades,3,Music,0,0.0,2.1,-2.1
aud_artisans_visual_trades,3,Cosmos/Earth,0,0.0,9.5,-9.5
aud_artisans_visual_trades,3,Visual/Spatial Arts,0,0.0,13.0,-13.0
aud_artisans_visual_trades,3,Geometry/Theory,0,0.0,50.3,-50.3
aud_general_readers_lovers,40,Geometry/Theory,28,70.0,50.3,19.7
aud_general_readers_lovers,40,Visual/Spatial Arts,11,27.5,13.0,14.5
aud_general_readers_lovers,40,Applied Mechanics/Military,6,15.0,6.8,8.2
aud_general_readers_lovers,40,Instruments/Measurement,8,20.0,12.3,7.7
aud_general_readers_lovers,40,Arithmetic/Commerce,7,17.5,17.1,0.4
aud_general_readers_lovers,40,Music,0,0.0,2.1,-2.1
aud_general_readers_lovers,40,Cosmos/Earth,0,0.0,9.5,-9.5
aud_mathematicians_scholars,8,Instruments/Measurement,3,37.5,12.3,25.2
aud_mathematicians_scholars,8,Applied Mechanics/Military,1,12.5,6.8,5.7
aud_mathematicians_scholars,8,Visual/Spatial Arts,1,12.5,13.0,-0.5
aud_mathematicians_scholars,8,Music,0,0.0,2.1,-2.1
aud_mathematicians_scholars,8,Arithmetic/Commerce,1,12.5,17.1,-4.6
aud_mathematicians_scholars,8,Cosmos/Earth,0,0.0,9.5,-9.5
aud_mathematicians_scholars,8,Geometry/Theory,3,37.5,50.3,-12.8
aud_merchants_commercial_users,3,Instruments/Measurement,2,66.7,12.3,54.3
aud_merchants_commercial_users,3,Applied Mechanics/Military,1,33.3,6.8,26.6
aud_merchants_commercial_users,3,Arithmetic/Commerce,1,33.3,17.1,16.3
aud_merchants_commercial_users,3,Music,0,0.0,2.1,-2.1
aud_merchants_commercial_users,3,Cosmos/Earth,0,0.0,9.5,-9.5
aud_merchants_commercial_users,3,Visual/Spatial Arts,0,0.0,13.0,-13.0
aud_merchants_commercial_users,3,Geometry/Theory,0,0.0,50.3,-50.3
aud_military_users,9,Geometry/Theory,6,66.7,50.3,16.4
aud_military_users,9,Applied Mechanics/Military,2,22.2,6.8,15.5
aud_military_users,9,Arithmetic/Commerce,2,22.2,17.1,5.1
aud_military_users,9,Instruments/Measurement,1,11.1,12.3,-1.2
aud_military_users,9,Visual/Spatial Arts,1,11.1,13.0,-1.9
aud_military_users,9,Music,0,0.0,2.1,-2.1
aud_military_users,9,Cosmos/Earth,0,0.0,9.5,-9.5
aud_navigators_pilots,3,Cosmos/Earth,2,66.7,9.5,57.2
aud_navigators_pilots,3,Geometry/Theory,2,66.7,50.3,16.4
aud_navigators_pilots,3,Music,0,0.0,2.1,-2.1
aud_navigators_pilots,3,Applied Mechanics/Military,0,0.0,6.8,-6.8
aud_navigators_pilots,3,Instruments/Measurement,0,0.0,12.3,-12.3
aud_navigators_pilots,3,Visual/Spatial Arts,0,0.0,13.0,-13.0
aud_navigators_pilots,3,Arithmetic/Commerce,0,0.0,17.1,-17.1
aud_nobility_court_as_audience,4,Arithmetic/Commerce,4,100.0,17.1,82.9
