classification_key,year,city,language_first,period,format_group,elements_books_group,primary_subject_family,mode_sparse_canonical,sparse_canonical_identity,no_visible_social_arena,rich_claim_count,social_arena_count,tps_feature_has_count,density_score,fashion_propensity_sparse_pct,period_language_format_n,period_language_format_sparse_pct,city_format_n,city_format_sparse_pct,any_school_or_institution,pedagogical_school_arena,religious_institutional_arena,rich_claim_text_raw,rich_social_text_raw,interpretive_risk
8DP4C1,1613,Bologna,ITALIAN,1600-1649,missing/unknown,books_1_6,Geometry/Theory,1,1,1,2,0,4,2.8,36.8,1,,2,,0,0,0,ridotti | I primi sei libri de gl’Elementi d’Euclide | I primi sei libri de gl’Elementi d’Euclide | Euclide,,high_fashion_risk
Bologna_1651a,1651,Bologna,ITALIAN,1650-1699,octavo,books_1_6,No primary family,1,0,1,3,0,9,4.8,34.9,3,100.0,4,75.0,0,0,0,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Tradotti in lingua Italiana | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA,high_fashion_risk
Bologna_1651,1651,Bologna,ITALIAN,1650-1699,octavo,books_1_6,No primary family,1,0,1,3,0,10,5.0,34.9,3,100.0,4,75.0,0,0,0,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA | SENATO DI BOLOGNA,high_fashion_risk
Bologna_1686,1686,Bologna,ITALIAN,1650-1699,octavo,books_1_6,No primary family,1,0,1,3,0,10,5.0,34.9,3,100.0,4,75.0,0,0,0,Tradotti | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | DE GLI ELEMENTI DI EVCLIDE Li Primi sei Libri | Italiana | EVCLIDE,SENATO DI BOLOGNA | SENATO DI BOLOGNA,high_fashion_risk
Leipzig_1883,1883,Leipzig,GREEK,1700+,missing/unknown,books_1_13,Geometry/Theory,1,0,1,3,0,7,4.4,33.4,1,,1,,0,0,0,EDIDERUNT | EUCLIDIS OPERA OMNIA | EUCLIDIS,,high_fashion_risk
2L8L55,1719,Bologna,LATIN,1700+,missing/unknown,books_1_6,Geometry/Theory,1,0,1,3,0,14,5.8,31.6,1,,2,,0,0,0,"accefferunt | iterum expofita | SEX PRIORA EUCLIDIS ELEMENTA | Quibus accefferunt Undecimum, & Duodecimum | iterum expofita | In Bononienfi Archigymnafio Hydrometriæ Profeffore | SEX PRIORA EUCLIDIS ELEMENTA | Undecimum, & Duodecimum | Hydrometriæ | Hydrometriæ | EUCLIDIS",Bononienfi Archigymnafio | BONONIÆ SENATUS | In Bononienfi Archigymnafio Hydrometriæ Profeffore | BONONIÆ SENATUS PATRIBUS Scientiarum omnium Mæcenatibus,high_fashion_risk
Milan_1702,1702,Milan,ITALIAN,1700+,6,books_1_6,No primary family,1,1,1,2,0,8,3.6,31.3,1,,1,,0,0,0,TRATTI | I PRIMI SEI LIBRI D’EVCLIDE | I PRIMI SEI LIBRI D’EVCLIDE | IN VOLGARE | EVCLIDE,,high_fashion_risk
Milan_1671,1671,Milan,ITALIAN,1650-1699,duodecimo,books_1_6,Geometry/Theory,1,0,1,2,0,8,3.6,25.8,2,,1,,0,0,0,TRATTI | I PRIMI SEI LIBRI D’EVCLIDE | I PRIMI SEI LIBRI D’EVCLIDE | EVCLIDE,"CONTE VITALIANO BORROMEO Generale dell’Artiglieria, e del Consiglio Segreto di S. M. Cattolica, e Commessario Imperiale della Maestà dell’Imperatore in Italia",high_fashion_risk
Leipzig_1549,1549,Leipzig,LATIN,pre-1550,octavo,books_1_6,No primary family,1,0,1,3,0,10,5.0,25.4,4,100.0,4,50.0,0,0,0,CONVERSI | Edebat | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX | Lipsiæ | Rhet | EVCLIDIS ELEMENTORVM GEOMETRICORVM LIBRI SEX | ser- monem à Ioach. Camerario | LATINVM | Εuκλείδου | EVCLIDIS,Lipsiæ | Rhet,high_fashion_risk
Uppsala_1744,1744,Uppsala,SWEDISH,1700+,missing/unknown,books_1_6,Geometry/Theory,1,1,0,2,2,13,6.6,23.2,2,,2,,1,1,0,Rikßens Ungdoms | EUCLIDIS ELEMENTA | GRUNDELIGA INLEDNING til GEOMETRIEN | Philosophiæ Adjunct wid Kongl. Academien i Upsåla och Ledamot af Kongl. Wetenskaps Academien i Stockholm | EUCLIDIS ELEMENTA | Swenßka Språ-  ket | EUCLIDIS,Rikßens Ungdoms | Kongl. Academien i Upsåla | Kongl. Wetenskaps Academien i Stockholm | Philosophiæ Adjunct wid Kongl. Academien i Upsåla och Ledamot af Kongl. Wetenskaps Academien i Stockholm,medium
