stratum_type,stratum,fields,n,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score,mode_sparse_canonical_count,mode_sparse_canonical_pct,sparse_canonical_identity_count,sparse_canonical_identity_pct,no_visible_social_arena_count,no_visible_social_arena_pct
period_format,period=pre-1550 | format_group=octavo,period + format_group,5,2.6,0.0,6.8,3.96,5,100.0,2,40.0,5,100.0
period_language_format,period=pre-1550 | language_first=LATIN | format_group=octavo,period + language_first + format_group,4,2.5,0.0,7.25,3.95,4,100.0,2,50.0,4,100.0
period_language_bookgroup,period=1650-1699 | language_first=ITALIAN | elements_books_group=books_1_6,period + language_first + elements_books_group,4,2.75,0.0,9.25,4.6,4,100.0,0,0.0,4,100.0
language_format,language_first=ITALIAN | format_group=octavo,language_first + format_group,3,3.0,0.0,9.67,4.93,3,100.0,0,0.0,3,100.0
period_language_format,period=1650-1699 | language_first=ITALIAN | format_group=octavo,period + language_first + format_group,3,3.0,0.0,9.67,4.93,3,100.0,0,0.0,3,100.0
period_language,period=1650-1699 | language_first=ITALIAN,period + language_first,6,3.0,0.0,10.17,5.03,5,83.3,0,0.0,6,100.0
city_format,city=Bologna | format_group=octavo,city + format_group,4,3.5,0.0,10.25,5.55,3,75.0,0,0.0,4,100.0
city_format,city=Naples | format_group=octavo,city + format_group,3,3.33,0.0,8.33,5.0,2,66.7,2,66.7,3,100.0
city_format,city=Strasbourg | format_group=quarto,city + format_group,3,2.0,0.0,10.0,4.0,2,66.7,0,0.0,3,100.0
period_language_format,period=1550-1599 | language_first=GREEK | format_group=quarto,period + language_first + format_group,3,3.0,1.33,12.33,6.8,2,66.7,0,0.0,2,66.7
bookgroup_format,elements_books_group=books_1_6 | format_group=missing/unknown,elements_books_group + format_group,8,2.0,0.25,8.25,3.9,4,50.0,3,37.5,7,87.5
city_format,city=Leipzig | format_group=octavo,city + format_group,4,2.5,0.75,9.0,5.05,2,50.0,1,25.0,2,50.0
city_format,city=Rome | format_group=octavo,city + format_group,4,4.75,0.5,10.5,7.35,2,50.0,0,0.0,2,50.0
period_language_bookgroup,period=1700+ | language_first=LATIN | elements_books_group=books_1_6,period + language_first + elements_books_group,4,4.25,1.25,10.75,7.65,2,50.0,1,25.0,2,50.0
period_format,period=1700+ | format_group=missing/unknown,period + format_group,12,3.08,0.92,11.0,6.2,5,41.7,3,25.0,7,58.3
language_format,language_first=GREEK | format_group=quarto,language_first + format_group,5,2.6,1.2,12.0,6.2,2,40.0,0,0.0,3,60.0
bookgroup_format,elements_books_group=unknown_books | format_group=octavo,elements_books_group + format_group,11,2.64,1.09,7.73,5.27,4,36.4,2,18.2,6,54.5
period_language,period=1550-1599 | language_first=GREEK,period + language_first,9,3.11,1.22,11.67,6.67,3,33.3,0,0.0,4,44.4
