field,value,n,outcome,label,count,pct,overall_pct,delta_vs_overall,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score
period,1550-1599,55,mode_sparse_canonical,Natural sparse/canonical mode,10,18.2,15.4,2.8,3.64,1.11,11.36,7.02
period,1550-1599,55,sparse_canonical_identity,Sparse-canonical archetype,2,3.6,6.6,-3.0,3.64,1.11,11.36,7.02
period,1550-1599,55,no_visible_social_arena,No visible social arena,27,49.1,43.7,5.4,3.64,1.11,11.36,7.02
period,1600-1649,75,mode_sparse_canonical,Natural sparse/canonical mode,5,6.7,15.4,-8.7,4.29,1.15,11.08,7.66
period,1600-1649,75,sparse_canonical_identity,Sparse-canonical archetype,2,2.7,6.6,-4.0,4.29,1.15,11.08,7.66
period,1600-1649,75,no_visible_social_arena,No visible social arena,29,38.7,43.7,-5.0,4.29,1.15,11.08,7.66
period,1650-1699,83,mode_sparse_canonical,Natural sparse/canonical mode,12,14.5,15.4,-0.9,3.8,1.1,11.39,7.17
period,1650-1699,83,sparse_canonical_identity,Sparse-canonical archetype,3,3.6,6.6,-3.0,3.8,1.1,11.39,7.17
period,1650-1699,83,no_visible_social_arena,No visible social arena,35,42.2,43.7,-1.5,3.8,1.1,11.39,7.17
period,1700+,40,mode_sparse_canonical,Natural sparse/canonical mode,8,20.0,15.4,4.6,4.22,1.35,11.48,7.87
period,1700+,40,sparse_canonical_identity,Sparse-canonical archetype,6,15.0,6.6,8.4,4.22,1.35,11.48,7.87
period,1700+,40,no_visible_social_arena,No visible social arena,15,37.5,43.7,-6.2,4.22,1.35,11.48,7.87
period,pre-1550,32,mode_sparse_canonical,Natural sparse/canonical mode,8,25.0,15.4,9.6,2.94,0.72,9.56,5.57
period,pre-1550,32,sparse_canonical_identity,Sparse-canonical archetype,5,15.6,6.6,9.0,2.94,0.72,9.56,5.57
period,pre-1550,32,no_visible_social_arena,No visible social arena,19,59.4,43.7,15.7,2.94,0.72,9.56,5.57
period,unknown,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,2.0,1.0,14.0,5.8
period,unknown,1,sparse_canonical_identity,Sparse-canonical archetype,1,100.0,6.6,93.4,2.0,1.0,14.0,5.8
period,unknown,1,no_visible_social_arena,No visible social arena,0,0.0,43.7,-43.7,2.0,1.0,14.0,5.8
language_first,ARABIC,1,mode_sparse_canonical,Natural sparse/canonical mode,1,100.0,15.4,84.6,2.0,0.0,11.0,4.2
language_first,ARABIC,1,sparse_canonical_identity,Sparse-canonical archetype,1,100.0,6.6,93.4,2.0,0.0,11.0,4.2
language_first,ARABIC,1,no_visible_social_arena,No visible social arena,1,100.0,43.7,56.3,2.0,0.0,11.0,4.2
language_first,CHINESE,2,mode_sparse_canonical,Natural sparse/canonical mode,0,0.0,15.4,-15.4,0.0,0.0,1.0,0.2
language_first,CHINESE,2,sparse_canonical_identity,Sparse-canonical archetype,0,0.0,6.6,-6.6,0.0,0.0,1.0,0.2
language_first,CHINESE,2,no_visible_social_arena,No visible social arena,2,100.0,43.7,56.3,0.0,0.0,1.0,0.2
language_first,DUTCH,21,mode_sparse_canonical,Natural sparse/canonical mode,2,9.5,15.4,-5.9,5.48,1.43,11.95,9.3
language_first,DUTCH,21,sparse_canonical_identity,Sparse-canonical archetype,1,4.8,6.6,-1.9,5.48,1.43,11.95,9.3
language_first,DUTCH,21,no_visible_social_arena,No visible social arena,4,19.0,43.7,-24.7,5.48,1.43,11.95,9.3
language_first,ENGLISH,20,mode_sparse_canonical,Natural sparse/canonical mode,2,10.0,15.4,-5.4,5.2,1.65,12.6,9.37
language_first,ENGLISH,20,sparse_canonical_identity,Sparse-canonical archetype,1,5.0,6.6,-1.6,5.2,1.65,12.6,9.37
language_first,ENGLISH,20,no_visible_social_arena,No visible social arena,6,30.0,43.7,-13.7,5.2,1.65,12.6,9.37
language_first,FRENCH,53,mode_sparse_canonical,Natural sparse/canonical mode,3,5.7,15.4,-9.7,4.34,1.15,11.28,7.75
language_first,FRENCH,53,sparse_canonical_identity,Sparse-canonical archetype,1,1.9,6.6,-4.8,4.34,1.15,11.28,7.75
language_first,FRENCH,53,no_visible_social_arena,No visible social arena,20,37.7,43.7,-6.0,4.34,1.15,11.28,7.75
