field,value,n,outcome,label,count,pct,overall_pct,delta_vs_overall,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,avg_density_score
city,Bologna,6,mode_sparse_canonical,Natural sparse/canonical mode,5,83.3,15.4,67.9,3.17,0.0,9.83,5.13
city,Leipzig,5,mode_sparse_canonical,Natural sparse/canonical mode,3,60.0,15.4,44.6,2.6,0.6,8.6,4.92
language_first,ITALIAN,12,mode_sparse_canonical,Natural sparse/canonical mode,7,58.3,15.4,42.9,3.42,0.42,10.83,6.0
city,Lyon,10,mode_sparse_canonical,Natural sparse/canonical mode,4,40.0,15.4,24.6,3.7,1.2,11.7,7.24
format_group,6,5,mode_sparse_canonical,Natural sparse/canonical mode,2,40.0,15.4,24.6,2.8,0.2,9.6,4.92
elements_books_group,books_1_13,5,mode_sparse_canonical,Natural sparse/canonical mode,2,40.0,15.4,24.6,3.6,1.2,11.2,7.04
format_group,missing/unknown,18,mode_sparse_canonical,Natural sparse/canonical mode,6,33.3,15.4,17.9,2.94,0.78,9.5,5.62
language_first,GREEK,16,mode_sparse_canonical,Natural sparse/canonical mode,5,31.2,15.4,15.9,3.0,0.81,10.81,5.98
city,Strasbourg,13,mode_sparse_canonical,Natural sparse/canonical mode,4,30.8,15.4,15.4,2.85,0.77,10.38,5.69
period,pre-1550,32,mode_sparse_canonical,Natural sparse/canonical mode,8,25.0,15.4,9.6,2.94,0.72,9.56,5.57
elements_books_group,books_1_6,81,mode_sparse_canonical,Natural sparse/canonical mode,19,23.5,15.4,8.1,3.86,1.1,11.1,7.18
any_school_or_institution,0,170,mode_sparse_canonical,Natural sparse/canonical mode,40,23.5,15.4,8.1,3.39,0.42,10.21,5.85
city,Venice,13,mode_sparse_canonical,Natural sparse/canonical mode,3,23.1,15.4,7.7,2.69,0.77,9.23,5.31
city,Rome,14,mode_sparse_canonical,Natural sparse/canonical mode,3,21.4,15.4,6.0,3.93,0.86,11.64,7.11
period,1700+,40,mode_sparse_canonical,Natural sparse/canonical mode,8,20.0,15.4,4.6,4.22,1.35,11.48,7.87
pedagogical_school_arena,0,219,mode_sparse_canonical,Natural sparse/canonical mode,42,19.2,15.4,3.8,3.71,0.66,10.65,6.5
religious_institutional_arena,0,226,mode_sparse_canonical,Natural sparse/canonical mode,43,19.0,15.4,3.6,3.67,0.88,10.79,6.71
period,1550-1599,55,mode_sparse_canonical,Natural sparse/canonical mode,10,18.2,15.4,2.8,3.64,1.11,11.36,7.02
elements_books_group,unknown_books,56,mode_sparse_canonical,Natural sparse/canonical mode,10,17.9,15.4,2.5,2.96,1.21,9.64,6.11
format_group,duodecimo,30,mode_sparse_canonical,Natural sparse/canonical mode,5,16.7,15.4,1.3,4.4,0.93,11.4,7.61
primary_subject_family,Geometry/Theory,157,mode_sparse_canonical,Natural sparse/canonical mode,25,15.9,15.4,0.5,4.02,1.16,11.6,7.5
language_first,GERMAN,13,mode_sparse_canonical,Natural sparse/canonical mode,2,15.4,15.4,0.0,2.92,0.69,12.15,6.05
format_group,octavo,111,mode_sparse_canonical,Natural sparse/canonical mode,17,15.3,15.4,-0.1,4.3,1.19,11.0,7.69
primary_subject_family,No primary family,88,mode_sparse_canonical,Natural sparse/canonical mode,13,14.8,15.4,-0.6,3.9,0.98,10.52,6.98
period,1650-1699,83,mode_sparse_canonical,Natural sparse/canonical mode,12,14.5,15.4,-0.9,3.8,1.1,11.39,7.17
elements_books_group,selected_later_books,21,mode_sparse_canonical,Natural sparse/canonical mode,3,14.3,15.4,-1.1,2.86,1.0,10.19,5.9
language_first,LATIN,139,mode_sparse_canonical,Natural sparse/canonical mode,19,13.7,15.4,-1.7,3.58,1.08,10.73,6.8
format_group,quarto,67,mode_sparse_canonical,Natural sparse/canonical mode,8,11.9,15.4,-3.4,3.37,1.27,11.27,6.9
elements_books_group,books_1_6_plus_solids,39,mode_sparse_canonical,Natural sparse/canonical mode,4,10.3,15.4,-5.1,4.54,1.69,11.95,8.62
language_first,ENGLISH,20,mode_sparse_canonical,Natural sparse/canonical mode,2,10.0,15.4,-5.4,5.2,1.65,12.6,9.37
city,London,20,mode_sparse_canonical,Natural sparse/canonical mode,2,10.0,15.4,-5.4,4.8,1.2,11.8,8.36
