subject_family,feature,n_in,pct_in,pct_out,delta
Applied Mechanics/Military,audience,57,33.3,23.7,9.7
Applied Mechanics/Military,has_community,57,64.9,55.7,9.2
Applied Mechanics/Military,has_addition,57,56.1,49.1,7.0
Applied Mechanics/Military,printing_privilege,57,10.5,4.1,6.5
Applied Mechanics/Military,editor_description,57,63.2,57.1,6.0
Applied Mechanics/Military,bound_with_minimal,57,24.6,19.2,5.4
Applied Mechanics/Military,bound_with,57,24.6,19.5,5.1
Applied Mechanics/Military,institutions,57,33.3,29.3,4.1
Applied Mechanics/Military,action_verbs,57,70.2,66.2,4.0
Applied Mechanics/Military,has_transformation,57,70.2,68.3,1.9
Applied Mechanics/Military,dedicatee_name,57,21.1,19.3,1.7
Applied Mechanics/Military,date_in_imprint,57,86.0,84.5,1.5
Applied Mechanics/Military,location_in_imprint,57,84.2,84.0,0.2
Applied Mechanics/Military,publisher_in_imprint,57,82.5,82.7,-0.2
Applied Mechanics/Military,editor_name,57,75.4,76.6,-1.2
Applied Mechanics/Military,enriched_with,57,40.4,41.6,-1.3
Applied Mechanics/Military,has_imprint,57,87.7,89.3,-1.6
Applied Mechanics/Military,has_authority,57,84.2,88.3,-4.1
Applied Mechanics/Military,content_description,57,36.8,42.7,-5.9
Applied Mechanics/Military,description_of_euclid,57,0.0,5.9,-5.9
Applied Mechanics/Military,edition_details,57,28.1,34.0,-5.9
Applied Mechanics/Military,educational_authorities_references,57,8.8,15.1,-6.4
Applied Mechanics/Military,destination_language,57,5.3,14.0,-8.7
Applied Mechanics/Military,origin_language,57,1.8,10.4,-8.7
Applied Mechanics/Military,references_to_euclid,57,8.8,36.6,-27.9
Applied Mechanics/Military,elements_designation,57,8.8,38.0,-29.3
Applied Mechanics/Military,base_content,57,35.1,67.0,-32.0
Applied Mechanics/Military,has_identity,57,35.1,67.7,-32.6
Arithmetic/Commerce,edition_details,144,45.8,31.0,14.8
Arithmetic/Commerce,audience,144,30.6,23.0,7.5
Arithmetic/Commerce,has_addition,144,54.9,48.5,6.4
Arithmetic/Commerce,action_verbs,144,70.8,65.5,5.3
Arithmetic/Commerce,editor_name,144,79.9,75.8,4.0
