subject_family,n_primary_family,feature,count,pct
Arithmetic/Commerce,144,action_verbs,102,70.8
Arithmetic/Commerce,144,audience,44,30.6
Arithmetic/Commerce,144,base_content,90,62.5
Arithmetic/Commerce,144,bound_with,31,21.5
Arithmetic/Commerce,144,bound_with_minimal,29,20.1
Arithmetic/Commerce,144,content_description,60,41.7
Arithmetic/Commerce,144,date_in_imprint,120,83.3
Arithmetic/Commerce,144,dedicatee_name,15,10.4
Arithmetic/Commerce,144,description_of_euclid,2,1.4
Arithmetic/Commerce,144,destination_language,13,9.0
Arithmetic/Commerce,144,edition_details,66,45.8
Arithmetic/Commerce,144,editor_description,74,51.4
Arithmetic/Commerce,144,editor_name,115,79.9
Arithmetic/Commerce,144,educational_authorities_references,16,11.1
Arithmetic/Commerce,144,elements_designation,15,10.4
Arithmetic/Commerce,144,enriched_with,63,43.8
Arithmetic/Commerce,144,institutions,24,16.7
Arithmetic/Commerce,144,location_in_imprint,114,79.2
Arithmetic/Commerce,144,origin_language,9,6.2
Arithmetic/Commerce,144,printing_privilege,3,2.1
Arithmetic/Commerce,144,publisher_in_imprint,121,84.0
Arithmetic/Commerce,144,references_to_euclid,12,8.3
Arithmetic/Commerce,144,FAMILY:identity,90,62.5
Arithmetic/Commerce,144,FAMILY:authority,124,86.1
Arithmetic/Commerce,144,FAMILY:transformation,102,70.8
Arithmetic/Commerce,144,FAMILY:addition,79,54.9
Arithmetic/Commerce,144,FAMILY:community,67,46.5
Arithmetic/Commerce,144,FAMILY:imprint,129,89.6
Geometry/Theory,424,action_verbs,290,68.4
Geometry/Theory,424,audience,106,25.0
Geometry/Theory,424,base_content,316,74.5
Geometry/Theory,424,bound_with,115,27.1
Geometry/Theory,424,bound_with_minimal,114,26.9
Geometry/Theory,424,content_description,213,50.2
Geometry/Theory,424,date_in_imprint,363,85.6
Geometry/Theory,424,dedicatee_name,90,21.2
Geometry/Theory,424,description_of_euclid,30,7.1
Geometry/Theory,424,destination_language,63,14.9
Geometry/Theory,424,edition_details,151,35.6
Geometry/Theory,424,editor_description,269,63.4
Geometry/Theory,424,editor_name,336,79.2
Geometry/Theory,424,educational_authorities_references,74,17.5
Geometry/Theory,424,elements_designation,197,46.5
Geometry/Theory,424,enriched_with,186,43.9
Geometry/Theory,424,institutions,124,29.2
Geometry/Theory,424,location_in_imprint,357,84.2
Geometry/Theory,424,origin_language,46,10.8
Geometry/Theory,424,printing_privilege,20,4.7
Geometry/Theory,424,publisher_in_imprint,347,81.8
Geometry/Theory,424,references_to_euclid,188,44.3
Geometry/Theory,424,FAMILY:identity,318,75.0
Geometry/Theory,424,FAMILY:authority,384,90.6
Geometry/Theory,424,FAMILY:transformation,300,70.8
Geometry/Theory,424,FAMILY:addition,233,55.0
Geometry/Theory,424,FAMILY:community,257,60.6
Geometry/Theory,424,FAMILY:imprint,382,90.1
Visual/Spatial Arts,110,action_verbs,59,53.6
Visual/Spatial Arts,110,audience,37,33.6
Visual/Spatial Arts,110,base_content,43,39.1
Visual/Spatial Arts,110,bound_with,16,14.5
Visual/Spatial Arts,110,bound_with_minimal,16,14.5
Visual/Spatial Arts,110,content_description,31,28.2
Visual/Spatial Arts,110,date_in_imprint,76,69.1
Visual/Spatial Arts,110,dedicatee_name,24,21.8
Visual/Spatial Arts,110,description_of_euclid,0,0.0
Visual/Spatial Arts,110,destination_language,11,10.0
Visual/Spatial Arts,110,edition_details,16,14.5
Visual/Spatial Arts,110,editor_description,56,50.9
Visual/Spatial Arts,110,editor_name,82,74.5
Visual/Spatial Arts,110,educational_authorities_references,13,11.8
Visual/Spatial Arts,110,elements_designation,9,8.2
Visual/Spatial Arts,110,enriched_with,33,30.0
Visual/Spatial Arts,110,institutions,27,24.5
Visual/Spatial Arts,110,location_in_imprint,79,71.8
Visual/Spatial Arts,110,origin_language,7,6.4
Visual/Spatial Arts,110,printing_privilege,14,12.7
Visual/Spatial Arts,110,publisher_in_imprint,75,68.2
Visual/Spatial Arts,110,references_to_euclid,11,10.0
Visual/Spatial Arts,110,FAMILY:identity,43,39.1
Visual/Spatial Arts,110,FAMILY:authority,93,84.5
Visual/Spatial Arts,110,FAMILY:transformation,61,55.5
Visual/Spatial Arts,110,FAMILY:addition,44,40.0
Visual/Spatial Arts,110,FAMILY:community,66,60.0
Visual/Spatial Arts,110,FAMILY:imprint,91,82.7
Instruments/Measurement,104,action_verbs,72,69.2
Instruments/Measurement,104,audience,41,39.4
Instruments/Measurement,104,base_content,51,49.0
Instruments/Measurement,104,bound_with,18,17.3
Instruments/Measurement,104,bound_with_minimal,18,17.3
Instruments/Measurement,104,content_description,50,48.1
Instruments/Measurement,104,date_in_imprint,97,93.3
Instruments/Measurement,104,dedicatee_name,21,20.2
Instruments/Measurement,104,description_of_euclid,4,3.8
Instruments/Measurement,104,destination_language,4,3.8
Instruments/Measurement,104,edition_details,34,32.7
Instruments/Measurement,104,editor_description,67,64.4
Instruments/Measurement,104,editor_name,90,86.5
Instruments/Measurement,104,educational_authorities_references,12,11.5
Instruments/Measurement,104,elements_designation,7,6.7
Instruments/Measurement,104,enriched_with,53,51.0
Instruments/Measurement,104,institutions,22,21.2
Instruments/Measurement,104,location_in_imprint,94,90.4
Instruments/Measurement,104,origin_language,5,4.8
Instruments/Measurement,104,printing_privilege,6,5.8
Instruments/Measurement,104,publisher_in_imprint,91,87.5
Instruments/Measurement,104,references_to_euclid,8,7.7
Instruments/Measurement,104,FAMILY:identity,51,49.0
Instruments/Measurement,104,FAMILY:authority,94,90.4
Instruments/Measurement,104,FAMILY:transformation,72,69.2
Instruments/Measurement,104,FAMILY:addition,59,56.7
Instruments/Measurement,104,FAMILY:community,64,61.5
Instruments/Measurement,104,FAMILY:imprint,97,93.3
Cosmos/Earth,80,action_verbs,54,67.5
Cosmos/Earth,80,audience,19,23.8
Cosmos/Earth,80,base_content,41,51.2
Cosmos/Earth,80,bound_with,23,28.7
Cosmos/Earth,80,bound_with_minimal,23,28.7
Cosmos/Earth,80,content_description,26,32.5
Cosmos/Earth,80,date_in_imprint,68,85.0
Cosmos/Earth,80,dedicatee_name,12,15.0
Cosmos/Earth,80,description_of_euclid,7,8.8
Cosmos/Earth,80,destination_language,5,6.2
Cosmos/Earth,80,edition_details,23,28.7
Cosmos/Earth,80,editor_description,46,57.5
Cosmos/Earth,80,editor_name,63,78.8
Cosmos/Earth,80,educational_authorities_references,14,17.5
Cosmos/Earth,80,elements_designation,16,20.0
Cosmos/Earth,80,enriched_with,39,48.8
Cosmos/Earth,80,institutions,29,36.2
Cosmos/Earth,80,location_in_imprint,65,81.2
Cosmos/Earth,80,origin_language,3,3.8
Cosmos/Earth,80,printing_privilege,2,2.5
Cosmos/Earth,80,publisher_in_imprint,63,78.8
Cosmos/Earth,80,references_to_euclid,14,17.5
Cosmos/Earth,80,FAMILY:identity,41,51.2
Cosmos/Earth,80,FAMILY:authority,73,91.2
Cosmos/Earth,80,FAMILY:transformation,54,67.5
Cosmos/Earth,80,FAMILY:addition,48,60.0
Cosmos/Earth,80,FAMILY:community,43,53.8
Cosmos/Earth,80,FAMILY:imprint,68,85.0
Applied Mechanics/Military,57,action_verbs,40,70.2
Applied Mechanics/Military,57,audience,19,33.3
Applied Mechanics/Military,57,base_content,20,35.1
Applied Mechanics/Military,57,bound_with,14,24.6
Applied Mechanics/Military,57,bound_with_minimal,14,24.6
Applied Mechanics/Military,57,content_description,21,36.8
Applied Mechanics/Military,57,date_in_imprint,49,86.0
Applied Mechanics/Military,57,dedicatee_name,12,21.1
