subject,n_primary,feature,count,pct
Architecture,29,action_verbs,20,69.0
Architecture,29,audience,7,24.1
Architecture,29,base_content,12,41.4
Architecture,29,bound_with,5,17.2
Architecture,29,bound_with_minimal,5,17.2
Architecture,29,content_description,8,27.6
Architecture,29,date_in_imprint,23,79.3
Architecture,29,dedicatee_name,8,27.6
Architecture,29,description_of_euclid,0,0.0
Architecture,29,destination_language,5,17.2
Architecture,29,edition_details,7,24.1
Architecture,29,editor_description,17,58.6
Architecture,29,editor_name,23,79.3
Architecture,29,educational_authorities_references,5,17.2
Architecture,29,elements_designation,2,6.9
Architecture,29,enriched_with,11,37.9
Architecture,29,institutions,4,13.8
Architecture,29,location_in_imprint,22,75.9
Architecture,29,origin_language,3,10.3
Architecture,29,printing_privilege,6,20.7
Architecture,29,publisher_in_imprint,21,72.4
Architecture,29,references_to_euclid,3,10.3
Arithmetic,141,action_verbs,99,70.2
Arithmetic,141,audience,42,29.8
Arithmetic,141,base_content,89,63.1
Arithmetic,141,bound_with,30,21.3
Arithmetic,141,bound_with_minimal,28,19.9
Arithmetic,141,content_description,59,41.8
Arithmetic,141,date_in_imprint,118,83.7
Arithmetic,141,dedicatee_name,15,10.6
Arithmetic,141,description_of_euclid,2,1.4
Arithmetic,141,destination_language,13,9.2
Arithmetic,141,edition_details,64,45.4
Arithmetic,141,editor_description,74,52.5
Arithmetic,141,editor_name,112,79.4
Arithmetic,141,educational_authorities_references,16,11.3
Arithmetic,141,elements_designation,15,10.6
Arithmetic,141,enriched_with,61,43.3
Arithmetic,141,institutions,23,16.3
Arithmetic,141,location_in_imprint,112,79.4
Arithmetic,141,origin_language,9,6.4
Arithmetic,141,printing_privilege,2,1.4
Arithmetic,141,publisher_in_imprint,119,84.4
Arithmetic,141,references_to_euclid,12,8.5
Astronomy,67,action_verbs,44,65.7
Astronomy,67,audience,17,25.4
Astronomy,67,base_content,35,52.2
Astronomy,67,bound_with,19,28.4
Astronomy,67,bound_with_minimal,19,28.4
Astronomy,67,content_description,20,29.9
Astronomy,67,date_in_imprint,56,83.6
Astronomy,67,dedicatee_name,12,17.9
Astronomy,67,description_of_euclid,7,10.4
Astronomy,67,destination_language,5,7.5
Astronomy,67,edition_details,19,28.4
Astronomy,67,editor_description,37,55.2
Astronomy,67,editor_name,52,77.6
Astronomy,67,educational_authorities_references,13,19.4
Astronomy,67,elements_designation,15,22.4
Astronomy,67,enriched_with,36,53.7
Astronomy,67,institutions,24,35.8
Astronomy,67,location_in_imprint,54,80.6
Astronomy,67,origin_language,3,4.5
Astronomy,67,printing_privilege,0,0.0
Astronomy,67,publisher_in_imprint,51,76.1
Astronomy,67,references_to_euclid,13,19.4
Cartography,7,action_verbs,4,57.1
Cartography,7,audience,2,28.6
Cartography,7,base_content,3,42.9
Cartography,7,bound_with,0,0.0
Cartography,7,bound_with_minimal,0,0.0
Cartography,7,content_description,3,42.9
Cartography,7,date_in_imprint,6,85.7
Cartography,7,dedicatee_name,0,0.0
Cartography,7,description_of_euclid,0,0.0
Cartography,7,destination_language,0,0.0
Cartography,7,edition_details,0,0.0
Cartography,7,editor_description,4,57.1
Cartography,7,editor_name,6,85.7
Cartography,7,educational_authorities_references,0,0.0
Cartography,7,elements_designation,2,28.6
Cartography,7,enriched_with,1,14.3
Cartography,7,institutions,1,14.3
Cartography,7,location_in_imprint,6,85.7
Cartography,7,origin_language,0,0.0
Cartography,7,printing_privilege,0,0.0
Cartography,7,publisher_in_imprint,6,85.7
Cartography,7,references_to_euclid,1,14.3
Commercial Mathematics,30,action_verbs,22,73.3
Commercial Mathematics,30,audience,14,46.7
Commercial Mathematics,30,base_content,12,40.0
Commercial Mathematics,30,bound_with,2,6.7
Commercial Mathematics,30,bound_with_minimal,2,6.7
Commercial Mathematics,30,content_description,13,43.3
Commercial Mathematics,30,date_in_imprint,24,80.0
Commercial Mathematics,30,dedicatee_name,6,20.0
Commercial Mathematics,30,description_of_euclid,0,0.0
Commercial Mathematics,30,destination_language,1,3.3
Commercial Mathematics,30,edition_details,13,43.3
Commercial Mathematics,30,editor_description,8,26.7
Commercial Mathematics,30,editor_name,21,70.0
Commercial Mathematics,30,educational_authorities_references,4,13.3
Commercial Mathematics,30,elements_designation,0,0.0
Commercial Mathematics,30,enriched_with,16,53.3
Commercial Mathematics,30,institutions,2,6.7
Commercial Mathematics,30,location_in_imprint,23,76.7
Commercial Mathematics,30,origin_language,0,0.0
Commercial Mathematics,30,printing_privilege,2,6.7
Commercial Mathematics,30,publisher_in_imprint,23,76.7
Commercial Mathematics,30,references_to_euclid,0,0.0
Construction,21,action_verbs,16,76.2
Construction,21,audience,10,47.6
Construction,21,base_content,10,47.6
Construction,21,bound_with,6,28.6
Construction,21,bound_with_minimal,6,28.6
Construction,21,content_description,7,33.3
Construction,21,date_in_imprint,16,76.2
Construction,21,dedicatee_name,5,23.8
Construction,21,description_of_euclid,0,0.0
Construction,21,destination_language,2,9.5
Construction,21,edition_details,7,33.3
Construction,21,editor_description,12,57.1
Construction,21,editor_name,14,66.7
Construction,21,educational_authorities_references,3,14.3
Construction,21,elements_designation,2,9.5
Construction,21,enriched_with,10,47.6
Construction,21,institutions,5,23.8
Construction,21,location_in_imprint,15,71.4
Construction,21,origin_language,1,4.8
Construction,21,printing_privilege,3,14.3
Construction,21,publisher_in_imprint,15,71.4
Construction,21,references_to_euclid,2,9.5
Cosmography,14,action_verbs,10,71.4
Cosmography,14,audience,2,14.3
Cosmography,14,base_content,6,42.9
Cosmography,14,bound_with,3,21.4
Cosmography,14,bound_with_minimal,3,21.4
Cosmography,14,content_description,5,35.7
Cosmography,14,date_in_imprint,14,100.0
Cosmography,14,dedicatee_name,0,0.0
Cosmography,14,description_of_euclid,0,0.0
Cosmography,14,destination_language,1,7.1
Cosmography,14,edition_details,3,21.4
Cosmography,14,editor_description,9,64.3
Cosmography,14,editor_name,13,92.9
Cosmography,14,educational_authorities_references,1,7.1
Cosmography,14,elements_designation,1,7.1
Cosmography,14,enriched_with,8,57.1
Cosmography,14,institutions,5,35.7
Cosmography,14,location_in_imprint,13,92.9
Cosmography,14,origin_language,0,0.0
Cosmography,14,printing_privilege,2,14.3
Cosmography,14,publisher_in_imprint,12,85.7
Cosmography,14,references_to_euclid,1,7.1
Geography,16,action_verbs,13,81.2
Geography,16,audience,6,37.5
Geography,16,base_content,8,50.0
Geography,16,bound_with,4,25.0
Geography,16,bound_with_minimal,4,25.0
Geography,16,content_description,5,31.2
Geography,16,date_in_imprint,15,93.8
Geography,16,dedicatee_name,0,0.0
Geography,16,description_of_euclid,0,0.0
Geography,16,destination_language,2,12.5
Geography,16,edition_details,4,25.0
Geography,16,editor_description,12,75.0
Geography,16,editor_name,15,93.8
Geography,16,educational_authorities_references,1,6.2
Geography,16,elements_designation,4,25.0
Geography,16,enriched_with,8,50.0
Geography,16,institutions,9,56.2
Geography,16,location_in_imprint,13,81.2
Geography,16,origin_language,0,0.0
Geography,16,printing_privilege,0,0.0
Geography,16,publisher_in_imprint,13,81.2
Geography,16,references_to_euclid,2,12.5
Gnomonics & Horology,22,action_verbs,16,72.7
Gnomonics & Horology,22,audience,5,22.7
Gnomonics & Horology,22,base_content,7,31.8
Gnomonics & Horology,22,bound_with,5,22.7
Gnomonics & Horology,22,bound_with_minimal,5,22.7
Gnomonics & Horology,22,content_description,8,36.4
Gnomonics & Horology,22,date_in_imprint,20,90.9
Gnomonics & Horology,22,dedicatee_name,4,18.2
Gnomonics & Horology,22,description_of_euclid,1,4.5
Gnomonics & Horology,22,destination_language,1,4.5
Gnomonics & Horology,22,edition_details,5,22.7
Gnomonics & Horology,22,editor_description,15,68.2
Gnomonics & Horology,22,editor_name,19,86.4
Gnomonics & Horology,22,educational_authorities_references,2,9.1
Gnomonics & Horology,22,elements_designation,1,4.5
Gnomonics & Horology,22,enriched_with,11,50.0
Gnomonics & Horology,22,institutions,7,31.8
Gnomonics & Horology,22,location_in_imprint,19,86.4
Gnomonics & Horology,22,origin_language,1,4.5
Gnomonics & Horology,22,printing_privilege,1,4.5
Gnomonics & Horology,22,publisher_in_imprint,18,81.8
Gnomonics & Horology,22,references_to_euclid,1,4.5
Instrument Construction,18,action_verbs,13,72.2
Instrument Construction,18,audience,6,33.3
Instrument Construction,18,base_content,7,38.9
Instrument Construction,18,bound_with,3,16.7
Instrument Construction,18,bound_with_minimal,3,16.7
Instrument Construction,18,content_description,4,22.2
Instrument Construction,18,date_in_imprint,17,94.4
Instrument Construction,18,dedicatee_name,6,33.3
Instrument Construction,18,description_of_euclid,2,11.1
Instrument Construction,18,destination_language,0,0.0
Instrument Construction,18,edition_details,7,38.9
Instrument Construction,18,editor_description,9,50.0
Instrument Construction,18,editor_name,15,83.3
Instrument Construction,18,educational_authorities_references,4,22.2
Instrument Construction,18,elements_designation,2,11.1
Instrument Construction,18,enriched_with,12,66.7
Instrument Construction,18,institutions,7,38.9
Instrument Construction,18,location_in_imprint,16,88.9
Instrument Construction,18,origin_language,1,5.6
Instrument Construction,18,printing_privilege,0,0.0
Instrument Construction,18,publisher_in_imprint,15,83.3
Instrument Construction,18,references_to_euclid,3,16.7
Instrument Use,58,action_verbs,40,69.0
Instrument Use,58,audience,18,31.0
Instrument Use,58,base_content,28,48.3
Instrument Use,58,bound_with,8,13.8
Instrument Use,58,bound_with_minimal,8,13.8
Instrument Use,58,content_description,27,46.6
Instrument Use,58,date_in_imprint,53,91.4
Instrument Use,58,dedicatee_name,16,27.6
Instrument Use,58,description_of_euclid,2,3.4
Instrument Use,58,destination_language,4,6.9
Instrument Use,58,edition_details,16,27.6
Instrument Use,58,editor_description,36,62.1
Instrument Use,58,editor_name,49,84.5
Instrument Use,58,educational_authorities_references,6,10.3
Instrument Use,58,elements_designation,3,5.2
Instrument Use,58,enriched_with,28,48.3
Instrument Use,58,institutions,13,22.4
Instrument Use,58,location_in_imprint,51,87.9
Instrument Use,58,origin_language,5,8.6
Instrument Use,58,printing_privilege,4,6.9
Instrument Use,58,publisher_in_imprint,48,82.8
Instrument Use,58,references_to_euclid,3,5.2
Mechanics,24,action_verbs,16,66.7
