subset,x_field,y_metric,association_type,association,n
all_representatives,period,rich_claim_count,eta_squared_for_count_mean,0.067,843
all_representatives,period,social_arena_count,eta_squared_for_count_mean,0.015,843
all_representatives,period,tps_feature_has_count,eta_squared_for_count_mean,0.072,843
all_representatives,period,no_visible_social_arena,cramers_v_for_binary,0.131,843
all_representatives,period,sparse_canonical_identity,cramers_v_for_binary,0.113,843
all_representatives,language,rich_claim_count,eta_squared_for_count_mean,0.066,843
all_representatives,language,social_arena_count,eta_squared_for_count_mean,0.026,843
all_representatives,language,tps_feature_has_count,eta_squared_for_count_mean,0.034,843
all_representatives,language,no_visible_social_arena,cramers_v_for_binary,0.146,843
all_representatives,language,sparse_canonical_identity,cramers_v_for_binary,0.114,843
all_representatives,city,rich_claim_count,eta_squared_for_count_mean,0.136,843
all_representatives,city,social_arena_count,eta_squared_for_count_mean,0.055,843
all_representatives,city,tps_feature_has_count,eta_squared_for_count_mean,0.108,843
all_representatives,city,no_visible_social_arena,cramers_v_for_binary,0.3,843
all_representatives,city,sparse_canonical_identity,cramers_v_for_binary,0.198,843
all_representatives,format_group,rich_claim_count,eta_squared_for_count_mean,0.116,843
all_representatives,format_group,social_arena_count,eta_squared_for_count_mean,0.016,843
all_representatives,format_group,tps_feature_has_count,eta_squared_for_count_mean,0.078,843
all_representatives,format_group,no_visible_social_arena,cramers_v_for_binary,0.143,843
all_representatives,format_group,sparse_canonical_identity,cramers_v_for_binary,0.059,843
all_representatives,primary_subject_family,rich_claim_count,eta_squared_for_count_mean,0.115,843
all_representatives,primary_subject_family,social_arena_count,eta_squared_for_count_mean,0.068,843
all_representatives,primary_subject_family,tps_feature_has_count,eta_squared_for_count_mean,0.093,843
all_representatives,primary_subject_family,no_visible_social_arena,cramers_v_for_binary,0.242,843
all_representatives,primary_subject_family,sparse_canonical_identity,cramers_v_for_binary,0.226,843
metadata_elements,period,rich_claim_count,eta_squared_for_count_mean,0.042,286
metadata_elements,period,social_arena_count,eta_squared_for_count_mean,0.018,286
metadata_elements,period,tps_feature_has_count,eta_squared_for_count_mean,0.025,286
metadata_elements,period,no_visible_social_arena,cramers_v_for_binary,0.134,286
metadata_elements,period,sparse_canonical_identity,cramers_v_for_binary,0.214,286
metadata_elements,language,rich_claim_count,eta_squared_for_count_mean,0.132,286
metadata_elements,language,social_arena_count,eta_squared_for_count_mean,0.046,286
metadata_elements,language,tps_feature_has_count,eta_squared_for_count_mean,0.037,286
metadata_elements,language,no_visible_social_arena,cramers_v_for_binary,0.232,286
metadata_elements,language,sparse_canonical_identity,cramers_v_for_binary,0.148,286
metadata_elements,city,rich_claim_count,eta_squared_for_count_mean,0.072,286
metadata_elements,city,social_arena_count,eta_squared_for_count_mean,0.068,286
metadata_elements,city,tps_feature_has_count,eta_squared_for_count_mean,0.046,286
metadata_elements,city,no_visible_social_arena,cramers_v_for_binary,0.32,286
metadata_elements,city,sparse_canonical_identity,cramers_v_for_binary,0.276,286
metadata_elements,format_group,rich_claim_count,eta_squared_for_count_mean,0.059,286
metadata_elements,format_group,social_arena_count,eta_squared_for_count_mean,0.024,286
metadata_elements,format_group,tps_feature_has_count,eta_squared_for_count_mean,0.023,286
metadata_elements,format_group,no_visible_social_arena,cramers_v_for_binary,0.181,286
metadata_elements,format_group,sparse_canonical_identity,cramers_v_for_binary,0.187,286
metadata_elements,primary_subject_family,rich_claim_count,eta_squared_for_count_mean,0.013,286
metadata_elements,primary_subject_family,social_arena_count,eta_squared_for_count_mean,0.026,286
metadata_elements,primary_subject_family,tps_feature_has_count,eta_squared_for_count_mean,0.038,286
metadata_elements,primary_subject_family,no_visible_social_arena,cramers_v_for_binary,0.19,286
metadata_elements,primary_subject_family,sparse_canonical_identity,cramers_v_for_binary,0.083,286
non_elements,period,rich_claim_count,eta_squared_for_count_mean,0.075,557
non_elements,period,social_arena_count,eta_squared_for_count_mean,0.016,557
non_elements,period,tps_feature_has_count,eta_squared_for_count_mean,0.102,557
non_elements,period,no_visible_social_arena,cramers_v_for_binary,0.14,557
non_elements,period,sparse_canonical_identity,cramers_v_for_binary,0.125,557
non_elements,language,rich_claim_count,eta_squared_for_count_mean,0.068,557
non_elements,language,social_arena_count,eta_squared_for_count_mean,0.036,557
non_elements,language,tps_feature_has_count,eta_squared_for_count_mean,0.017,557
non_elements,language,no_visible_social_arena,cramers_v_for_binary,0.181,557
non_elements,language,sparse_canonical_identity,cramers_v_for_binary,0.151,557
non_elements,city,rich_claim_count,eta_squared_for_count_mean,0.134,557
non_elements,city,social_arena_count,eta_squared_for_count_mean,0.068,557
non_elements,city,tps_feature_has_count,eta_squared_for_count_mean,0.094,557
non_elements,city,no_visible_social_arena,cramers_v_for_binary,0.315,557
non_elements,city,sparse_canonical_identity,cramers_v_for_binary,0.199,557
non_elements,format_group,rich_claim_count,eta_squared_for_count_mean,0.026,557
non_elements,format_group,social_arena_count,eta_squared_for_count_mean,0.009,557
non_elements,format_group,tps_feature_has_count,eta_squared_for_count_mean,0.041,557
non_elements,format_group,no_visible_social_arena,cramers_v_for_binary,0.122,557
non_elements,format_group,sparse_canonical_identity,cramers_v_for_binary,0.076,557
non_elements,primary_subject_family,rich_claim_count,eta_squared_for_count_mean,0.109,557
non_elements,primary_subject_family,social_arena_count,eta_squared_for_count_mean,0.1,557
non_elements,primary_subject_family,tps_feature_has_count,eta_squared_for_count_mean,0.074,557
non_elements,primary_subject_family,no_visible_social_arena,cramers_v_for_binary,0.299,557
non_elements,primary_subject_family,sparse_canonical_identity,cramers_v_for_binary,0.302,557
