field,value,n,metadata_elements_pct,avg_rich_claim_count,avg_social_arena_count,avg_tps_feature_has_count,no_visible_social_pct,sparse_canonical_pct
city,Paris,283,24.4,2.16,1.06,8.22,49.1,4.9
city,London,68,29.4,3.82,0.79,9.31,64.7,2.9
city,Venice,40,32.5,1.82,0.52,7.9,65.0,10.0
city,Amsterdam,30,50.0,3.3,0.93,9.97,43.3,0.0
city,Rome,28,50.0,3.36,1.25,10.29,25.0,7.1
city,Leiden,27,22.2,2.48,1.0,8.56,55.6,7.4
city,Nuremberg,25,8.0,1.68,0.36,6.44,76.0,4.0
city,Lyon,23,43.5,2.35,0.74,8.65,56.5,8.7
city,Strasbourg,18,72.2,2.78,0.83,10.06,55.6,0.0
city,Bologna,15,40.0,3.4,0.93,10.67,60.0,13.3
city,Basel,14,57.1,3.64,0.36,11.43,71.4,14.3
city,Antwerp,13,30.8,1.92,1.31,8.92,46.2,0.0
city,Cologne,12,75.0,4.0,0.5,9.83,75.0,0.0
city,Frankfurt,12,33.3,1.83,1.08,7.83,41.7,8.3
city,The Hague,12,16.7,0.58,0.25,4.83,91.7,0.0
city,Augsburg,11,9.1,0.91,0.0,5.27,100.0,9.1
city,Oxford,9,44.4,3.22,1.44,9.89,33.3,11.1
city,Florence,8,37.5,1.88,0.88,8.12,62.5,0.0
city,Arnhem,7,42.9,4.0,0.29,10.43,71.4,0.0
city,Naples,7,57.1,2.14,0.29,7.43,85.7,28.6
city,Milan,6,33.3,0.67,0.67,7.33,50.0,16.7
city,Rotterdam,6,66.7,6.0,1.67,11.33,0.0,0.0
city,Cambridge,5,80.0,4.0,1.6,12.0,40.0,0.0
city,Leipzig,5,100.0,2.6,0.6,8.6,60.0,20.0
city,Padua,5,20.0,3.4,0.8,10.4,60.0,20.0
city,missing/unknown,5,20.0,0.0,0.0,1.2,100.0,0.0
format_group,missing/unknown,473,3.8,1.94,0.81,7.74,59.2,7.0
format_group,octavo,124,89.5,3.93,1.12,10.3,45.2,5.6
format_group,quarto,108,62.0,2.68,1.12,9.58,46.3,5.6
format_group,folio,94,57.4,2.55,0.79,9.35,59.6,4.3
format_group,duodecimo,38,78.9,3.66,0.82,10.21,39.5,7.9
format_group,6,5,100.0,2.8,0.2,9.6,80.0,20.0
language,LATIN,301,45.2,2.57,0.93,8.83,52.5,8.0
language,FRENCH,257,19.1,2.18,1.0,8.03,51.4,3.9
language,ENGLISH,67,29.9,3.9,0.94,9.33,58.2,3.0
language,ITALIAN,63,19.0,1.86,0.56,8.38,66.7,9.5
language,GERMAN,56,19.6,1.57,0.38,7.62,75.0,8.9
language,DUTCH,48,37.5,3.19,0.77,10.02,54.2,4.2
language,"GREEK, LATIN",16,100.0,3.0,0.81,10.81,62.5,0.0
language,SPANISH,12,50.0,2.33,1.58,10.75,33.3,16.7
period,1600-1649,322,23.0,2.28,0.89,8.2,54.0,3.4
period,1650-1699,202,40.6,2.92,0.96,9.72,50.0,7.9
period,1550-1599,180,30.6,2.19,0.9,8.65,57.2,6.1
period,pre-1550,80,40.0,1.69,0.48,6.44,72.5,11.2
period,1700+,55,72.7,4.11,1.15,10.58,45.5,10.9
