designation_type,books_1_13,books_1_6,books_1_6_plus_solids,mixed_or_other_books,near_complete_or_expanded,near_complete_or_expanded_enunciations,partial_from_book_1,selected_later_books,selected_later_books_enunciations,unknown_books
Elements language without Euclid,0,1,0,0,1,0,0,0,0,1
Euclid + Elements designation,3,7,6,0,38,6,1,6,0,4
Euclid + geometry designation,0,2,0,0,3,0,0,0,0,6
Euclid without Elements wording,1,3,10,1,10,0,1,5,1,9
Euclidean corpus beyond Elements,0,0,0,0,1,0,0,0,0,10
first-six-books Elements,0,57,12,0,1,0,3,1,0,2
geometry-only designation,0,0,0,0,1,0,1,0,0,5
missing/unclear designation,0,5,1,0,1,1,0,1,0,6
other designation,0,4,1,0,2,0,2,1,0,8
plane-plus-solid Elements,0,1,9,0,5,0,0,0,0,3
selected/later-book Elements,1,1,0,0,4,0,0,7,0,2
