classification_key,year,city,language,short_title,elements_books_group,elements_designation,base_content,designation_type
2L8L55,1719,Bologna,LATIN,"Sex priora Euclidis elementa, quibus accesserunt undecimum, & duodecimum",books_1_6,SEX PRIORA EUCLIDIS ELEMENTA,SEX PRIORA EUCLIDIS ELEMENTA,first-six-books Elements
473J72,1726,London,ENGLISH,"The Six First, Together with the Eleventh and the Twelfth Books of Euclid’s Elements, Demonstrated after a New, Plain, and Easie Method",books_1_6_plus_solids,"Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS","THE Six First, Together with the Eleventh and Twelfth Books OF EUCLID's ELEMENTS",first-six-books Elements
4ZSED7,1589,Leipzig,LATIN,"Pselli philosophi et mathematici clarissimi geometria edita studio M. Christophori meureri, mathematum professoris publici in academia Lipsiensi.",unknown_books,,,geometry-only designation
6XTAVU,1760,London,ENGLISH,Elements of Geometry,unknown_books,ELEMENTS OF GEOMETRY,ELEMENTS OF GEOMETRY,plane-plus-solid Elements
70Q8M8,1495,Paris,LATIN,Breve compendium artis geometrie,unknown_books,,,geometry-only designation
8DP4C1,1613,Bologna,ITALIAN,I primi sei libri de gl’Elementi d’Euclide ridotti alla Prattica,books_1_6,I primi sei libri de gl’Elementi d’Euclide,I primi sei libri de gl’Elementi d’Euclide,first-six-books Elements
Alcala_1637,1637,Alcala,"DUTCH, LATIN",,books_1_6,ELEMENTOS GEOMETRICOS DE EVCLIDES,ELEMENTOS GEOMETRICOS DE EVCLIDES,Euclid + Elements designation
Amsterdam_1616,1616,Amsterdam,DUTCH,,books_1_6,De ses eerste Boucken EVCLIDIS,De ses eerste Boucken EVCLIDIS,first-six-books Elements
Amsterdam_1618,1618,Amsterdam,GERMAN,,books_1_6,Die sechs ersten Bücher EVCLIDIS,Die sechs ersten Bücher EVCLIDIS,first-six-books Elements
Amsterdam_1626,1626,Amsterdam,DUTCH,,books_1_6,De ses eerste Boecken EVCLIDIS,De ses eerste Boecken EVCLIDIS,first-six-books Elements
