marker,group,count,denominator,share,scope
practical / utility,Jesuit-marked,7,25,0.28,all
practical / utility,Other Elements,15,261,0.05747126436781609,all
access / pedagogy,Jesuit-marked,8,25,0.32,all
access / pedagogy,Other Elements,37,261,0.1417624521072797,all
method / order,Jesuit-marked,18,25,0.72,all
method / order,Other Elements,102,261,0.39080459770114945,all
augmentation / composition,Jesuit-marked,12,25,0.48,all
augmentation / composition,Other Elements,105,261,0.40229885057471265,all
restoration / ancient authority,Jesuit-marked,21,25,0.84,all
restoration / ancient authority,Other Elements,217,261,0.8314176245210728,all
correction / revision,Jesuit-marked,12,25,0.48,all
correction / revision,Other Elements,54,261,0.20689655172413793,all
translation / transfer,Jesuit-marked,0,25,0.0,all
translation / transfer,Other Elements,75,261,0.28735632183908044,all
visual aids,Jesuit-marked,2,25,0.08,all
visual aids,Other Elements,43,261,0.16475095785440613,all
selection / abridgment,Jesuit-marked,2,25,0.08,all
selection / abridgment,Other Elements,49,261,0.18773946360153257,all
completeness / system,Jesuit-marked,8,25,0.32,all
completeness / system,Other Elements,40,261,0.1532567049808429,all
students / schools,Jesuit-marked,3,25,0.12,all
students / schools,Other Elements,7,261,0.02681992337164751,all
universities / colleges,Jesuit-marked,1,25,0.04,all
universities / colleges,Other Elements,4,261,0.01532567049808429,all
religious identity,Jesuit-marked,19,25,0.76,all
religious identity,Other Elements,1,261,0.0038314176245210726,all
royal / court patronage,Jesuit-marked,1,25,0.04,all
royal / court patronage,Other Elements,24,261,0.09195402298850575,all
institution mentioned,Jesuit-marked,25,25,1.0,all
institution mentioned,Other Elements,102,261,0.39080459770114945,all
