variable,group,category,count,denominator,share,scope
book coverage,Jesuit-marked,books_1_6_plus_solids,13,25,0.52,all
book coverage,Jesuit-marked,books_1_6,6,25,0.24,all
book coverage,Jesuit-marked,near_complete_or_expanded,3,25,0.12,all
book coverage,Jesuit-marked,unknown_books,2,25,0.08,all
book coverage,Jesuit-marked,near_complete_or_expanded_enunciations,1,25,0.04,all
book coverage,Other Elements,books_1_6,75,261,0.28735632183908044,all
book coverage,Other Elements,near_complete_or_expanded,64,261,0.24521072796934865,all
book coverage,Other Elements,unknown_books,54,261,0.20689655172413793,all
book coverage,Other Elements,books_1_6_plus_solids,26,261,0.09961685823754789,all
book coverage,Other Elements,selected_later_books,21,261,0.08045977011494253,all
book coverage,Other Elements,partial_from_book_1,8,261,0.03065134099616858,all
book coverage,Other Elements,near_complete_or_expanded_enunciations,6,261,0.022988505747126436,all
book coverage,Other Elements,books_1_13,5,261,0.019157088122605363,all
book coverage,Other Elements,mixed_or_other_books,1,261,0.0038314176245210726,all
book coverage,Other Elements,selected_later_books_enunciations,1,261,0.0038314176245210726,all
language,Jesuit-marked,LATIN,16,25,0.64,all
language,Jesuit-marked,FRENCH,5,25,0.2,all
language,Jesuit-marked,ENGLISH,3,25,0.12,all
language,Jesuit-marked,PORTUGUESE,1,25,0.04,all
language,Other Elements,LATIN,123,261,0.47126436781609193,all
language,Other Elements,FRENCH,48,261,0.1839080459770115,all
language,Other Elements,DUTCH,21,261,0.08045977011494253,all
language,Other Elements,ENGLISH,17,261,0.06513409961685823,all
language,Other Elements,GREEK,16,261,0.06130268199233716,all
language,Other Elements,GERMAN,13,261,0.04980842911877394,all
language,Other Elements,ITALIAN,12,261,0.04597701149425287,all
language,Other Elements,SPANISH,6,261,0.022988505747126436,all
language,Other Elements,CHINESE,2,261,0.007662835249042145,all
language,Other Elements,SWEDISH,2,261,0.007662835249042145,all
language,Other Elements,ARABIC,1,261,0.0038314176245210726,all
period,Jesuit-marked,1650-1699,16,25,0.64,all
period,Jesuit-marked,1700+,5,25,0.2,all
period,Jesuit-marked,1600-1649,4,25,0.16,all
period,Other Elements,1600-1649,71,261,0.2720306513409962,all
period,Other Elements,1650-1699,67,261,0.2567049808429119,all
period,Other Elements,1550-1599,55,261,0.210727969348659,all
period,Other Elements,1700+,35,261,0.13409961685823754,all
period,Other Elements,pre-1550,32,261,0.12260536398467432,all
period,Other Elements,unknown,1,261,0.0038314176245210726,all
city,Jesuit-marked,Paris,4,25,0.16,all
city,Jesuit-marked,Amsterdam,3,25,0.12,all
city,Jesuit-marked,Lyon,3,25,0.12,all
city,Jesuit-marked,Cambridge,2,25,0.08,all
city,Jesuit-marked,Cologne,2,25,0.08,all
city,Jesuit-marked,Frankfurt,2,25,0.08,all
city,Jesuit-marked,London,2,25,0.08,all
city,Jesuit-marked,Bamberg,1,25,0.04,all
city,Jesuit-marked,Graz,1,25,0.04,all
city,Jesuit-marked,Lisbon,1,25,0.04,all
city,Jesuit-marked,Oxford,1,25,0.04,all
city,Jesuit-marked,"Oxford, London",1,25,0.04,all
city,Jesuit-marked,Venice,1,25,0.04,all
city,Jesuit-marked,Würzburg,1,25,0.04,all
city,Other Elements,Paris,65,261,0.24904214559386972,all
city,Other Elements,London,18,261,0.06896551724137931,all
city,Other Elements,Rome,14,261,0.05363984674329502,all
city,Other Elements,Strasbourg,13,261,0.04980842911877394,all
city,Other Elements,Amsterdam,12,261,0.04597701149425287,all
city,Other Elements,Venice,12,261,0.04597701149425287,all
city,Other Elements,Basel,8,261,0.03065134099616858,all
city,Other Elements,Lyon,7,261,0.02681992337164751,all
city,Other Elements,Cologne,7,261,0.02681992337164751,all
city,Other Elements,Bologna,6,261,0.022988505747126436,all
city,Other Elements,Leiden,6,261,0.022988505747126436,all
city,Other Elements,Leipzig,5,261,0.019157088122605363,all
city,Other Elements,Naples,4,261,0.01532567049808429,all
city,Other Elements,Antwerp,4,261,0.01532567049808429,all
city,Other Elements,Rotterdam,4,261,0.01532567049808429,all
city,Other Elements,Oxford,3,261,0.011494252873563218,all
city,Other Elements,"Rouen, Paris",3,261,0.011494252873563218,all
city,Other Elements,Wittenberg,3,261,0.011494252873563218,all
city,Other Elements,Brussels,3,261,0.011494252873563218,all
city,Other Elements,Arnhem,3,261,0.011494252873563218,all
city,Other Elements,Uppsala,3,261,0.011494252873563218,all
city,Other Elements,Florence,3,261,0.011494252873563218,all
city,Other Elements,The Hague,2,261,0.007662835249042145,all
city,Other Elements,Rouen,2,261,0.007662835249042145,all
city,Other Elements,Madrid,2,261,0.007662835249042145,all
city,Other Elements,Pesaro,2,261,0.007662835249042145,all
city,Other Elements,Milan,2,261,0.007662835249042145,all
city,Other Elements,Beijing,2,261,0.007662835249042145,all
city,Other Elements,Nuremberg,2,261,0.007662835249042145,all
city,Other Elements,Vienna,2,261,0.007662835249042145,all
city,Other Elements,Hamburg,2,261,0.007662835249042145,all
city,Other Elements,Glasgow,2,261,0.007662835249042145,all
city,Other Elements,Frankfurt,2,261,0.007662835249042145,all
city,Other Elements,Douai,2,261,0.007662835249042145,all
city,Other Elements,Cambridge,2,261,0.007662835249042145,all
