period_25,city,count
1475-1499,Venice,4
1475-1499,Paris,1
1475-1499,Vicenza,1
1500-1524,Paris,6
1500-1524,Venice,4
1500-1524,Frankfurt,1
1525-1549,Paris,9
1525-1549,Basel,5
1525-1549,Rome,2
1525-1549,Leipzig,1
1525-1549,Strasbourg,1
1525-1549,Venice,1
1525-1549,Vienna,1
1550-1574,Paris,16
1550-1574,Strasbourg,11
1550-1574,Basel,5
1550-1574,Cologne,2
1550-1574,London,2
1550-1574,Venice,2
1550-1574,Augsburg,1
1550-1574,Florence,1
1550-1574,Lyon,1
1550-1574,Messina,1
1550-1574,Pesaro,1
1550-1574,Rome,1
1550-1574,Wittenberg,1
1575-1599,Rome,4
1575-1599,Cologne,3
1575-1599,Paris,3
1575-1599,Venice,3
1575-1599,Leipzig,2
1575-1599,Leiden,1
1575-1599,Madrid,1
1575-1599,Seville,1
1575-1599,Strasbourg,1
1575-1599,Urbino,1
1600-1624,Paris,12
1600-1624,Cologne,5
1600-1624,Arnhem,3
1600-1624,Leiden,3
1600-1624,Amsterdam,2
1600-1624,Beijing,2
1600-1624,Geneva,2
1600-1624,Pesaro,2
1600-1624,Rome,2
1600-1624,Ansbach,1
1600-1624,Bologna,1
1600-1624,Douai,1
1600-1624,Frankfurt,1
1600-1624,Ingolstadt,1
1600-1624,Leipzig,1
1600-1624,London,1
1600-1624,Lyon,1
1600-1624,Mainz,1
1600-1624,Rotterdam,1
1600-1624,Venice,1
1600-1624,Wittenberg,1
1625-1649,Paris,17
1625-1649,Amsterdam,2
1625-1649,Douai,2
1625-1649,Hamburg,2
1625-1649,Lyon,2
1625-1649,Rotterdam,2
1625-1649,Venice,2
1625-1649,Alcala,1
1625-1649,Antwerp,1
1625-1649,Beijing,1
1625-1649,Bologna,1
1625-1649,Cologne,1
1625-1649,Ferrara,1
1625-1649,Geneva,1
1625-1649,Graz,1
1625-1649,Nuremberg,1
1625-1649,Rome,1
1625-1649,Rouen,1
1625-1649,Uppsala,1
1625-1649,Utrecht,1
1625-1649,Wittenberg,1
1650-1674,London,5
1650-1674,Lyon,4
1650-1674,Paris,4
1650-1674,Amsterdam,3
1650-1674,Antwerp,3
1650-1674,Cambridge,3
1650-1674,Bologna,2
1650-1674,Frankfurt,2
1650-1674,Rome,2
1650-1674,,1
1650-1674,Le Mans,1
1650-1674,"Leiden, Amsterdam",1
1650-1674,Leuven,1
1650-1674,Madrid,1
1650-1674,Milan,1
1650-1674,Pisa,1
1650-1674,Rotterdam,1
1650-1674,Wittenberg,1
1650-1674,Würzburg,1
1675-1699,Paris,9
1675-1699,London,7
1675-1699,Amsterdam,3
1675-1699,"Rouen, Paris",3
1675-1699,Bologna,2
1675-1699,Brussels,2
1675-1699,Leiden,2
1675-1699,Lyon,2
1675-1699,Rome,2
1675-1699,Bamberg,1
1675-1699,Florence,1
1675-1699,"Hamburg, Leipzig",1
1675-1699,"Kiel, Leipzig",1
1675-1699,Lausanne,1
1675-1699,"Lübeck, Frankfurt",1
1675-1699,Naples,1
1675-1699,Osnabrück,1
1675-1699,Oxford,1
1675-1699,Padua,1
1675-1699,Rotterdam,1
1675-1699,Rouen,1
1675-1699,Siena,1
1675-1699,The Hague,1
1675-1699,Vienna,1
1700-1724,Amsterdam,5
1700-1724,Oxford,4
1700-1724,London,2
1700-1724,Naples,2
1700-1724,Bologna,1
1700-1724,Brussels,1
1700-1724,Cambridge,1
1700-1724,Livorno,1
1700-1724,Milan,1
1700-1724,"Oxford, London",1
1725-1749,London,2
1725-1749,Uppsala,2
1725-1749,Florence,1
1725-1749,Lisbon,1
1725-1749,Paris,1
1750-1774,Glasgow,2
1750-1774,Göttingen,1
1750-1774,Halle,1
1750-1774,London,1
1750-1774,The Hague,1
1775-1799,Paris,2
1775-1799,Edinburgh,1
1775-1799,London,1
1800-1824,Naples,2
1800-1824,Berlin,1
1800-1824,"Halle, Berlin",1
1800-1824,Nuremberg,1
1800-1824,Paris,1
1850-1874,Lund,1
1875-1899,Leipzig,1
missing,Utrecht,1
