elements_books,additional_content,wardhaugh_classification,key,short_title,short_title_source,year,city,language,author_or_editor,publisher,format,volumes,ustc_id,notes,has_diagrams,year_num,city_clean,language_clean,period_25
"1–6, 11–12",,CLAVIUS,London_1685a,,,1685,London,ENGLISH,"Claude-François Milliet Dechales, Reeve Williams",Philip Lea,12.0,1.0,,,,1685.0,London,ENGLISH,1675-1699
"1–6, 11–12",,CLAVIUS,London_1703,,,1703,London,ENGLISH,"Claude-François Milliet Dechales, Reeve Williams",A. Lea,12.0,1.0,-,,,1703.0,London,ENGLISH,1700-1724
,,ZAMBERTI/GRYNAEUS (THEON),Leipzig_1577,EUCLIDIS ELEMENTORUM GEOMETRICORUM LIBRI SEX conuersi in latinum sermonem à Ioach,Specified in source,1577,Leipzig,LATIN,"Joachim Kammermeister, Moritz Valentin Steinmetz",Johannes Steinman,8.0,1.0,,,,1577.0,Leipzig,LATIN,1575-1599
1,,MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1570,EVCLIDIS ELEMENTorum Liber primus,Specified in source,1570,Strasbourg,"GREEK, LATIN",Conrad Dasypodius,Konrad Dasypodius,8.0,1.0,,,,1570.0,Strasbourg,GREEK | LATIN,1550-1574
1 (enunciations),,MAGNIENUS/GRACILIS and DASYPODIUS,Strasbourg_1599,,,1599,Strasbourg,LATIN,Conrad Dasypodius (?),Rihelij,8.0,1.0,-,,,1599.0,Strasbourg,LATIN,1575-1599
1-13,,CLAVIUS,Wittenberg_1609,Euclidis elementorum libri XIII,Specified in source,1609,Wittenberg,LATIN,Ambrosius Rhode,Paul Helwig,8.0,1.0,,,,1609.0,Wittenberg,LATIN,1600-1624
1-13,,CLAVIUS,Wittenberg_1634,Euclidis elementorum libri XIII,Specified in source,1634,Wittenberg,LATIN,Ambrosius Rhode,Heirs of Paul Helwig,8.0,1.0,-,,,1634.0,Wittenberg,LATIN,1625-1649
1–13,,CLAVIUS,Wittenberg_1661,"Euclidis Elementorum Libri XIII., Succinctis & perspicuis demonstrationibus comprehensi a D. Ambrosio Rhodio Kembergensi, Mathematum Super: Professore publico in Academia Leucorea: Editio novissima, priore Correctior & Emendatior",Provided by catalog,1661,Wittenberg,LATIN,Ambrosius Rhode,Jobi Wilh. Fincelij,8.0,1.0,2589624,,,1661.0,Wittenberg,LATIN,1650-1674
1-6,,ZAMBERTI/GRYNAEUS (THEON),Basel_1550,Euclidis Megarensis philosophi et mathematici excellentissimi sex libri priores de geometricis principiis,Specified in source,1550,Basel,LATIN,Johannes Scheubel,Johann Herwagen,2.0,1.0,,"Author's name also written ""Johann Scheybl"".",,1550.0,Basel,LATIN,1550-1574
"1–6, 11–12",,CLAVIUS,Florence_1690,"Elementi piani, e solidi agl'illustrissimi sig. dell'Accademia de' nobili",Provided by catalog,1690,Florence,ITALIAN,Vincenzio Viviani,Cesare e Francesco Bindi,12.0,1.0,1720908,,,1690.0,Florence,ITALIAN,1675-1699
1–6,,MAGNIENUS/GRACILIS and DASYPODIUS,Bologna_1686,,,1686,Bologna,ITALIAN,Giovanni Ricci,Giuseppe Longhi,8.0,1.0,,,,1686.0,Bologna,ITALIAN,1675-1699
"1–6, 11–12",,TACQUET,Brussels_1688,,,1688,Brussels,SPANISH,Sebastián Fernández de Medrano,Lamberto Marchant,8.0,1.0,-,,,1688.0,Brussels,SPANISH,1675-1699
1–15,,,Paris_1609,"Les Elémens de la géométrie d'Euclides, traduicts et restitués à leur ancienne bréveté, selon l'ordre de Théon, ausquels ont esté adjoustez les quatorze et quinziesme d'Ipsicles, le tout par Dounot,",Provided by catalog,1609,Paris,FRENCH,Didier Dounot,Jacques Le Roy,,,6026094,,,1609.0,Paris,FRENCH,1600-1624
1-15,,MAGNIENUS/GRACILIS and DASYPODIUS,Paris_1610,Les éléments de la géométrie d’Euclide Mégarien,Specified in source,1610,Paris,FRENCH,Didier Dounot,Jacques Le Roy,4.0,1.0,,,,1610.0,Paris,FRENCH,1600-1624
1–6,,TACQUET,Kiel_and_Leipzig_1699,,,1699,"Kiel, Leipzig",GERMAN,Samuel Reyher,Joachim Reumann,4.0,1.0,-,,,1699.0,"Kiel, Leipzig",GERMAN,1675-1699
1–14,,CLAVIUS,Lyon_1690,,,1690,Lyon,LATIN,"Claude-François Milliet Dechales, Amatus Varcin","Anisson, Jean Possuel, and Claude Rigaud",4.0,4.0,-,,,1690.0,Lyon,LATIN,1675-1699
