language,count,earliest_year,latest_year,cities,authors_editors
LATIN,185,1482.0,1883.0,"Alcala | Amsterdam | Ansbach | Antwerp | Arnhem | Bamberg | Basel | Berlin | Bologna | Cambridge | Cologne | Douai | Ferrara | Frankfurt | Geneva | Glasgow | Graz | Ingolstadt | Leiden | Leiden, Amsterdam | Leipzig | Leuven | Livorno | London | Lyon | Mainz | Messina | Naples | Osnabrück | Oxford | Padua | Paris | Pesaro | Pisa | Rome | Siena | Strasbourg | Uppsala | Venice | Vicenza | Vienna | Wittenberg | Würzburg","Albrecht Dürer, Joachim Camerarius | Ambrosius Lacher | Ambrosius Rhode | André Tacquet | André Tacquet, William Whiston | Angelo Caiani | Angelo Marchetti | Antonio Possevino | Bartolomeo Zamberti | Caterino Doino | Charles Malapert de Mons | Christian Herlin | Christian Melder | Christoffer Dybvad | Christoph Meurer | Christopher Clavius | Christopher Clavius, Christoph Grienberger | Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus | Claude Hardy | Claude Richard | Claude-François Milliet Dechales | Claude-François Milliet Dechales, Amatus Varcin | Conrad Dasypodius | Conrad Dasypodius (?) | Conrad Dasypodius, Christian Herlin | D. Joanni Franciso Polo | David Gregory | Elias Astorinus | Erhard Ratdolt | Federico Commandino | Federico Commandino, Valerio Spacciuoli | Florimond du Puy | Francesco Maurolico | François Peyrard | François de Foix-Candale | Gaspar Schott | Geminiano Rondelli | Georges Fournier | Gilles François Gottignies | Giorgio Valla | Giovanni Alfonso Borelli | Guiseppe Auria | Henrick Coets | Henry Briggs | Honoré Fabri | Isaac Barrow | Jacques Lefèvre d'Étaples | Jacques Ozanam | Jacques Peletier | Jan Pietersz Dou, Sebastian Curtius | Jean Magnien, Étienne Gracile | Jean de la Pène | Joachim Kammermeister, Georg Joachim Rhäticus | Joachim Kammermeister, Moritz Valentin Steinmetz | Joannes Sthen | Johan Ludvig Heiberg, Heinrich Menge | Johann Lanz | Johann Wilhelm von Camerer, Karl Friedrich Hauber | Johannes Scheubel | Johannes Vögelin, Johann Alexander Brassicanus | Johannes de Sacrobosco | John Keill | Josias Rihel (?) | Leonardo Achati | Leonardo Fioravanti | Luca Pacioli | Luis Carducci | Marcus Meibom | Marin Mersenne | Marin Mersenne (?) | Marinus Neapolitanus | Martinus Erici Gestrinius | Michael, Joachim Tancke, Philipp Melanchthon | Nasir al-Din al-Tusi | Niccolò Tartaglia | Oronce Finé | Pierre Hérigone | Pierre Le Mardelé | Pierre de Montdoré | Pierre de la Ramée | Porpora | Robert Simson | Samuel Klingenstierna | Simon Grynaeus | Simon Marius | Thomas Bradwardine, Pedro Ciruelo | Valentin Naboth | Étienne Gracile"
FRENCH,60,1560.0,1814.0,"Amsterdam | Geneva | Lausanne | Le Mans | Lyon | Paris | Rotterdam | Rouen | Rouen, Paris | The Hague","A. Kuypers, Johann Samuel König | Abbé Deidier | Adrien-Marie Legendre | Antoine Arnauld | Bernard Lamy | Claude-François Milliet Dechales | Denis Henrion | Didier Dounot | François Peyrard | Gemma Frisius, Pierre Forcadel | Georges Fournier | Honorat de Meynier | Jacques Ozanam | Jacques Peletier, Jean de Tournes | Jacques Rohault | Jacques Rohault, Claude Clerselier | Jacques-Alexandre Le Tenneur | Jean Errard | Jean Prestet | Pierre Bourdín | Pierre Forcadel | Pierre Hérigone | Pierre Le Mardelé | Roland Fréart | Simon Stevin"
DUTCH,22,1546.0,1702.0,Alcala | Amsterdam | Basel | Hamburg | Leiden | Rotterdam | Utrecht,Claas Janszen Vooght | Frans van Schooten | Henrick Coets | Jacob Willemsz | Jan Pietersz Dou | Luis Carducci | Nienrode
ENGLISH,21,1551.0,1795.0,"Edinburgh | Glasgow | London | Oxford | Oxford, London","Claude-François Milliet Dechales | Claude-François Milliet Dechales, Reeve Williams | Edmund Scarburgh | Henry Billingsley, John Dee | Henry Hill | Isaac Barrow | John Bonnycastle | John Leeke, George Serle | John Playfair | Jonas Moore | Robert Recorde | Robert Simson | Thomas Rudd | Thomas Simpson"
GREEK,19,1533.0,1883.0,Basel | Berlin | Leipzig | London | Oxford | Paris | Rome | Strasbourg | Wittenberg,"Angelo Caiani | Claude Hardy | Conrad Dasypodius | Conrad Dasypodius, Christian Herlin | David Gregory | François Peyrard | Henry Briggs | Jean de la Pène | Joannes Sthen | Johan Ludvig Heiberg, Heinrich Menge | Johann Wilhelm von Camerer, Karl Friedrich Hauber | Josias Rihel (?) | Oronce Finé | Simon Grynaeus"
ITALIAN,15,1543.0,1814.0,Bologna | Florence | Milan | Naples | Pesaro | Rome | Urbino | Venice,"Federico Commandino, Valerio Spacciuoli | Giovanni Ricci | Guido Grandi | Ignazio Danti | Niccolò Tartaglia | Pietro Antonio Cataldi | Pietro Paolo Caravaggi | Vincenzio Viviani | Vincenzo Flauti | Vitale Giordano da Bitonto"
GERMAN,14,1555.0,1821.0,"Amsterdam | Ansbach | Augsburg | Basel | Göttingen | Halle | Halle, Berlin | Hamburg, Leipzig | Kiel, Leipzig | Lübeck, Frankfurt | Nuremberg | Vienna","Abraham Gotthelf Kästner | Anton Ernst Burckhard von Pirckenstein | Jan Pietersz Dou, Sebastian Curtius | Johann Friedrich Lorenz | Johann Wolfgang Müller | Johannes Scheubel | Lucas Brunn | Samuel Reyher | Simon Marius | Wilhelm Xylander"
SPANISH,6,1576.0,1701.0,Brussels | Madrid | Seville,"Antonio de Nájera, Juan de la Rocha | Jacobo Kresa | Pedro Ambrosio Ondériz | Rodorigo de Zamorano | Sebastián Fernández de Medrano"
CHINESE,3,1607.0,1629.0,Beijing,"Xu Guangqi, Matteo Ricci | Xu Guangqi, Matteo Ricci, Li Zhizao"
SWEDISH,2,1744.0,1855.0,Lund | Uppsala,Abraham Rundbäck | Mårten Strömer
