author_or_editor,elements_item_count,earliest_year,latest_year,city_count,cities,language_count,languages,items
Claude-François Milliet Dechales,13,1660,1700,7,"Amsterdam | Lausanne | London | Lyon | Oxford | Oxford, London | Paris",3,ENGLISH | FRENCH | LATIN,Paris_1683 | Paris_1690 | Paris_1677a | Lyon_1672 | Paris_1682 | Amsterdam_1700 | Lyon_1660 | Lyon_1675 | Lyon_1674 | Oxford_1685 | London_1696 | Oxford_London_1700 | Lausanne_1683
Jan Pietersz Dou,11,1606,1701,4,Amsterdam | Leiden | Rotterdam | Utrecht,1,DUTCH,Rotterdam_1661 | Amsterdam_1700b | Amsterdam_1701 | Leiden_1606 | Leiden_1607 | Amsterdam_1616 | Amsterdam_1626 | Rotterdam_1632 | Rotterdam_1647 | Utrecht_1647 | Rotterdam_1681
Denis Henrion,11,1615,1685,3,"Paris | Rouen | Rouen, Paris",1,FRENCH,Paris_1615 | Paris_1621 | Paris_1623 | Paris_1630 | Paris_1631 | Paris_1632 | Rouen_1649 | Rouen_1676 | Rouen_and_Paris_1677 | Rouen_and_Paris_1683 | Rouen_and_Paris_1685
Isaac Barrow,10,1655,1705,3,Cambridge | London | Osnabrück,2,ENGLISH | LATIN,Cambridge_1655 | London_1659 | Osnabrück_1676 | London_1678 | London_1685 | London_1687 | London_1686 | London_1660 | London_1705 | Cambridge_1657
"Jean Magnien, Étienne Gracile",10,1557,1627,2,Cologne | Paris,1,LATIN,Cologne_1607 | Cologne_1627 | Paris_1557 | Paris_1558 | Cologne_1564 | Paris_1573 | Cologne_1580 | Cologne_1587 | Paris_1598 | Cologne_1600
Conrad Dasypodius,9,1557,1572,1,Strasbourg,2,GREEK | LATIN,Strasbourg_1570 | Strasbourg_1564 | Strasbourg_1564b | Strasbourg_1564a | Strasbourg_1570a | Strasbourg_1571 | Strasbourg_1571a | Strasbourg_1557 | Strasbourg_1572
Johannes de Sacrobosco,9,1500,1538,1,Paris,1,LATIN,Paris_1500 | Paris_1507 | Paris_1511 | Paris_1516a | Paris_1521 | Paris_1527 | Paris_1531 | Paris_1534 | Paris_1538
André Tacquet,7,1654,1701,4,Amsterdam | Antwerp | Leuven | Padua,1,LATIN,Amsterdam_1683 | Amsterdam_1701b | Antwerp_1654 | Antwerp_1672 | Padua_1694 | Antwerp_1665 | WWE4ON
Christopher Clavius,7,1574,1654,4,Cologne | Frankfurt | Mainz | Rome,1,LATIN,Rome_1574 | Rome_1589 | Cologne_1591 | Rome_1603 | Frankfurt_1654 | Frankfurt_1607 | Mainz_1611_1612
Georges Fournier,6,1643,1665,3,Cambridge | London | Paris,2,FRENCH | LATIN,Paris_1654a | Paris_1643b | Paris_1644a | Paris_1654 | London_1654 | Cambridge_1665
