city,language,count,earliest_year,latest_year
Paris,LATIN,42,1495.0,1697.0
Paris,FRENCH,39,1560.0,1697.0
Venice,LATIN,16,1482.0,1647.0
Strasbourg,LATIN,13,1538.0,1599.0
Rome,LATIN,12,1545.0,1695.0
Cologne,LATIN,11,1556.0,1627.0
London,ENGLISH,11,1551.0,1705.0
Basel,LATIN,9,1533.0,1570.0
Amsterdam,DUTCH,8,1616.0,1702.0
Strasbourg,GREEK,8,1538.0,1570.0
Lyon,LATIN,7,1557.0,1690.0
London,LATIN,6,1620.0,1687.0
Amsterdam,LATIN,4,1634.0,1701.0
Antwerp,LATIN,4,1645.0,1672.0
Bologna,ITALIAN,4,1613.0,1686.0
Cambridge,LATIN,4,1655.0,1703.0
Frankfurt,LATIN,4,1506.0,1674.0
Leipzig,LATIN,4,1549.0,1607.0
Rotterdam,DUTCH,4,1632.0,1681.0
Wittenberg,LATIN,4,1564.0,1661.0
Arnhem,LATIN,3,1603.0,1605.0
Beijing,CHINESE,3,1607.0,1629.0
Brussels,SPANISH,3,1688.0,1701.0
Douai,LATIN,3,1620.0,1633.0
Leiden,DUTCH,3,1606.0,1617.0
Leiden,LATIN,3,1599.0,1692.0
Lyon,FRENCH,3,1645.0,1672.0
Naples,LATIN,3,1679.0,1702.0
Oxford,ENGLISH,3,1685.0,1705.0
Paris,GREEK,3,1536.0,1625.0
"Rouen, Paris",FRENCH,3,1677.0,1685.0
Amsterdam,FRENCH,2,1697.0,1700.0
Amsterdam,GERMAN,2,1618.0,1634.0
Basel,DUTCH,2,1546.0,1570.0
Bologna,LATIN,2,1629.0,1684.0
Florence,ITALIAN,2,1573.0,1690.0
Geneva,FRENCH,2,1611.0,1628.0
Hamburg,DUTCH,2,1633.0,1638.0
Madrid,SPANISH,2,1585.0,1665.0
Milan,ITALIAN,2,1671.0,1702.0
Oxford,LATIN,2,1701.0,1703.0
Pesaro,LATIN,2,1572.0,1619.0
Rouen,FRENCH,2,1649.0,1676.0
,LATIN,1,1650.0,1650.0
Alcala,DUTCH,1,1637.0,1637.0
Alcala,LATIN,1,1637.0,1637.0
Ansbach,GERMAN,1,1610.0,1610.0
Ansbach,LATIN,1,1610.0,1610.0
Augsburg,GERMAN,1,1555.0,1555.0
Bamberg,LATIN,1,1677.0,1677.0
Basel,GERMAN,1,1562.0,1562.0
Basel,GREEK,1,1533.0,1533.0
Ferrara,LATIN,1,1628.0,1628.0
Geneva,LATIN,1,1610.0,1610.0
Graz,LATIN,1,1636.0,1636.0
"Hamburg, Leipzig",GERMAN,1,1697.0,1697.0
Ingolstadt,LATIN,1,1617.0,1617.0
"Kiel, Leipzig",GERMAN,1,1699.0,1699.0
Lausanne,FRENCH,1,1683.0,1683.0
Le Mans,FRENCH,1,1663.0,1663.0
"Leiden, Amsterdam",LATIN,1,1673.0,1673.0
Leuven,LATIN,1,1656.0,1656.0
London,GREEK,1,1620.0,1620.0
"Lübeck, Frankfurt",GERMAN,1,1699.0,1699.0
Mainz,LATIN,1,1611.0,1611.0
Messina,LATIN,1,1558.0,1558.0
Nuremberg,GERMAN,1,1625.0,1625.0
Osnabrück,LATIN,1,1676.0,1676.0
Oxford,GREEK,1,1703.0,1703.0
"Oxford, London",ENGLISH,1,1700.0,1700.0
Padua,LATIN,1,1694.0,1694.0
Pesaro,ITALIAN,1,1619.0,1619.0
Pisa,LATIN,1,1658.0,1658.0
Rome,ARABIC,1,1594.0,1594.0
Rome,GREEK,1,1545.0,1545.0
Rome,ITALIAN,1,1680.0,1680.0
Rotterdam,FRENCH,1,1618.0,1618.0
Seville,SPANISH,1,1576.0,1576.0
Siena,LATIN,1,1691.0,1691.0
The Hague,FRENCH,1,1690.0,1690.0
Uppsala,LATIN,1,1642.0,1642.0
Urbino,ITALIAN,1,1575.0,1575.0
Utrecht,DUTCH,1,1647.0,1647.0
Venice,ITALIAN,1,1543.0,1543.0
Vicenza,LATIN,1,1491.0,1491.0
Vienna,GERMAN,1,1694.0,1694.0
Vienna,LATIN,1,1528.0,1528.0
Wittenberg,GREEK,1,1564.0,1564.0
Würzburg,LATIN,1,1661.0,1661.0
