variable,comparison_group,category,count,denominator,share
subject family,Elements: Jesuit-marked,Geometry/Theory,12,24,0.5
subject family,Elements: Jesuit-marked,No primary family,11,24,0.4583333333333333
subject family,Elements: Jesuit-marked,Geometry/Theory | Arithmetic/Commerce,1,24,0.041666666666666664
subject family,Elements: other,Geometry/Theory,127,235,0.5404255319148936
subject family,Elements: other,No primary family,72,235,0.30638297872340425
subject family,Elements: other,Cosmos/Earth,6,235,0.02553191489361702
subject family,Elements: other,Geometry/Theory | Cosmos/Earth,6,235,0.02553191489361702
subject family,Elements: other,Geometry/Theory | Arithmetic/Commerce,4,235,0.01702127659574468
subject family,Elements: other,Arithmetic/Commerce,3,235,0.01276595744680851
subject family,Elements: other,Visual/Spatial Arts,3,235,0.01276595744680851
subject family,Elements: other,Music,3,235,0.01276595744680851
subject family,Elements: other,Geometry/Theory | Visual/Spatial Arts,2,235,0.00851063829787234
subject family,Elements: other,Arithmetic/Commerce | Music,1,235,0.00425531914893617
subject family,Elements: other,Geometry/Theory | Arithmetic/Commerce | Music,1,235,0.00425531914893617
subject family,Elements: other,Geometry/Theory | Instruments/Measurement,1,235,0.00425531914893617
subject family,Elements: other,Geometry/Theory | Visual/Spatial Arts | Instruments/Measurement,1,235,0.00425531914893617
subject family,Elements: other,Geometry/Theory | Arithmetic/Commerce | Visual/Spatial Arts | Cosmos/Earth | Applied Mechanics/Military,1,235,0.00425531914893617
subject family,Elements: other,Geometry/Theory | Instruments/Measurement | Cosmos/Earth,1,235,0.00425531914893617
subject family,Elements: other,Instruments/Measurement | Cosmos/Earth,1,235,0.00425531914893617
subject family,Elements: other,Applied Mechanics/Military,1,235,0.00425531914893617
subject family,Elements: other,Visual/Spatial Arts | Cosmos/Earth | Music,1,235,0.00425531914893617
subject family,Non-Elements: Jesuit-marked,Visual/Spatial Arts,3,17,0.17647058823529413
subject family,Non-Elements: Jesuit-marked,Applied Mechanics/Military,2,17,0.11764705882352941
subject family,Non-Elements: Jesuit-marked,Geometry/Theory,2,17,0.11764705882352941
subject family,Non-Elements: Jesuit-marked,Geometry/Theory | Arithmetic/Commerce | Music,2,17,0.11764705882352941
subject family,Non-Elements: Jesuit-marked,Instruments/Measurement,2,17,0.11764705882352941
subject family,Non-Elements: Jesuit-marked,Music,1,17,0.058823529411764705
subject family,Non-Elements: Jesuit-marked,Cosmos/Earth,1,17,0.058823529411764705
subject family,Non-Elements: Jesuit-marked,Visual/Spatial Arts | Applied Mechanics/Military,1,17,0.058823529411764705
subject family,Non-Elements: Jesuit-marked,Arithmetic/Commerce | Instruments/Measurement,1,17,0.058823529411764705
subject family,Non-Elements: Jesuit-marked,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth,1,17,0.058823529411764705
subject family,Non-Elements: Jesuit-marked,No primary family,1,17,0.058823529411764705
subject family,Non-Elements: other,Geometry/Theory,128,533,0.2401500938086304
subject family,Non-Elements: other,No primary family,71,533,0.13320825515947468
subject family,Non-Elements: other,Arithmetic/Commerce,68,533,0.1275797373358349
subject family,Non-Elements: other,Visual/Spatial Arts,57,533,0.10694183864915573
subject family,Non-Elements: other,Geometry/Theory | Instruments/Measurement,37,533,0.06941838649155722
subject family,Non-Elements: other,Cosmos/Earth,27,533,0.05065666041275797
subject family,Non-Elements: other,Applied Mechanics/Military,18,533,0.03377110694183865
subject family,Non-Elements: other,Geometry/Theory | Arithmetic/Commerce,16,533,0.0300187617260788
subject family,Non-Elements: other,Geometry/Theory | Visual/Spatial Arts,11,533,0.020637898686679174
subject family,Non-Elements: other,Instruments/Measurement,11,533,0.020637898686679174
subject family,Non-Elements: other,Visual/Spatial Arts | Applied Mechanics/Military,10,533,0.01876172607879925
