marker,group,count,denominator,share,scope
practical / utility,Jesuit-marked,7,24,0.2916666666666667,to_1705
practical / utility,Other Elements,12,235,0.05106382978723404,to_1705
access / pedagogy,Jesuit-marked,8,24,0.3333333333333333,to_1705
access / pedagogy,Other Elements,33,235,0.14042553191489363,to_1705
method / order,Jesuit-marked,17,24,0.7083333333333334,to_1705
method / order,Other Elements,95,235,0.40425531914893614,to_1705
augmentation / composition,Jesuit-marked,12,24,0.5,to_1705
augmentation / composition,Other Elements,94,235,0.4,to_1705
restoration / ancient authority,Jesuit-marked,20,24,0.8333333333333334,to_1705
restoration / ancient authority,Other Elements,196,235,0.8340425531914893,to_1705
correction / revision,Jesuit-marked,12,24,0.5,to_1705
correction / revision,Other Elements,50,235,0.2127659574468085,to_1705
translation / transfer,Jesuit-marked,0,24,0.0,to_1705
translation / transfer,Other Elements,72,235,0.30638297872340425,to_1705
visual aids,Jesuit-marked,2,24,0.08333333333333333,to_1705
visual aids,Other Elements,40,235,0.1702127659574468,to_1705
selection / abridgment,Jesuit-marked,2,24,0.08333333333333333,to_1705
selection / abridgment,Other Elements,40,235,0.1702127659574468,to_1705
completeness / system,Jesuit-marked,8,24,0.3333333333333333,to_1705
completeness / system,Other Elements,35,235,0.14893617021276595,to_1705
students / schools,Jesuit-marked,3,24,0.125,to_1705
students / schools,Other Elements,6,235,0.02553191489361702,to_1705
universities / colleges,Jesuit-marked,0,24,0.0,to_1705
universities / colleges,Other Elements,3,235,0.01276595744680851,to_1705
religious identity,Jesuit-marked,19,24,0.7916666666666666,to_1705
religious identity,Other Elements,1,235,0.00425531914893617,to_1705
royal / court patronage,Jesuit-marked,1,24,0.041666666666666664,to_1705
royal / court patronage,Other Elements,19,235,0.08085106382978724,to_1705
institution mentioned,Jesuit-marked,24,24,1.0,to_1705
institution mentioned,Other Elements,85,235,0.3617021276595745,to_1705
