variable,group,category,count,denominator,share,scope
book coverage,Jesuit-marked,books_1_6_plus_solids,13,24,0.5416666666666666,to_1705
book coverage,Jesuit-marked,books_1_6,6,24,0.25,to_1705
book coverage,Jesuit-marked,near_complete_or_expanded,3,24,0.125,to_1705
book coverage,Jesuit-marked,near_complete_or_expanded_enunciations,1,24,0.041666666666666664,to_1705
book coverage,Jesuit-marked,unknown_books,1,24,0.041666666666666664,to_1705
book coverage,Other Elements,books_1_6,66,235,0.28085106382978725,to_1705
book coverage,Other Elements,near_complete_or_expanded,62,235,0.26382978723404255,to_1705
book coverage,Other Elements,unknown_books,51,235,0.2170212765957447,to_1705
book coverage,Other Elements,books_1_6_plus_solids,19,235,0.08085106382978724,to_1705
book coverage,Other Elements,selected_later_books,19,235,0.08085106382978724,to_1705
book coverage,Other Elements,near_complete_or_expanded_enunciations,6,235,0.02553191489361702,to_1705
book coverage,Other Elements,partial_from_book_1,6,235,0.02553191489361702,to_1705
book coverage,Other Elements,books_1_13,4,235,0.01702127659574468,to_1705
book coverage,Other Elements,mixed_or_other_books,1,235,0.00425531914893617,to_1705
book coverage,Other Elements,selected_later_books_enunciations,1,235,0.00425531914893617,to_1705
language,Jesuit-marked,LATIN,16,24,0.6666666666666666,to_1705
language,Jesuit-marked,FRENCH,5,24,0.20833333333333334,to_1705
language,Jesuit-marked,ENGLISH,3,24,0.125,to_1705
language,Other Elements,LATIN,117,235,0.4978723404255319,to_1705
language,Other Elements,FRENCH,45,235,0.19148936170212766,to_1705
language,Other Elements,DUTCH,20,235,0.0851063829787234,to_1705
language,Other Elements,GREEK,14,235,0.059574468085106386,to_1705
language,Other Elements,ITALIAN,10,235,0.0425531914893617,to_1705
language,Other Elements,GERMAN,10,235,0.0425531914893617,to_1705
language,Other Elements,ENGLISH,10,235,0.0425531914893617,to_1705
language,Other Elements,SPANISH,6,235,0.02553191489361702,to_1705
language,Other Elements,CHINESE,2,235,0.00851063829787234,to_1705
language,Other Elements,ARABIC,1,235,0.00425531914893617,to_1705
period,Jesuit-marked,1650-1699,16,24,0.6666666666666666,to_1705
period,Jesuit-marked,1700+,4,24,0.16666666666666666,to_1705
period,Jesuit-marked,1600-1649,4,24,0.16666666666666666,to_1705
period,Other Elements,1600-1649,70,235,0.2978723404255319,to_1705
period,Other Elements,1650-1699,66,235,0.28085106382978725,to_1705
period,Other Elements,1550-1599,55,235,0.23404255319148937,to_1705
period,Other Elements,pre-1550,32,235,0.13617021276595745,to_1705
period,Other Elements,1700+,12,235,0.05106382978723404,to_1705
city,Jesuit-marked,Paris,4,24,0.16666666666666666,to_1705
city,Jesuit-marked,Amsterdam,3,24,0.125,to_1705
city,Jesuit-marked,Lyon,3,24,0.125,to_1705
city,Jesuit-marked,Cambridge,2,24,0.08333333333333333,to_1705
city,Jesuit-marked,Cologne,2,24,0.08333333333333333,to_1705
city,Jesuit-marked,Frankfurt,2,24,0.08333333333333333,to_1705
city,Jesuit-marked,London,2,24,0.08333333333333333,to_1705
city,Jesuit-marked,Bamberg,1,24,0.041666666666666664,to_1705
city,Jesuit-marked,Graz,1,24,0.041666666666666664,to_1705
city,Jesuit-marked,Oxford,1,24,0.041666666666666664,to_1705
city,Jesuit-marked,"Oxford, London",1,24,0.041666666666666664,to_1705
city,Jesuit-marked,Venice,1,24,0.041666666666666664,to_1705
city,Jesuit-marked,Würzburg,1,24,0.041666666666666664,to_1705
city,Other Elements,Paris,62,235,0.26382978723404255,to_1705
city,Other Elements,Rome,14,235,0.059574468085106386,to_1705
city,Other Elements,Strasbourg,13,235,0.05531914893617021,to_1705
