classification_key,year,city,language_first,author_or_editor,primary_subject_family,primary_classes,claim_utility_practice_application,claim_method_demonstration_order,claim_augmentation_enrichment_composition,claim_correction_revision_accuracy,claim_translation_vernacularization_transfer,institutions_has,inst_jesuit,jesuit_religious,short_title
ZGOHUR,1581,Rome,LATIN,Christopher Clavius,Instruments/Measurement,Gnomonics & Horology,False,True,True,False,False,True,True,True,Gnomonices libri octo
bib-259,1591,Tours,LATIN,Elie Vinet,Geometry/Theory | Arithmetic/Commerce | Music,Arithmetic | Music Theory | Theoretical Mathematics,False,False,True,False,False,True,True,True,"Michaelis Pselli Arithmetica, musica et geometria"
XHZ2XV,1592,Tournon,LATIN,Elie Vinet,Geometry/Theory | Arithmetic/Commerce | Music,Arithmetic | Music Theory | Practical Geometry,False,False,True,False,False,True,True,True,"Arithmetica, musica et geometria: Procli sphaera"
MorisS-21-7,1636,Paris,LATIN,Marin Mersenne,Music,Music Theory,False,False,False,False,False,True,False,True,
35H84Y,1642,Bologna,LATIN,Mario Bettini,Applied Mechanics/Military,Mechanics,True,True,True,False,True,True,True,True,"Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)"
AWKSO4,1642,Paris,FRENCH,Jean Du Breuil,Visual/Spatial Arts,Perspective,True,False,False,False,False,True,False,True,"La perspective practique necessaire a tous peintres, graveurs, sculpteurs, architectes, orfeures, brodeurs, tapissiers, et autres se servans du dessein"
MorisS-10-1,1646,Lyon,LATIN,Honoré Fabri,Applied Mechanics/Military,Mechanics,False,False,False,False,False,True,True,True,
99CARP,1646,Paris,LATIN,Jean François Niceron,Visual/Spatial Arts,Perspective,True,False,False,False,False,True,False,True,"P. R. Joannis Francisci Niceronis, Thaumaturgus opticus, seu Admiranda optices, per radium directum: catoptrices, per reflexum dioptrices, per refractum in diaphanis pars prima de iis quae spectant ad visionem directam"
MorisS-24-3,1646,Paris,LATIN,Jean François Niceron,Visual/Spatial Arts,Perspective,True,False,True,False,False,True,False,True,
MorisS-22-5,1647,Paris,FRENCH,Jean Baptiste Morin,Cosmos/Earth,Astronomy | Navigation,True,False,True,False,False,True,False,True,
B80KIT,1653,Bologna,ITALIAN,"Christoph Scheiner, Giulio Troili",Geometry/Theory,Practical Geometry,False,False,False,False,False,True,True,True,Prattica del parallelogrammo da disegnare del P. Christoforo Scheiner ... di nuouo data in luce da Giulio Troili ...
bib-86,1664,Bologna,LATIN,Paolo Casati,Instruments/Measurement,Instrument Construction | Instrument Use,True,True,False,False,False,True,True,True,
bib-95,1668,Cambridge,LATIN,Pierre Gautruche,Arithmetic/Commerce | Instruments/Measurement | Cosmos/Earth,Arithmetic | Astronomy | Geography | Gnomonics & Horology,False,False,False,False,False,True,True,True,
EJGRZN,1671,Paris,FRENCH,Ignace-Gaston Pardies,Geometry/Theory,Theoretical Mathematics,False,True,False,False,False,True,True,True,"Élémens de géométrie, où par une méthode courte & aisée l'on peut apprendre ce qu'il faut sçavoir d'Euclide, d'Archimède, d'Apollonius, & les plus belles inventions des anciens & des nouveaux géomètres"
bib-96,1675,Caen,LATIN,Pierre Gautruche,No primary family,,False,False,False,True,False,True,True,True,
bib-54,1677,Paris,FRENCH,Claude-François Milliet Dechales,Visual/Spatial Arts | Applied Mechanics/Military,Construction | Military Engineering,False,False,True,False,False,True,True,True,
bib-85,1685,Bologna,ITALIAN,Paolo Casati,Arithmetic/Commerce | Instruments/Measurement,Arithmetic | Instrument Construction | Instrument Use,True,True,False,False,False,True,True,True,
