language,count,earliest_year,latest_year,cities,authors_editors
LATIN,178,1482.0,1703.0,"Alcala | Amsterdam | Ansbach | Antwerp | Arnhem | Bamberg | Basel | Bologna | Cambridge | Cologne | Douai | Ferrara | Frankfurt | Geneva | Graz | Ingolstadt | Leiden | Leiden, Amsterdam | Leipzig | Leuven | London | Lyon | Mainz | Messina | Naples | Osnabrück | Oxford | Padua | Paris | Pesaro | Pisa | Rome | Siena | Strasbourg | Uppsala | Venice | Vicenza | Vienna | Wittenberg | Würzburg","Albrecht Dürer, Joachim Camerarius | Ambrosius Lacher | Ambrosius Rhode | André Tacquet | André Tacquet, William Whiston | Angelo Caiani | Antonio Possevino | Bartolomeo Zamberti | Caterino Doino | Charles Malapert de Mons | Christian Herlin | Christian Melder | Christoffer Dybvad | Christoph Meurer | Christopher Clavius | Christopher Clavius, Christoph Grienberger | Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus | Claude Hardy | Claude Richard | Claude-François Milliet Dechales | Claude-François Milliet Dechales, Amatus Varcin | Conrad Dasypodius | Conrad Dasypodius (?) | Conrad Dasypodius, Christian Herlin | D. Joanni Franciso Polo | David Gregory | Elias Astorinus | Erhard Ratdolt | Federico Commandino | Federico Commandino, Valerio Spacciuoli | Florimond du Puy | Francesco Maurolico | François de Foix-Candale | Gaspar Schott | Georges Fournier | Gilles François Gottignies | Giorgio Valla | Giovanni Alfonso Borelli | Guiseppe Auria | Henrick Coets | Henry Briggs | Honoré Fabri | Isaac Barrow | Jacques Lefèvre d'Étaples | Jacques Ozanam | Jacques Peletier | Jan Pietersz Dou, Sebastian Curtius | Jean Magnien, Étienne Gracile | Jean de la Pène | Joachim Kammermeister, Georg Joachim Rhäticus | Joachim Kammermeister, Moritz Valentin Steinmetz | Joannes Sthen | Johann Lanz | Johannes Scheubel | Johannes Vögelin, Johann Alexander Brassicanus | Johannes de Sacrobosco | John Keill | Josias Rihel (?) | Leonardo Achati | Leonardo Fioravanti | Luca Pacioli | Luis Carducci | Marcus Meibom | Marin Mersenne | Marin Mersenne (?) | Marinus Neapolitanus | Martinus Erici Gestrinius | Michael, Joachim Tancke, Philipp Melanchthon | Nasir al-Din al-Tusi | Niccolò Tartaglia | Oronce Finé | Pierre Hérigone | Pierre Le Mardelé | Pierre de Montdoré | Pierre de la Ramée | Porpora | Simon Grynaeus | Simon Marius | Thomas Bradwardine, Pedro Ciruelo | Valentin Naboth | Étienne Gracile"
FRENCH,55,1560.0,1700.0,"Amsterdam | Geneva | Lausanne | Le Mans | Lyon | Paris | Rotterdam | Rouen | Rouen, Paris | The Hague","Antoine Arnauld | Bernard Lamy | Claude-François Milliet Dechales | Denis Henrion | Didier Dounot | Gemma Frisius, Pierre Forcadel | Georges Fournier | Honorat de Meynier | Jacques Ozanam | Jacques Peletier, Jean de Tournes | Jacques Rohault | Jacques Rohault, Claude Clerselier | Jacques-Alexandre Le Tenneur | Jean Errard | Jean Prestet | Pierre Bourdín | Pierre Forcadel | Pierre Hérigone | Pierre Le Mardelé | Roland Fréart | Simon Stevin"
DUTCH,21,1546.0,1702.0,Alcala | Amsterdam | Basel | Hamburg | Leiden | Rotterdam | Utrecht,Claas Janszen Vooght | Frans van Schooten | Henrick Coets | Jacob Willemsz | Jan Pietersz Dou | Luis Carducci
GREEK,16,1533.0,1703.0,Basel | London | Oxford | Paris | Rome | Strasbourg | Wittenberg,"Angelo Caiani | Claude Hardy | Conrad Dasypodius | Conrad Dasypodius, Christian Herlin | David Gregory | Henry Briggs | Jean de la Pène | Joannes Sthen | Josias Rihel (?) | Oronce Finé | Simon Grynaeus"
ENGLISH,15,1551.0,1705.0,"London | Oxford | Oxford, London","Claude-François Milliet Dechales | Claude-François Milliet Dechales, Reeve Williams | Edmund Scarburgh | Henry Billingsley, John Dee | Isaac Barrow | John Leeke, George Serle | Jonas Moore | Robert Recorde | Thomas Rudd"
ITALIAN,12,1543.0,1702.0,Bologna | Florence | Milan | Pesaro | Rome | Urbino | Venice,"Federico Commandino, Valerio Spacciuoli | Giovanni Ricci | Ignazio Danti | Niccolò Tartaglia | Pietro Antonio Cataldi | Pietro Paolo Caravaggi | Vincenzio Viviani | Vitale Giordano da Bitonto"
GERMAN,10,1555.0,1699.0,"Amsterdam | Ansbach | Augsburg | Basel | Hamburg, Leipzig | Kiel, Leipzig | Lübeck, Frankfurt | Nuremberg | Vienna","Anton Ernst Burckhard von Pirckenstein | Jan Pietersz Dou, Sebastian Curtius | Johannes Scheubel | Lucas Brunn | Samuel Reyher | Simon Marius | Wilhelm Xylander"
SPANISH,6,1576.0,1701.0,Brussels | Madrid | Seville,"Antonio de Nájera, Juan de la Rocha | Jacobo Kresa | Pedro Ambrosio Ondériz | Rodorigo de Zamorano | Sebastián Fernández de Medrano"
CHINESE,3,1607.0,1629.0,Beijing,"Xu Guangqi, Matteo Ricci | Xu Guangqi, Matteo Ricci, Li Zhizao"
ARABIC,1,1594.0,1594.0,Rome,Nasir al-Din al-Tusi
