author_canonical,key,city,region
Claude-François Milliet Dechales,London_1685a,London,England
Claude-François Milliet Dechales,London_1703,London,England
"Joachim Kammermeister, Moritz Valentin Steinmetz",Leipzig_1577,Leipzig,Unmapped
Conrad Dasypodius,Strasbourg_1570,Strasbourg,Swiss/Upper Rhine
Conrad Dasypodius,Strasbourg_1599,Strasbourg,Swiss/Upper Rhine
Ambrosius Rhode,Wittenberg_1609,Wittenberg,German lands
Ambrosius Rhode,Wittenberg_1634,Wittenberg,German lands
Ambrosius Rhode,Wittenberg_1661,Wittenberg,German lands
Johannes Scheubel,Basel_1550,Basel,Swiss/Upper Rhine
Vincenzio Viviani,Florence_1690,Florence,Unmapped
Giovanni Ricci,Bologna_1686,Bologna,Italy
Sebastián Fernández de Medrano,Brussels_1688,Brussels,Unmapped
Didier Dounot,Paris_1609,Paris,France
Didier Dounot,Paris_1610,Paris,France
Samuel Reyher,Kiel_and_Leipzig_1699,Kiel,Unmapped
Samuel Reyher,Kiel_and_Leipzig_1699,Leipzig,Unmapped
Claude-François Milliet Dechales,Lyon_1690,Lyon,France
Isaac Barrow,Cambridge_1655,Cambridge,England
Isaac Barrow,London_1659,London,England
Isaac Barrow,Osnabrück_1676,Osnabrück,German lands
Isaac Barrow,London_1678,London,England
Isaac Barrow,London_1685,London,England
Isaac Barrow,London_1687,London,England
Pierre Bourdín,Paris_1643,Paris,France
Pietro Paolo Caravaggi,Milan_1671,Milan,Unmapped
Claude-François Milliet Dechales,Paris_1683,Paris,France
Claude-François Milliet Dechales,Paris_1690,Paris,France
Claude-François Milliet Dechales,Paris_1677a,Paris,France
Johannes Scheubel,Augsburg_1555,Augsburg,Unmapped
Jan Pietersz Dou,Rotterdam_1661,Rotterdam,Low Countries
Jan Pietersz Dou,Amsterdam_1700b,Amsterdam,Low Countries
Jan Pietersz Dou,Amsterdam_1701,Amsterdam,Low Countries
Simon Marius,Ansbach_1610,Ansbach,Unmapped
Frans van Schooten,Amsterdam_1662,Amsterdam,Low Countries
John Keill,Oxford_1701,Oxford,England
Jean Errard,Paris_1598a,Paris,France
Jean Errard,Paris_1605,Paris,France
Jean Errard,Paris_1629,Paris,France
Jacques-Alexandre Le Tenneur,Paris_1640,Paris,France
Pierre Forcadel,Paris_1565,Paris,France
Pierre Forcadel,Paris_1564,Paris,France
Georges Fournier,Paris_1654a,Paris,France
Sebastián Fernández de Medrano,Brussels_1701,Brussels,Unmapped
Rodorigo de Zamorano,Seville_1576,Seville,Unmapped
Jacobo Kresa,Brussels_1689,Brussels,Unmapped
Claude-François Milliet Dechales,Lyon_1672,Lyon,France
Claude-François Milliet Dechales,Paris_1682,Paris,France
Claude-François Milliet Dechales,Amsterdam_1700,Amsterdam,Low Countries
"Antonio de Nájera, Juan de la Rocha",Madrid_1665,Madrid,Unmapped
Pierre Forcadel,Paris_1566a,Paris,France
Henrick Coets,Amsterdam_1702,Amsterdam,Low Countries
Frans van Schooten,Leiden_1617,Leiden,Low Countries
Elias Astorinus,Siena_1691,Siena,Unmapped
Oronce Finé,Paris_1551,Paris,France
Oronce Finé,Paris_1536,Paris,France
Oronce Finé,Paris_1544,Paris,France
Jonas Moore,London_1680–81,London,England
"Federico Commandino, Valerio Spacciuoli",Pesaro_1619,Pesaro,Italy
Conrad Dasypodius,Strasbourg_1564,Strasbourg,Swiss/Upper Rhine
Conrad Dasypodius,Strasbourg_1564b,Strasbourg,Swiss/Upper Rhine
Conrad Dasypodius,Strasbourg_1566,Strasbourg,Swiss/Upper Rhine
Conrad Dasypodius,Strasbourg_1564a,Strasbourg,Swiss/Upper Rhine
Giovanni Ricci,Bologna_1651,Bologna,Italy
Giovanni Ricci,Bologna_1651a,Bologna,Italy
André Tacquet,Amsterdam_1683,Amsterdam,Low Countries
André Tacquet,Amsterdam_1701b,Amsterdam,Low Countries
"André Tacquet, William Whiston",Cambridge_1703,Cambridge,England
Christopher Clavius,Rome_1574,Rome,Italy
"Jean Magnien, Étienne Gracile",Cologne_1607,Cologne,German lands
"Jean Magnien, Étienne Gracile",Cologne_1627,Cologne,German lands
Claude-François Milliet Dechales,Lyon_1660,Lyon,France
Claude-François Milliet Dechales,Lyon_1675,Lyon,France
Gaspar Schott,Frankfurt_1674,Frankfurt,German lands
Christopher Clavius,Rome_1589,Rome,Italy
Christopher Clavius,Cologne_1591,Cologne,German lands
Christopher Clavius,Rome_1603,Rome,Italy
Charles Malapert de Mons,Douai_1620,Douai,Low Countries
Charles Malapert de Mons,Douai_1625,Douai,Low Countries
"Christopher Clavius, Christoph Grienberger",Rome_1629,Rome,Italy
Charles Malapert de Mons,Douai_1633,Douai,Low Countries
Georges Fournier,Paris_1643b,Paris,France
Georges Fournier,Paris_1644a,Paris,France
Claude Richard,Antwerp_1645,Antwerp,Low Countries
Christopher Clavius,Frankfurt_1654,Frankfurt,German lands
Georges Fournier,Paris_1654,Paris,France
"Christopher Clavius, Christoph Grienberger",Rome_1655,Rome,Italy
Claude-François Milliet Dechales,Lyon_1674,Lyon,France
Christopher Clavius,Frankfurt_1607,Frankfurt,German lands
Georges Fournier,London_1654,London,England
Georges Fournier,Cambridge_1665,Cambridge,England
Gaspar Schott,Würzburg_1661,Würzburg,German lands
"Christopher Clavius, Christoph Grienberger, Jacobus Honoratus Durandus",Graz_1636,Graz,Unmapped
Gaspar Schott,Bamberg_1677,Bamberg,German lands
Johann Lanz,Ingolstadt_1617,Ingolstadt,Unmapped
Johann Lanz,Bologna_1629,Bologna,Italy
André Tacquet,Antwerp_1654,Antwerp,Low Countries
André Tacquet,Antwerp_1672,Antwerp,Low Countries
André Tacquet,Padua_1694,Padua,Italy
Claude-François Milliet Dechales,Oxford_1685,Oxford,England
Claude-François Milliet Dechales,London_1696,London,England
Claude-François Milliet Dechales,Oxford_London_1700,Oxford,England
Claude-François Milliet Dechales,Oxford_London_1700,London,England
