author_canonical,geographic_reach_type,matched_edition_count,any_practical,majority_practical,practical_share,any_books_1_6_or_solids,majority_books_1_6_or_solids,books_1_6_or_solids_share,any_vernacular_non_latin,majority_vernacular_non_latin,vernacular_non_latin_share,any_small_format_8_or_smaller,majority_small_format_8_or_smaller,small_format_8_or_smaller_share,any_large_format_folio_quarto,majority_large_format_folio_quarto,large_format_folio_quarto_share,any_institution,majority_institution,institution_share,any_jesuit,majority_jesuit,jesuit_share,any_pedagogy_access,majority_pedagogy_access,pedagogy_access_share,any_method_order,majority_method_order,method_order_share,any_augmentation,majority_augmentation,augmentation_share,any_restoration_ancient,majority_restoration_ancient,restoration_ancient_share,any_correction,majority_correction,correction_share,any_visual_aids,majority_visual_aids,visual_aids_share
Isaac Barrow,interregional_route,9,False,False,0.0,False,False,0.0,True,False,0.3333333333333333,True,True,0.7777777777777778,False,False,0.0,True,True,1.0,False,False,0.0,True,False,0.1111111111111111,True,True,1.0,True,False,0.2222222222222222,True,True,1.0,True,False,0.3333333333333333,False,False,0.0
"Jean Magnien, Étienne Gracile",interregional_route,7,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,False,0.2857142857142857,True,False,0.2857142857142857,True,True,0.5714285714285714,False,False,0.0,True,True,0.5714285714285714,True,True,1.0,True,False,0.2857142857142857,False,False,0.0
Georges Fournier,interregional_route,5,False,False,0.0,True,True,1.0,True,False,0.2,True,True,1.0,False,False,0.0,True,True,1.0,True,False,0.4,False,False,0.0,True,True,0.8,True,False,0.2,True,True,1.0,True,True,0.6,False,False,0.0
Christoffer Dybvad,interregional_route,4,False,False,0.0,True,True,0.5,False,False,0.0,False,False,0.0,True,True,1.0,True,False,0.25,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,True,True,0.75,False,False,0.0,False,False,0.0
Jean de la Pène,interregional_route,4,False,False,0.0,False,False,0.0,True,False,0.25,False,False,0.0,True,True,1.0,True,False,0.25,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.75,True,True,1.0,False,False,0.0,False,False,0.0
Antonio Possevino,interregional_route,3,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,True,True,1.0,True,False,0.3333333333333333,False,False,0.0,False,False,0.0,True,True,0.6666666666666666,False,False,0.0,True,True,0.6666666666666666,False,False,0.0
François de Foix-Candale,interregional_route,3,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.6666666666666666,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0
Jacob Willemsz,interregional_route,3,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.6666666666666666,False,False,0.0,True,False,0.3333333333333333,False,False,0.0,False,False,0.0
Jacques Ozanam,interregional_route,3,False,False,0.0,True,True,1.0,True,True,1.0,True,True,1.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,True,True,0.6666666666666666,True,True,0.6666666666666666,False,False,0.0
Anton Ernst Burckhard von Pirckenstein,interregional_route,2,False,False,0.0,True,True,1.0,True,True,1.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0,True,True,0.5,False,False,0.0,False,False,0.0,True,True,1.0,False,False,0.0,False,False,0.0
