author_canonical,key,year_x,city_x,language_x
Ambrosius Rhode,Wittenberg_1634,1634,Wittenberg,LATIN
Isaac Barrow,London_1687,1687,London,LATIN
Oronce Finé,Paris_1551,1551,Paris,LATIN
Christopher Clavius,Rome_1574,1574,Rome,LATIN
Charles Malapert de Mons,Douai_1633,1633,Douai,LATIN
Georges Fournier,Paris_1644a,1644,Paris,LATIN
Johann Lanz,Bologna_1629,1629,Bologna,LATIN
Bartolomeo Zamberti,Venice_1510,1510,Venice,LATIN
Niccolò Tartaglia,Venice_1543,1543,Venice,ITALIAN
Christian Herlin,Basel_1546,1546,Basel,LATIN
Christian Herlin,Basel_1558,1558,Basel,LATIN
Pierre de la Ramée,Paris_1558a,1558,Paris,LATIN
"Jean Magnien, Étienne Gracile",Cologne_1564,1564,Cologne,LATIN
Niccolò Tartaglia,Venice_1585,1585,Venice,LATIN
Niccolò Tartaglia,Venice_1586,1586,Venice,LATIN
"Jean Magnien, Étienne Gracile",Cologne_1587,1587,Cologne,LATIN
"Jean Magnien, Étienne Gracile",Paris_1598,1598,Paris,LATIN
François de Foix-Candale,Paris_1602,1602,Paris,LATIN
Jacques Peletier,Geneva_1610,1610,Geneva,LATIN
"Xu Guangqi, Matteo Ricci",Beijing_1611,1611,Beijing,CHINESE
Didier Dounot,Paris_1613,1613,Paris,FRENCH
"Federico Commandino, Valerio Spacciuoli",Pesaro_1619a,1619,Pesaro,ITALIAN
Denis Henrion,Paris_1621,1621,Paris,FRENCH
"Jacques Peletier, Jean de Tournes",Geneva_1628,1628,Geneva,FRENCH
Denis Henrion,Paris_1631,1631,Paris,FRENCH
Jan Pietersz Dou,Utrecht_1647,1647,Utrecht,DUTCH
Henrick Coets,Leiden_1691,1691,Leiden,LATIN
Giovanni Alfonso Borelli,Pisa_1658,1658,Pisa,LATIN
Pierre Forcadel,Paris_1565a,1565,Paris,FRENCH
Johannes de Sacrobosco,Paris_1531,1531,Paris,LATIN
Johannes de Sacrobosco,Paris_1534,1534,Paris,LATIN
Edmund Scarburgh,F2WVY3,1705,Oxford,ENGLISH
Simon Stevin,1QQS64,1618,Rotterdam,FRENCH
