author_canonical,key,year,year_num,period_25,city,language,format,short_title
Claude-François Milliet Dechales,London_1685a,1685,1685.0,1675-1699,London,ENGLISH,12,
Claude-François Milliet Dechales,London_1703,1703,1703.0,1700-1724,London,ENGLISH,12,
"Joachim Kammermeister, Moritz Valentin Steinmetz",Leipzig_1577,1577,1577.0,1575-1599,Leipzig,LATIN,8,EUCLIDIS ELEMENTORUM GEOMETRICORUM LIBRI SEX conuersi in latinum sermonem à Ioach
Conrad Dasypodius,Strasbourg_1570,1570,1570.0,1550-1574,Strasbourg,GREEK,8,EVCLIDIS ELEMENTorum Liber primus
Conrad Dasypodius,Strasbourg_1570,1570,1570.0,1550-1574,Strasbourg,LATIN,8,EVCLIDIS ELEMENTorum Liber primus
Conrad Dasypodius,Strasbourg_1599,1599,1599.0,1575-1599,Strasbourg,LATIN,8,
Ambrosius Rhode,Wittenberg_1609,1609,1609.0,1600-1624,Wittenberg,LATIN,8,Euclidis elementorum libri XIII
Ambrosius Rhode,Wittenberg_1634,1634,1634.0,1625-1649,Wittenberg,LATIN,8,Euclidis elementorum libri XIII
Ambrosius Rhode,Wittenberg_1661,1661,1661.0,1650-1674,Wittenberg,LATIN,8,"Euclidis Elementorum Libri XIII., Succinctis & perspicuis demonstrationibus comprehensi a D. Ambrosio Rhodio Kembergensi, Mathematum Super: Professore publico in Academia Leucorea: Editio novissima, priore Correctior & Emendatior"
Johannes Scheubel,Basel_1550,1550,1550.0,1550-1574,Basel,LATIN,2,Euclidis Megarensis philosophi et mathematici excellentissimi sex libri priores de geometricis principiis
Vincenzio Viviani,Florence_1690,1690,1690.0,1675-1699,Florence,ITALIAN,12,"Elementi piani, e solidi agl'illustrissimi sig. dell'Accademia de' nobili"
Giovanni Ricci,Bologna_1686,1686,1686.0,1675-1699,Bologna,ITALIAN,8,
Sebastián Fernández de Medrano,Brussels_1688,1688,1688.0,1675-1699,Brussels,SPANISH,8,
Didier Dounot,Paris_1609,1609,1609.0,1600-1624,Paris,FRENCH,unknown,"Les Elémens de la géométrie d'Euclides, traduicts et restitués à leur ancienne bréveté, selon l'ordre de Théon, ausquels ont esté adjoustez les quatorze et quinziesme d'Ipsicles, le tout par Dounot,"
Didier Dounot,Paris_1610,1610,1610.0,1600-1624,Paris,FRENCH,4,Les éléments de la géométrie d’Euclide Mégarien
Samuel Reyher,Kiel_and_Leipzig_1699,1699,1699.0,1675-1699,"Kiel, Leipzig",GERMAN,4,
Claude-François Milliet Dechales,Lyon_1690,1690,1690.0,1675-1699,Lyon,LATIN,4,
Isaac Barrow,Cambridge_1655,1655,1655.0,1650-1674,Cambridge,LATIN,6,Euclidis Elementorum Libri XV breviter demonstrati
Isaac Barrow,London_1659,1659,1659.0,1650-1674,London,LATIN,8,"Euclidis Elementorum libri xv. breviter demonstrati, opera Is. Barrow, Cantabrigiensis, Coll. Trin. Soc."
Isaac Barrow,Osnabrück_1676,1676,1676.0,1675-1699,Osnabrück,LATIN,8,
Isaac Barrow,London_1678,1678,1678.0,1675-1699,London,LATIN,8,EUCLIDIS ELEMENTORUM Libri XV. breviter demonstrati
Isaac Barrow,London_1685,1685,1685.0,1675-1699,London,LATIN,8,
Isaac Barrow,London_1687,1687,1687.0,1675-1699,London,LATIN,8,"Euclidis Elementorum libri XV. breviter demonstrati, opera Is. Barrow, Cantabrigiensis, Coll. Trin. Soc. Et prioribus mendis typographicis nunc demum purgati."
Pierre Bourdín,Paris_1643,1643,1643.0,1625-1649,Paris,FRENCH,12,
Pietro Paolo Caravaggi,Milan_1671,1671,1671.0,1650-1674,Milan,ITALIAN,12,
Claude-François Milliet Dechales,Paris_1683,1683,1683.0,1675-1699,Paris,FRENCH,12,
Claude-François Milliet Dechales,Paris_1690,1690,1690.0,1675-1699,Paris,FRENCH,12,
Claude-François Milliet Dechales,Paris_1677a,1677,1677.0,1675-1699,Paris,FRENCH,12,
Johannes Scheubel,Augsburg_1555,1555,1555.0,1550-1574,Augsburg,GERMAN,4,"Das sibend, acht und neünt büch des hochberümbten mathematici Euclidis Megarensis"
Jan Pietersz Dou,Rotterdam_1661,1661,1661.0,1650-1674,Rotterdam,DUTCH,8,
Jan Pietersz Dou,Amsterdam_1700b,1700,1700.0,1700-1724,Amsterdam,DUTCH,8,
Jan Pietersz Dou,Amsterdam_1701,1701,1701.0,1700-1724,Amsterdam,DUTCH,8,
Simon Marius,Ansbach_1610,1610,1610.0,1600-1624,Ansbach,GERMAN,2,Die ersten sechs Bücher Elementorum Euclidis
Simon Marius,Ansbach_1610,1610,1610.0,1600-1624,Ansbach,LATIN,2,Die ersten sechs Bücher Elementorum Euclidis
Frans van Schooten,Amsterdam_1662,1662,1662.0,1650-1674,Amsterdam,DUTCH,12,
John Keill,Oxford_1701,1701,1701.0,1700-1724,Oxford,LATIN,8,"Euclidis elementorum libri priores sex, item undecimus et duodecimus ex versione latina Federici Commandini in usum juventutis academicae"
Jean Errard,Paris_1598a,1598,1598.0,1575-1599,Paris,FRENCH,8,Les six premiers livres des Éléments d’Euclide
Jean Errard,Paris_1605,1605,1605.0,1600-1624,Paris,FRENCH,8,Les nevf premiers livres des elemens
Jean Errard,Paris_1629,1629,1629.0,1625-1649,Paris,FRENCH,4,
Jacques-Alexandre Le Tenneur,Paris_1640,1640,1640.0,1625-1649,Paris,FRENCH,4,
Pierre Forcadel,Paris_1565,1565,1565.0,1550-1574,Paris,FRENCH,4,"Les septième, huitième et neuvième livres des Éléments d’Euclide"
Pierre Forcadel,Paris_1564,1564,1564.0,1550-1574,Paris,FRENCH,4,"Les six premiers livres des Éléments d’Euclide, traduits et commentés"
Georges Fournier,Paris_1654a,1654,1654.0,1650-1674,Paris,FRENCH,8,Les Elements d’Euclide
Sebastián Fernández de Medrano,Brussels_1701,1701,1701.0,1700-1724,Brussels,SPANISH,8,
Rodorigo de Zamorano,Seville_1576,1576,1576.0,1575-1599,Seville,SPANISH,4,Los seis libros primeros de la geometría de Euclides
Jacobo Kresa,Brussels_1689,1689,1689.0,1675-1699,Brussels,SPANISH,4,"Elementos geometricos de Euclides, los seis primeros libros de los planos; y los onzeno, y dozeno de los solidos: con algunos selectos theoremas de Archimedes. Traducidos, y explicados por el P. Jacobo Kresa de la Compañia de Jesus, cathedratico de mathem"
Claude-François Milliet Dechales,Lyon_1672,1672,1672.0,1650-1674,Lyon,FRENCH,12,Huict Livres des Elements d’Euclide rendus plus faciles
Claude-François Milliet Dechales,Paris_1682,1682,1682.0,1675-1699,Paris,FRENCH,12,Les Elemens d'Euclide expliqués par le P. Claude François Milliet Dechalles
Claude-François Milliet Dechales,Amsterdam_1700,1700,1700.0,1700-1724,Amsterdam,FRENCH,12,
"Antonio de Nájera, Juan de la Rocha",Madrid_1665,1665,1665.0,1650-1674,Madrid,SPANISH,2,
Pierre Forcadel,Paris_1566a,1566,1566.0,1550-1574,Paris,FRENCH,8,Les six premiers livres des Éléments d’Euclide
Henrick Coets,Amsterdam_1702,1702,1702.0,1700-1724,Amsterdam,DUTCH,8,
Frans van Schooten,Leiden_1617,1617,1617.0,1600-1624,Leiden,DUTCH,12,
Elias Astorinus,Siena_1691,1691,1691.0,1675-1699,Siena,LATIN,12,
Oronce Finé,Paris_1551,1551,1551.0,1550-1574,Paris,LATIN,4,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
Oronce Finé,Paris_1536,1536,1536.0,1525-1549,Paris,LATIN,2,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
Oronce Finé,Paris_1536,1536,1536.0,1525-1549,Paris,GREEK,2,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
Oronce Finé,Paris_1544,1544,1544.0,1525-1549,Paris,LATIN,2,In sex priores libros geometricorum elementorum Euclidis Megarensis demonstrationes
Jonas Moore,London_1680–81,1680/1681,1680.0,1675-1699,London,ENGLISH,4,"A new systeme of the mathematicks: containing I. Arithmetick, as well natural and decimal, as in species, or the principles of Algebra. II. Practical geometry, together with the first six books of Euclid's Elements, as also the eleventh and twelfth, symbolically demonstrated. III. Trigonometry plain and spherical. IV. Cosmography, or a description of the heavens. V. Navigation, or sailing by a plain or Mercator's chart; as also by the arch of a great circle,"
"Federico Commandino, Valerio Spacciuoli",Pesaro_1619,1619,1619.0,1600-1624,Pesaro,LATIN,2,
Conrad Dasypodius,Strasbourg_1564,1564,1564.0,1550-1574,Strasbourg,GREEK,8,Euclidis quindecim Elementorum Geometriae primum
Conrad Dasypodius,Strasbourg_1564,1564,1564.0,1550-1574,Strasbourg,LATIN,8,Euclidis quindecim Elementorum Geometriae primum
Conrad Dasypodius,Strasbourg_1564b,1564,1564.0,1550-1574,Strasbourg,LATIN,8,PROPOSITIOnes reliquorum Librorum Geometriæ Euclidis
Conrad Dasypodius,Strasbourg_1566,1566,1566.0,1550-1574,Strasbourg,GREEK,4,Analyseis geometricae sex librorum Euclidis
Conrad Dasypodius,Strasbourg_1566,1566,1566.0,1550-1574,Strasbourg,LATIN,4,Analyseis geometricae sex librorum Euclidis
Conrad Dasypodius,Strasbourg_1564a,1564,1564.0,1550-1574,Strasbourg,GREEK,8,Euclides: Eukleidu Tōn Pente Kai Deka Stoicheiōn Ek Tōn Tu Theōnos synusiōn to deuteron
Conrad Dasypodius,Strasbourg_1564a,1564,1564.0,1550-1574,Strasbourg,LATIN,8,Euclides: Eukleidu Tōn Pente Kai Deka Stoicheiōn Ek Tōn Tu Theōnos synusiōn to deuteron
Giovanni Ricci,Bologna_1651,1651,1651.0,1650-1674,Bologna,ITALIAN,8,
Giovanni Ricci,Bologna_1651a,1651,1651.0,1650-1674,Bologna,ITALIAN,8,De gli Elementi di Euclide li primi sei Libri
André Tacquet,Amsterdam_1683,1683,1683.0,1675-1699,Amsterdam,LATIN,8,
André Tacquet,Amsterdam_1701b,1701,1701.0,1700-1724,Amsterdam,LATIN,8,
"André Tacquet, William Whiston",Cambridge_1703,1703,1703.0,1700-1724,Cambridge,LATIN,8,
Christopher Clavius,Rome_1574,1574,1574.0,1550-1574,Rome,LATIN,8,Euclidis elementorum libri XV
"Jean Magnien, Étienne Gracile",Cologne_1607,1607,1607.0,1600-1624,Cologne,LATIN,8,
"Jean Magnien, Étienne Gracile",Cologne_1627,1627,1627.0,1625-1649,Cologne,LATIN,8,
Claude-François Milliet Dechales,Lyon_1660,1660,1660.0,1650-1674,Lyon,LATIN,18,
Claude-François Milliet Dechales,Lyon_1675,1675,1675.0,1675-1699,Lyon,LATIN,6,
Gaspar Schott,Frankfurt_1674,1674,1674.0,1650-1674,Frankfurt,LATIN,2,
Christopher Clavius,Rome_1589,1589,1589.0,1575-1599,Rome,LATIN,8,Euclidis elementorum libri XV
Christopher Clavius,Cologne_1591,1591,1591.0,1575-1599,Cologne,LATIN,4,Euclidis elementorum libri XV; accessit XVI de solidorum regularium cuiuslibet intra quodlibet comparatione
Christopher Clavius,Rome_1603,1603,1603.0,1600-1624,Rome,LATIN,8,"Elementorum libri 15, accessit Liber XVI"
Charles Malapert de Mons,Douai_1620,1620,1620.0,1600-1624,Douai,LATIN,8,
Charles Malapert de Mons,Douai_1625,1625,1625.0,1625-1649,Douai,LATIN,12,
"Christopher Clavius, Christoph Grienberger",Rome_1629,1629,1629.0,1625-1649,Rome,LATIN,12,
Charles Malapert de Mons,Douai_1633,1633,1633.0,1625-1649,Douai,LATIN,12,
Georges Fournier,Paris_1643b,1643,1643.0,1625-1649,Paris,LATIN,8,
Georges Fournier,Paris_1644a,1644,1644.0,1625-1649,Paris,LATIN,8,
Claude Richard,Antwerp_1645,1645,1645.0,1625-1649,Antwerp,LATIN,2,"Euclidis elementorum geometricorum libros tredecim Isidorum et Hypsiclem & recentiores de corporibus regularibus, & Procli propositiones geometricas"
