author_canonical,circulation_profile,matched_edition_count,total_profile_editions,practical_title_page_claim_edition_share,any_practical_title_page_claim,majority_practical_title_page_claim,book_1_6_or_1_6_plus_solids_edition_share,any_book_1_6_or_1_6_plus_solids,majority_book_1_6_or_1_6_plus_solids,non_latin_language_edition_share,any_non_latin_language,majority_non_latin_language,mentions_institution_edition_share,any_mentions_institution,majority_mentions_institution,jesuit_marker_edition_share,any_jesuit_marker,majority_jesuit_marker
André Tacquet,multi_city_latin_institutional,7,7,0.0,False,False,0.8571428571428571,True,True,0.0,False,False,0.8571428571428571,True,True,0.2857142857142857,True,False
"Jean Magnien, Étienne Gracile",multi_city_latin_institutional,7,10,0.0,False,False,0.0,False,False,0.0,False,False,0.2857142857142857,True,False,0.2857142857142857,True,False
Christopher Clavius,multi_city_latin_institutional,6,7,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.16666666666666666,True,False
Christoffer Dybvad,multi_city_latin_institutional,4,4,0.0,False,False,0.5,True,True,0.0,False,False,0.25,True,False,0.0,False,False
Antonio Possevino,multi_city_latin_institutional,3,3,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.3333333333333333,True,False
Caterino Doino,multi_city_latin_institutional,3,3,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
François de Foix-Candale,multi_city_latin_institutional,3,4,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Gaspar Schott,multi_city_latin_institutional,3,3,0.0,False,False,1.0,True,True,0.0,False,False,1.0,True,True,1.0,True,True
Bartolomeo Zamberti,multi_city_latin_institutional,2,3,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Elias Astorinus,multi_city_latin_institutional,2,2,0.0,False,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
Francesco Maurolico,multi_city_latin_institutional,2,2,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Giovanni Alfonso Borelli,multi_city_latin_institutional,1,2,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Jacques Peletier,multi_city_latin_institutional,1,2,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False,0.0,False,False
Johann Lanz,multi_city_latin_institutional,1,2,0.0,False,False,1.0,True,True,0.0,False,False,1.0,True,True,0.0,False,False
Claude-François Milliet Dechales,multi_language_mediation,16,16,0.625,True,True,0.9375,True,True,0.75,True,True,0.8125,True,True,0.6875,True,True
Isaac Barrow,multi_language_mediation,9,10,0.0,False,False,0.0,False,False,0.3333333333333333,True,False,1.0,True,True,0.0,False,False
Georges Fournier,multi_language_mediation,5,6,0.0,False,False,1.0,True,True,0.2,True,False,1.0,True,True,0.4,True,False
Jean de la Pène,multi_language_mediation,4,4,0.0,False,False,0.0,False,False,0.25,True,False,0.25,True,False,0.0,False,False
Pierre Le Mardelé,multi_language_mediation,4,4,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False,0.0,False,False
Jacques Ozanam,multi_language_mediation,3,3,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
"Federico Commandino, Valerio Spacciuoli",multi_language_mediation,2,3,0.0,False,False,0.0,False,False,0.5,True,True,0.0,False,False,0.0,False,False
Henrick Coets,multi_language_mediation,2,3,0.0,False,False,0.5,True,True,0.5,True,True,0.0,False,False,0.0,False,False
Johannes Scheubel,multi_language_mediation,2,2,0.5,True,True,0.5,True,True,0.5,True,True,1.0,True,True,0.0,False,False
Jan Pietersz Dou,regional_vernacular_series,10,11,0.4,True,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Denis Henrion,regional_vernacular_series,9,11,0.0,False,False,0.1111111111111111,True,False,1.0,True,True,0.0,False,False,0.0,False,False
Jacob Willemsz,regional_vernacular_series,3,3,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Anton Ernst Burckhard von Pirckenstein,regional_vernacular_series,2,2,0.0,False,False,1.0,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Frans van Schooten,regional_vernacular_series,2,2,0.0,False,False,0.0,False,False,1.0,True,True,0.5,True,True,0.0,False,False
Samuel Reyher,regional_vernacular_series,2,2,0.0,False,False,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False
Conrad Dasypodius,single_city_series,11,11,0.0,False,False,0.09090909090909091,True,False,0.5454545454545454,True,True,0.5454545454545454,True,True,0.0,False,False
Johannes de Sacrobosco,single_city_series,7,9,0.14285714285714285,True,False,0.0,False,False,0.0,False,False,1.0,True,True,0.0,False,False
Pierre Forcadel,single_city_series,4,5,0.0,False,False,0.25,True,False,1.0,True,True,0.5,True,True,0.0,False,False
Pierre Hérigone,single_city_series,4,4,0.0,False,False,0.5,True,True,1.0,True,True,0.0,False,False,0.0,False,False
Giorgio Valla,single_city_series,3,3,0.3333333333333333,True,False,0.0,False,False,0.0,False,False,0.0,False,False,0.0,False,False
Giovanni Ricci,single_city_series,3,3,0.0,False,False,1.0,True,True,1.0,True,True,1.0,True,True,0.0,False,False
Jean Errard,single_city_series,3,3,0.0,False,False,0.3333333333333333,True,False,1.0,True,True,0.0,False,False,0.0,False,False
