from_city,to_city,edge_count,cluster_count,earliest_from_year,latest_to_year
Paris,Paris,24,22,1527,1644
Venice,Venice,11,9,1505,1586
Lyon,Geneva,5,5,1557,1610
Paris,Cologne,5,5,1557,1564
Basel,Basel,5,4,1537,1558
Urbino,Pesaro,4,4,1575,1619
Ingolstadt,Bologna,3,3,1617,1629
London,London,3,2,1678,1687
Rome,Rome,2,2,1574,1655
Beijing,Beijing,1,1,1607,1611
Cologne,Cologne,1,1,1580,1587
Cologne,Paris,1,1,1602,1602
Douai,Douai,1,1,1625,1633
Geneva,Geneva,1,1,1611,1628
Leiden,Leiden,1,1,1691,1692
Oxford,Oxford,1,1,1705,1705
Rotterdam,Utrecht,1,1,1647,1647
Wittenberg,Wittenberg,1,1,1609,1634
