cluster_key,from_key,to_key,from_year,to_year,year_delta,from_city,to_city,from_language,to_language,same_city,same_language,from_author_canonical,to_author_canonical
1543E2,Basel_1537,Basel_1546,1537,1546,9,Basel,Basel,LATIN,LATIN,True,True,Christian Herlin,Christian Herlin
1583AD,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True,"Federico Commandino, Valerio Spacciuoli","Federico Commandino, Valerio Spacciuoli"
175D0F,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True,"Jean Magnien, Étienne Gracile","Jean Magnien, Étienne Gracile"
1A8E75,Basel_1537,Basel_1558,1537,1558,21,Basel,Basel,LATIN,LATIN,True,True,Christian Herlin,Christian Herlin
1BC688,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True,Denis Henrion,Denis Henrion
1E9FSI,Venice_1543,Venice_1565,1543,1565,22,Venice,Venice,ITALIAN,LATIN,True,False,Niccolò Tartaglia,Niccolò Tartaglia
1E9FSI,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True,Niccolò Tartaglia,Niccolò Tartaglia
1E9FSI,Venice_1585,Venice_1586,1585,1586,1,Venice,Venice,LATIN,LATIN,True,True,Niccolò Tartaglia,Niccolò Tartaglia
21B89B,Urbino_1575,Pesaro_1619a,1575,1619,44,Urbino,Pesaro,ITALIAN,ITALIAN,False,True,"Federico Commandino, Valerio Spacciuoli","Federico Commandino, Valerio Spacciuoli"
23A04F,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True,Bartolomeo Zamberti,Bartolomeo Zamberti
253787,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True,Bartolomeo Zamberti,Bartolomeo Zamberti
271C9A,Paris_1549,Paris_1558a,1549,1558,9,Paris,Paris,LATIN,LATIN,True,True,Pierre de la Ramée,Pierre de la Ramée
290080,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True,Jacques Peletier,Jacques Peletier
293DF7,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True,Pierre Forcadel,Pierre Forcadel
2CDFE7,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True,Jacques Peletier,Jacques Peletier
2E80DC,Paris_1610,Paris_1613,1610,1613,3,Paris,Paris,FRENCH,FRENCH,True,True,Didier Dounot,Didier Dounot
316EC6,Paris_1544,Paris_1551,1544,1551,7,Paris,Paris,LATIN,LATIN,True,True,Oronce Finé,Oronce Finé
31AD31,Ingolstadt_1617,Bologna_1629,1617,1629,12,Ingolstadt,Bologna,LATIN,LATIN,False,True,Johann Lanz,Johann Lanz
33F276,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True,Niccolò Tartaglia,Niccolò Tartaglia
3A47AD,Paris_1615,Paris_1631,1615,1631,16,Paris,Paris,FRENCH,FRENCH,True,True,Denis Henrion,Denis Henrion
3EC771,Paris_1615,Paris_1621,1615,1621,6,Paris,Paris,FRENCH,FRENCH,True,True,Denis Henrion,Denis Henrion
433EA3,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True,Jacques Peletier,Jacques Peletier
488235,Basel_1537,Basel_1546,1537,1546,9,Basel,Basel,LATIN,LATIN,True,True,Christian Herlin,Christian Herlin
48FFCA,Paris_1544,Paris_1551,1544,1551,7,Paris,Paris,LATIN,LATIN,True,True,Oronce Finé,Oronce Finé
511DB1,Paris_1536,Paris_1544,1536,1544,8,Paris,Paris,LATIN | GREEK,LATIN,True,False,Oronce Finé,Oronce Finé
516BE0,Paris_1549,Paris_1558a,1549,1558,9,Paris,Paris,LATIN,LATIN,True,True,Pierre de la Ramée,Pierre de la Ramée
541676,Lyon_1557,Geneva_1610,1557,1610,53,Lyon,Geneva,LATIN,LATIN,False,True,Jacques Peletier,Jacques Peletier
5A9AEC,Rome_1629,Rome_1655,1629,1655,26,Rome,Rome,LATIN,LATIN,True,True,"Christopher Clavius, Christoph Grienberger","Christopher Clavius, Christoph Grienberger"
6199F5,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True,"Jean Magnien, Étienne Gracile","Jean Magnien, Étienne Gracile"
63B0F2,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True,Pierre Forcadel,Pierre Forcadel
677374,London_1678,London_1685,1678,1685,7,London,London,LATIN,LATIN,True,True,Isaac Barrow,Isaac Barrow
69662F,Paris_1610,Paris_1613,1610,1613,3,Paris,Paris,FRENCH,FRENCH,True,True,Didier Dounot,Didier Dounot
6E7B7F,Wittenberg_1609,Wittenberg_1634,1609,1634,25,Wittenberg,Wittenberg,LATIN,LATIN,True,True,Ambrosius Rhode,Ambrosius Rhode
6FAA21,Venice_1505,Venice_1510,1505,1510,5,Venice,Venice,LATIN,LATIN,True,True,Bartolomeo Zamberti,Bartolomeo Zamberti
6TZUKK,Cologne_1580,Cologne_1587,1580,1587,7,Cologne,Cologne,LATIN,LATIN,True,True,"Jean Magnien, Étienne Gracile","Jean Magnien, Étienne Gracile"
70EC9A,Venice_1565,Venice_1585,1565,1585,20,Venice,Venice,LATIN,LATIN,True,True,Niccolò Tartaglia,Niccolò Tartaglia
725DB7,Venice_1565,Venice_1586,1565,1586,21,Venice,Venice,LATIN,LATIN,True,True,Niccolò Tartaglia,Niccolò Tartaglia
7908FD,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True,"Jean Magnien, Étienne Gracile","Jean Magnien, Étienne Gracile"
7BDH40,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True,"Jean Magnien, Étienne Gracile","Jean Magnien, Étienne Gracile"
7BZII3,Beijing_1607,Beijing_1611,1607,1611,4,Beijing,Beijing,CHINESE,CHINESE,True,True,"Xu Guangqi, Matteo Ricci","Xu Guangqi, Matteo Ricci"
7D4571,Paris_1557,Cologne_1564,1557,1564,7,Paris,Cologne,LATIN,LATIN,False,True,"Jean Magnien, Étienne Gracile","Jean Magnien, Étienne Gracile"
7DF2B5,Paris_1565,Paris_1565a,1565,1565,0,Paris,Paris,FRENCH,FRENCH,True,True,Pierre Forcadel,Pierre Forcadel
