cluster_key,item_key,year,year_num,city,language,author_or_editor,short_title
1543E2,Basel_1537,1537,1537.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
1543E2,Basel_1546,1546,1546.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
1583AD,Urbino_1575,1575,1575.0,Urbino,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
1583AD,Pesaro_1619a,1619,1619.0,Pesaro,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
175D0F,Paris_1557,1557,1557.0,Paris,LATIN,"Jean Magnien, Étienne Gracile","Euclidis Elementorum libri XV, Graecè et Latinè"
175D0F,Cologne_1564,1564,1564.0,Cologne,LATIN,"Jean Magnien, Étienne Gracile","Euclidis elementorum libri XV, Graece et Latine"
1A8E75,Basel_1537,1537,1537.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
1A8E75,Basel_1558,1558,1558.0,Basel,LATIN,Christian Herlin,Euclidis Megarensis mathematici clarissimi elementorum geometricorum libri XV
1BC688,Paris_1615,1615,1615.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
1BC688,Paris_1621,1621,1621.0,Paris,FRENCH,Denis Henrion,"Les quinze livres des Éléments d’Euclide, traduits du latin en français"
1E9FSI,Venice_1543,1543,1543.0,Venice,ITALIAN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
1E9FSI,Venice_1565,1565,1565.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
1E9FSI,Venice_1585,1585,1585.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
1E9FSI,Venice_1586,1586,1586.0,Venice,LATIN,Niccolò Tartaglia,"Euclide Megarense philosopho, solo introduttore delle scientie mathematice"
21B89B,Urbino_1575,1575,1575.0,Urbino,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
21B89B,Pesaro_1619a,1619,1619.0,Pesaro,ITALIAN,"Federico Commandino, Valerio Spacciuoli",De gli elementi d’Euclide libri quindici con gli scolii antichi
