marker,corpus,count,denominator,pct
Ancient authority/restoration,metadata Elements,200,243,82.3
Ancient authority/restoration,non-Elements,65,541,12.0
Explicit Euclid/book identity,metadata Elements,207,243,85.2
Explicit Euclid/book identity,non-Elements,145,541,26.8
Method/demonstration/order,metadata Elements,101,243,41.6
Method/demonstration/order,non-Elements,87,541,16.1
Any named deductive part,metadata Elements,140,243,57.6
Any named deductive part,non-Elements,187,541,34.6
Translation/transfer,metadata Elements,70,243,28.8
Translation/transfer,non-Elements,45,541,8.3
Augmentation/composition,metadata Elements,101,243,41.6
Augmentation/composition,non-Elements,150,541,27.7
Selection/extraction,metadata Elements,38,243,15.6
Selection/extraction,non-Elements,38,541,7.0
Utility/practice/application,metadata Elements,15,243,6.2
Utility/practice/application,non-Elements,91,541,16.8
Access/clarity/pedagogy,metadata Elements,35,243,14.4
Access/clarity/pedagogy,non-Elements,47,541,8.7
Jesuit,metadata Elements,20,243,8.2
Jesuit,non-Elements,12,541,2.2
Students/learners,metadata Elements,7,243,2.9
Students/learners,non-Elements,5,541,0.9
Universities/academies,metadata Elements,2,243,0.8
Universities/academies,non-Elements,10,541,1.8
Math professor/lecturer,metadata Elements,21,243,8.6
Math professor/lecturer,non-Elements,37,541,6.8
Military users,metadata Elements,3,243,1.2
Military users,non-Elements,6,541,1.1
General readers/lovers,metadata Elements,11,243,4.5
General readers/lovers,non-Elements,29,541,5.4
