marker,metadata Elements,non-Elements,elements_minus_non_elements_pct_points
Access/clarity/pedagogy,14.4,8.7,5.7
Ancient authority/restoration,82.3,12.0,70.3
Any named deductive part,57.6,34.6,23.0
Augmentation/composition,41.6,27.7,13.9
Explicit Euclid/book identity,85.2,26.8,58.4
General readers/lovers,4.5,5.4,-0.9
Jesuit,8.2,2.2,6.0
Math professor/lecturer,8.6,6.8,1.8
Method/demonstration/order,41.6,16.1,25.5
Military users,1.2,1.1,0.1
Selection/extraction,15.6,7.0,8.6
Students/learners,2.9,0.9,2.0
Translation/transfer,28.8,8.3,20.5
Universities/academies,0.8,1.8,-1.0
Utility/practice/application,6.2,16.8,-10.6
