classification_key,year,city,language,short_title,author_or_editor,primary_subject_family,primary_classes,elements_designation,references_to_euclid,base_content,content_description,rich_claim_text_raw,rich_social_text_raw,euclid_outside_elements_route
35H84Y,1642,Bologna,LATIN,"Apiaria uninversae philosophiae mathematicae, in quibus paradoxa, et nova pleraque machinamenta ad usus eximios traducta, & facillimis demonstrationibus confirmata […] Tomus primus (1)",Mario Bettini,Applied Mechanics/Military,Mechanics,EVCLIDES APPLICATVS,EVCLIDES | Euclideorum,EVCLIDES APPLICATVS,,"traducta | confirmata | refertum | ornatum | distributum | ACCESSIT | dicata | APPLICATVS | conditus | Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | EVCLIDES APPLICATVS | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | EVCLIDES APPLICATVS | noua pleraque Machinamenta ad vsus eximios traducta | facillimis demonstrationibus confirmata | curiosissimis inuentis refertum | figurarum æreis formis cusarum numerosa | speciosa varietate ornatum | gemino copiosissimo Indice | EVCLIDES APPLICATVS | EVCLIDES APPLICATVS | EVCLIDES | Euclideorum","Philosophis Mathematicis, sed & Physicis, Anatomicis, Militaribus viris, Machinariæ, Musicæ, Poeticæ, Agrariæ, Architecturæ, Mercaturæ professoribus | Coll. Tridentino Soc. Iesu | Parmensi Gymnasio Philosophiæ Mathematicæ | Parmensi Gymnasio | E SOC. IESV, olim in publico Parmensi Gymnasio Philosophiæ Mathematicæ, & Philosophiæ Moralis Lectore | MATTHIAE GALASSO SAC. ROM. IMPERII COMITI, &c",applied Euclid as encyclopedic program
5V691B,1583,Basel,LATIN,Epiloimia seu liber tristium Joan.thomae freigii quaestiones geometricae et stereometricae in euclidis & rami stoicheiosin: in quibus logica veterum mathematicorum illustratur et demonstratur.,Johannes Thomas Freig,No primary family,,in Euclidis & Rami ἐννέαϐι- ϐλια,Euclidis,in Euclidis & Rami ἐννέαϐι- ϐλια,in quibus Logica veterum Mathematicorum illustratur & demonstratur,illustratur | demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | in quibus Logica veterum Mathematicorum illustratur & demonstratur | in Euclidis & Rami ἐννέαϐι- ϐλια | Euclidis,,mixed mathematical system with Euclidean geometry
Amsterdam_1672,1672,Amsterdam,DUTCH,,Georg Mohr,Geometry/Theory | Instruments/Measurement,Instrument Use | Practical Geometry,de ses eerste Boecken Euclidis,EUCLIDES DANICUS | Euclidis,de ses eerste Boecken Euclidis,Handeldt van de Meetkonstige Werckstucken,"Voorgesteld | de ses eerste Boecken Euclidis | Handeldt van de Meetkonstige Werckstucken | de ses eerste Boecken Euclidis | Alleenigh met een Passer te wercken (sonder Rye ofte Liniael te gebruycken) door Snijding van Roeden | Geeft aanleyding om verscheyde Werckstucken te maecken, als van Snijding, Raecking, Deeling, Perspectie en Sonnewijssers | aanleyding om verscheyde Werckstucken te maecken | EUCLIDES DANICUS | EUCLIDES DANICUS | Euclidis",,Euclidean practical geometry / measurement
Arnhem_1620,1620,Arnhem,LATIN,,Juan Alfonso de Molina,Geometry/Theory,Theoretical Mathematics,Euclidea Elementa,Euclidea,Euclidea Elementa,"nonnulla corriguntur, nonnulla ut falsa reijciuntur","corriguntur | reijciuntur | edita | donata | Euclidea Elementa | nonnulla corriguntur, nonnulla ut falsa reijciuntur | NOVA REPERTA GEOMETRICA | Hispanice edita, jam vero latinitate donata | Euclidea Elementa | Hispanice | latinitate | Euclidea",NICOLAO IANSONIO Arnh. Geldro,other Euclid/Elements reference
Barcelona_1698,1698,Barcelona,SPANISH,[Libro primero- sexto) de los elementos geometricos,Francisco Larrando de Mauleón,Geometry/Theory,Theoretical Mathematics,Libro primero (- sexto) de los Elementos Geometricos de Euclides,Euclides,Libro primero (- sexto) de los Elementos Geometricos de Euclides,,Libro primero (- sexto) de los Elementos Geometricos de Euclides | Libro primero (- sexto) de los Elementos Geometricos de Euclides | Euclides,,other Euclid/Elements reference
Basel_1546b,1546,Basel,LATIN,,Philipp Melanchthon,Geometry/Theory,Theoretical Mathematics,Elementorum geometricorum libri XV,Euclidis,Euclidis Megarensis mathematici clarissimi Elementorum geometricorum libri XV,,donata | adiecta sunt | Euclidis Megarensis mathematici clarissimi Elementorum geometricorum libri XV | Cum expositione Theonis in priores XIII à Bartholomaeo Veneto | Latinitate donata | Veneto | Theonis | Hypsiclis Alexandrini | Marini | Levi | Elementorum geometricorum libri XV | Phaenomena | Catoptrica | Optica | Protheoria Marini | Data | Opusculum de Levi & Ponderoso | Phaenomena | Catoptrica | Optica | Protheoria Marini | Data | Opusculum de Levi & Ponderoso | Phaenomena | Catoptrica | Optica | Protheoria Marini | Data | Opusculum de Levi & Ponderoso | Megarensis mathematici clarissimi | Latinitate | Euclidis,Veneto | Theonis | Hypsiclis Alexandrini | Marini | Levi,Euclidean corpus beyond the Elements
Bologna_1620,1620,Bologna,ITALIAN,I primi sei libri de gl’Elementi d’Euclide ridotti alla Prattica,Pietro Antonio Cataldi,Geometry/Theory,Practical Geometry,I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide,d’Euclide,I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide,"Ne mostrano le inventioni delle regole geometriche, arithmetiche, mechaniche, & d’astronomia, & d’ottimo uso","ridotti alla Pratica | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | Ne mostrano le inventioni delle regole geometriche, arithmetiche, mechaniche, & d’astronomia, & d’ottimo uso | ridotti alla Pratica | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | I PRIMI SEI LIBRI DE GL’ ELEMENTI d’Euclide | d’Euclide",Studio di Bologna | LETTORE DELLE SCIENZE Matematiche nello Studio di Bologna | ALL’ILL. ET NOBILISS. SIG. IL SIG. GREGORIO MALVEZZI,mixed mathematical system with Euclidean geometry
Bologna_1629a,1629,Bologna,LATIN,,Ovidio Montalbani,No primary family,,SPECVLVM EVCLIDIANVM,EVCLIDIANVM | Euclidis,SPECVLVM EVCLIDIANVM,"Totam Euclidis Planimetriam, Quæ absoluta dicitur; & Extranea nonnulla, Geometrica tamen, internotata unico in Schemaste lineariter repraesentans, Omniaque propriis, firmisque Demonstrationibus clarè, atq; particulatim enodans","repraesentans | enodans | Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | SPECVLVM EVCLIDIANVM | Totam Euclidis Planimetriam, Quæ absoluta dicitur; & Extranea nonnulla, Geometrica tamen, internotata unico in Schemaste lineariter repraesentans, Omniaque propriis, firmisque Demonstrationibus clarè, atq; particulatim enodans | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SPECVLVM EVCLIDIANVM | EVCLIDIANVM | Euclidis","Illustrissimos, & Sapientissimos SENATVS BONONIENSIS Quinquaginta Viros | Collegiatò Bonon | Patriæ Archigymnasij | SENATVS BONONIENSIS | Philosophiæ & Medicinæ Doctore Collegiatò Bonon. & publico Patriæ Archigymnasij Professore | SENATVS BONONIENSIS Quinquaginta Viros",other Euclid/Elements reference
Bologna_1663,1663,Bologna,ITALIAN,Euclide rinnovato ovvero gli antichi elementi della geometria,Giovanni Alfonso Borelli,Geometry/Theory,Theoretical Mathematics,Gl’ antichi Elementi della Geometria,EVCLIDE,Gl’ antichi Elementi della Geometria,"ridotti à maggior breuità, e facilità, In cui con nuovo, e più sicuro modo si dimostra il trattato delle Proporzioni","RINNOVATO | Volgarizzato | reuisito | corretto | ridotti | Gl’ antichi Elementi della Geometria | ridotti à maggior breuità, e facilità, In cui con nuovo, e più sicuro modo si dimostra il trattato delle Proporzioni | RINNOVATO | reuisito, e corretto | Fiorentino | Gl’ antichi Elementi della Geometria | EVCLIDE",Studio di Messina | Fiorentino | SIG. GIO. ALFONSO BORELLI,new/reformed Elements-like geometry
Bologna_1693,1693,Bologna,LATIN,,Geminiano Rondelli,No primary family,,"PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA",EVCLIDIS,"PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA",Facilioribus Auctorum demonstrationibus,"explicata | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | PHILOSOPHIÆ DOCT | PLANORVM, AC SOLIDORVM EVCLIDIS ELEMENTA | Facilioribus Auctorum demonstrationibus | EVCLIDIS",Vniuersali Studio Bononiæ Scientiarum | SENATUS BONONIEN | PHILOSOPHIÆ DOCT,other Euclid/Elements reference
