row_index,bridge_route,bridge_score,threshold
9,canonical_elements,7,7
13,canonical_elements,7,7
39,canonical_elements,7,7
40,canonical_elements,8,7
42,canonical_elements,7,7
43,canonical_elements,7,7
47,canonical_elements,8,7
49,canonical_elements,7,7
52,canonical_elements,7,7
53,canonical_elements,8,7
54,canonical_elements,8,7
55,canonical_elements,7,7
59,canonical_elements,7,7
60,canonical_elements,8,7
61,canonical_elements,8,7
76,canonical_elements,9,7
79,canonical_elements,9,7
81,canonical_elements,8,7
85,canonical_elements,9,7
88,canonical_elements,7,7
89,canonical_elements,7,7
91,canonical_elements,7,7
92,canonical_elements,7,7
94,canonical_elements,7,7
95,canonical_elements,7,7
101,canonical_elements,8,7
102,canonical_elements,8,7
103,canonical_elements,8,7
104,canonical_elements,8,7
105,canonical_elements,7,7
106,canonical_elements,8,7
108,canonical_elements,8,7
109,canonical_elements,8,7
112,canonical_elements,7,7
118,canonical_elements,7,7
126,canonical_elements,8,7
129,canonical_elements,7,7
130,canonical_elements,7,7
134,canonical_elements,8,7
135,canonical_elements,8,7
143,canonical_elements,9,7
144,canonical_elements,8,7
145,canonical_elements,8,7
146,canonical_elements,9,7
149,canonical_elements,7,7
174,canonical_elements,7,7
175,canonical_elements,7,7
176,canonical_elements,7,7
180,canonical_elements,7,7
182,canonical_elements,7,7
183,canonical_elements,7,7
184,canonical_elements,8,7
187,canonical_elements,7,7
188,canonical_elements,7,7
189,canonical_elements,7,7
190,canonical_elements,7,7
191,canonical_elements,7,7
192,canonical_elements,7,7
194,canonical_elements,7,7
195,canonical_elements,7,7
200,canonical_elements,9,7
201,canonical_elements,8,7
205,canonical_elements,9,7
206,canonical_elements,8,7
208,canonical_elements,7,7
210,canonical_elements,8,7
212,canonical_elements,9,7
213,canonical_elements,9,7
218,canonical_elements,7,7
225,canonical_elements,7,7
227,canonical_elements,8,7
228,canonical_elements,7,7
316,canonical_elements,7,7
318,canonical_elements,7,7
326,canonical_elements,7,7
328,canonical_elements,7,7
330,canonical_elements,7,7
331,canonical_elements,7,7
333,canonical_elements,8,7
335,canonical_elements,8,7
336,canonical_elements,8,7
337,canonical_elements,8,7
338,canonical_elements,7,7
339,canonical_elements,8,7
340,canonical_elements,8,7
343,canonical_elements,9,7
344,canonical_elements,8,7
345,canonical_elements,9,7
350,canonical_elements,8,7
